target,source_line,opcode,executed_warp_instructions,runtime_base_address,mapped_instruction_addresses,unmapped_instruction_addresses
p32-main,688,HADD2,786432,0x7a68aa02bc00,1728,72
p32-main,76,IMAD,303104,0x7a68aa02bc00,1728,72
p32-main,37,IMAD,278528,0x7a68aa02bc00,1728,72
p32-main,76,LDS,262144,0x7a68aa02bc00,1728,72
p32-main,77,LDS,262144,0x7a68aa02bc00,1728,72
p32-main,570,SHF,262144,0x7a68aa02bc00,1728,72
p32-main,192,LOP3,262144,0x7a68aa02bc00,1728,72
p32-main,36,SHF,262144,0x7a68aa02bc00,1728,72
p32-main,36,LOP3,262144,0x7a68aa02bc00,1728,72
p32-main,37,LOP3,262144,0x7a68aa02bc00,1728,72
p32-main,38,SHF,262144,0x7a68aa02bc00,1728,72
p32-main,38,LOP3,262144,0x7a68aa02bc00,1728,72
p32-main,198,SHF,262144,0x7a68aa02bc00,1728,72
p32-main,201,IMAD,262144,0x7a68aa02bc00,1728,72
p32-main,198,LOP3,262144,0x7a68aa02bc00,1728,72
p32-main,201,LOP3,262144,0x7a68aa02bc00,1728,72
p32-main,198,LDS,262144,0x7a68aa02bc00,1728,72
p32-main,201,LDS,262144,0x7a68aa02bc00,1728,72
p32-main,191,IMAD,131072,0x7a68aa02bc00,1728,72
p32-main,1130,FFMA,131072,0x7a68aa02bc00,1728,72
p32-main,1132,FFMA,131072,0x7a68aa02bc00,1728,72
p32-main,1134,FFMA,131072,0x7a68aa02bc00,1728,72
p32-main,1136,FFMA,131072,0x7a68aa02bc00,1728,72
p32-main,191,LOP3,114688,0x7a68aa02bc00,1728,72
p32-main,191,SHF,114688,0x7a68aa02bc00,1728,72
p32-main,897,IMAD,73632,0x7a68aa02bc00,1728,72
p32-main,895,IMAD,49152,0x7a68aa02bc00,1728,72
p32-main,1086,LOP3,49152,0x7a68aa02bc00,1728,72
p32-main,829,S2R,40928,0x7a68aa02bc00,1728,72
p32-main,839,ISETP,36720,0x7a68aa02bc00,1728,72
p32-main,1086,IMAD,32768,0x7a68aa02bc00,1728,72
p32-main,76,SHF,32768,0x7a68aa02bc00,1728,72
p32-main,76,LOP3,32768,0x7a68aa02bc00,1728,72
p32-main,1126,LDS,32768,0x7a68aa02bc00,1728,72
p32-main,1128,LDS,32768,0x7a68aa02bc00,1728,72
p32-main,894,SHF,24528,0x7a68aa02bc00,1728,72
p32-main,875,IMAD,24480,0x7a68aa02bc00,1728,72
p32-main,876,BRA,20480,0x7a68aa02bc00,1728,72
p32-main,900,BSYNC,20400,0x7a68aa02bc00,1728,72
p32-main,893,BRA,16384,0x7a68aa02bc00,1728,72
p32-main,1004,IADD3,16384,0x7a68aa02bc00,1728,72
p32-main,1004,ISETP,16384,0x7a68aa02bc00,1728,72
p32-main,1084,ISETP,16384,0x7a68aa02bc00,1728,72
p32-main,1084,BRA,16384,0x7a68aa02bc00,1728,72
p32-main,76,UMOV,16384,0x7a68aa02bc00,1728,72
p32-main,76,UIMAD,16384,0x7a68aa02bc00,1728,72
p32-main,1086,ULEA,16384,0x7a68aa02bc00,1728,72
p32-main,1126,USHF,16384,0x7a68aa02bc00,1728,72
p32-main,1086,LDS,16384,0x7a68aa02bc00,1728,72
p32-main,1136,LOP3,16384,0x7a68aa02bc00,1728,72
p32-main,829,IADD3,14280,0x7a68aa02bc00,1728,72
p32-main,900,STS,12288,0x7a68aa02bc00,1728,72
p32-main,898,IMAD,12288,0x7a68aa02bc00,1728,72
p32-main,296,LDGSTS,12288,0x7a68aa02bc00,1728,72
p32-main,900,BRA,12240,0x7a68aa02bc00,1728,72
p32-main,839,IADD3,12240,0x7a68aa02bc00,1728,72
p32-main,882,IADD3,12240,0x7a68aa02bc00,1728,72
p32-main,1005,IADD3,10712,0x7a68aa02bc00,1728,72
p32-main,1005,ISETP,10488,0x7a68aa02bc00,1728,72
