target,kernel,block,grid,metric,value,unit
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",gpu__time_duration.sum,1.050720,ms
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,11.867781,%
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,10.725583,%
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",dram__bytes.sum.per_second,262.422050,Gbyte/s
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",lts__throughput.avg.pct_of_peak_sustained_elapsed,21.188437,%
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",sm__throughput.avg.pct_of_peak_sustained_elapsed,10.928889,%
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",launch__registers_per_thread,124,register/thread
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",launch__shared_mem_per_block_static,0,byte/block
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",launch__shared_mem_per_block_dynamic,6.144000,Kbyte/block
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",launch__waves_per_multiprocessor,0.13,
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",sm__warps_active.avg.pct_of_peak_sustained_active,3.232128,%
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",smsp__warps_eligible.avg.per_cycle_active,0.232724,warp
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",smsp__warps_active.avg.per_cycle_active,1.012761,warp
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",smsp__issue_active.avg.per_cycle_active,0.23,
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",smsp__average_warp_latency_per_inst_issued.ratio,4.376421,cycle
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",derived__local_spilling_requests,0,
attention,kernel_unified_attention_3d_ptr,"(64, 1, 1)","(1, 8, 16)",derived__shared_spilling_requests,0,
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",gpu__time_duration.sum,559.808000,us
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,2.599895,%
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,0.000009,%
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",dram__bytes.sum.per_second,228.649823,Kbyte/s
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",lts__throughput.avg.pct_of_peak_sustained_elapsed,0.168297,%
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",sm__throughput.avg.pct_of_peak_sustained_elapsed,2.194221,%
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",launch__registers_per_thread,64,register/thread
