ordinal,bytes,duration_us,copy_graph_node_id,previous_kernel,previous_graph_node_id,gap_after_previous_us,next_kernel,next_graph_node_id,gap_before_next_us
1,268435456,245.984,6755983556631,loop_dynamic_update_slice_fusi_1...,6755983556630,0.096,input_concatenate_fusion_978,6755983556632,0.800
2,268435456,253.952,6755983556652,loop_dynamic_update_slice_fusi_2...,6755983556651,0.032,input_concatenate_fusion_978,6755983556653,0.544
3,268435456,241.600,6755983556742,loop_dynamic_update_slice_fusi_4...,6755983556741,0.064,input_concatenate_fusion_978,6755983556743,0.416
4,268435456,255.968,6755983556763,loop_dynamic_update_slice_fusi_5...,6755983556762,0.064,input_concatenate_fusion_978,6755983556764,0.384
5,268435456,241.600,6755983556853,loop_dynamic_update_slice_fusi_6...,6755983556852,0.032,input_concatenate_fusion_978,6755983556854,0.384
6,268435456,254.496,6755983556874,loop_dynamic_update_slice_fusi_7...,6755983556873,0.096,input_concatenate_fusion_978,6755983556875,0.416
7,268435456,242.208,6755983556964,loop_dynamic_update_slice_fusi_8...,6755983556963,0.064,input_concatenate_fusion_978,6755983556965,0.704
8,268435456,252.992,6755983556985,loop_dynamic_update_slice_fusi_9...,6755983556984,0.064,input_concatenate_fusion_978,6755983556986,0.384
9,268435456,242.848,6755983557075,loop_dynamic_update_slice_fusi_10...,6755983557074,0.032,input_concatenate_fusion_978,6755983557076,0.448
10,268435456,252.384,6755983557096,loop_dynamic_update_slice_fusi_11...,6755983557095,0.032,input_concatenate_fusion_978,6755983557097,0.320
11,268435456,241.664,6755983557186,loop_dynamic_update_slice_fusi_12...,6755983557185,0.032,input_concatenate_fusion_978,6755983557187,0.416
12,268435456,253.056,6755983557207,loop_dynamic_update_slice_fusi_13...,6755983557206,0.064,input_concatenate_fusion_978,6755983557208,0.416
13,268435456,242.624,6755983557297,loop_dynamic_update_slice_fusi_14...,6755983557296,0.032,input_concatenate_fusion_978,6755983557298,0.416
14,268435456,253.344,6755983557318,loop_dynamic_update_slice_fusi_15...,6755983557317,0.032,input_concatenate_fusion_978,6755983557319,0.416
15,268435456,242.112,6755983557408,loop_dynamic_update_slice_fusi_16...,6755983557407,0.096,input_concatenate_fusion_978,6755983557409,0.416
16,268435456,253.600,6755983557429,loop_dynamic_update_slice_fusi_17...,6755983557428,0.032,input_concatenate_fusion_978,6755983557430,0.416
17,268435456,243.072,6755983557519,loop_dynamic_update_slice_fusi_18...,6755983557518,0.064,input_concatenate_fusion_978,6755983557520,0.416
18,268435456,253.856,6755983557540,loop_dynamic_update_slice_fusi_19...,6755983557539,0.096,input_concatenate_fusion_978,6755983557541,0.416
19,268435456,241.568,6755983557630,loop_dynamic_update_slice_fusi_20...,6755983557629,0.064,input_concatenate_fusion_978,6755983557631,0.416
20,268435456,254.368,6755983557651,loop_dynamic_update_slice_fusi_21...,6755983557650,0.096,input_concatenate_fusion_978,6755983557652,0.416
21,268435456,242.944,6755983557741,loop_dynamic_update_slice_fusi_22...,6755983557740,0.064,input_concatenate_fusion_978,6755983557742,0.448
22,268435456,253.729,6755983557762,loop_dynamic_update_slice_fusi_23...,6755983557761,0.032,input_concatenate_fusion_978,6755983557763,0.416
23,268435456,243.200,6755983557852,loop_dynamic_update_slice_fusi_24...,6755983557851,0.064,input_concatenate_fusion_978,6755983557853,0.416
24,268435456,253.792,6755983557873,loop_dynamic_update_slice_fusi_25...,6755983557872,0.064,input_concatenate_fusion_978,6755983557874,0.448
25,268435456,243.168,6755983557963,loop_dynamic_update_slice_fusi_26...,6755983557962,0.064,input_concatenate_fusion_978,6755983557964,0.384
26,268435456,252.576,6755983557984,loop_dynamic_update_slice_fusi_27...,6755983557983,0.096,input_concatenate_fusion_978,6755983557985,0.512
27,268435456,240.736,6755983558074,loop_dynamic_update_slice_fusi_28...,6755983558073,0.032,input_concatenate_fusion_978,6755983558075,0.576
28,268435456,253.888,6755983558095,loop_dynamic_update_slice_fusi_29...,6755983558094,0.064,input_concatenate_fusion_978,6755983558096,0.416
29,268435456,241.920,6755983558185,loop_dynamic_update_slice_fusi_30...,6755983558184,0.032,input_concatenate_fusion_978,6755983558186,0.448
30,268435456,252.736,6755983558206,loop_dynamic_update_slice_fusi_31...,6755983558205,0.096,input_concatenate_fusion_978,6755983558207,0.416
31,268435456,242.369,6755983558296,loop_dynamic_update_slice_fusi_32...,6755983558295,0.064,input_concatenate_fusion_978,6755983558297,0.416
32,268435456,252.480,6755983558317,loop_dynamic_update_slice_fusi_33...,6755983558316,0.032,input_concatenate_fusion_978,6755983558318,0.384
33,268435456,245.632,6755983556631,loop_dynamic_update_slice_fusi_1...,6755983556630,0.064,input_concatenate_fusion_978,6755983556632,0.768
34,268435456,253.408,6755983556652,loop_dynamic_update_slice_fusi_2...,6755983556651,0.032,input_concatenate_fusion_978,6755983556653,0.384
35,268435456,242.592,6755983556742,loop_dynamic_update_slice_fusi_4...,6755983556741,0.064,input_concatenate_fusion_978,6755983556743,0.416
36,268435456,252.256,6755983556763,loop_dynamic_update_slice_fusi_5...,6755983556762,0.032,input_concatenate_fusion_978,6755983556764,0.448
37,268435456,242.560,6755983556853,loop_dynamic_update_slice_fusi_6...,6755983556852,0.032,input_concatenate_fusion_978,6755983556854,0.384
38,268435456,253.152,6755983556874,loop_dynamic_update_slice_fusi_7...,6755983556873,0.064,input_concatenate_fusion_978,6755983556875,0.384
39,268435456,241.856,6755983556964,loop_dynamic_update_slice_fusi_8...,6755983556963,0.032,input_concatenate_fusion_978,6755983556965,0.448
40,268435456,253.088,6755983556985,loop_dynamic_update_slice_fusi_9...,6755983556984,0.064,input_concatenate_fusion_978,6755983556986,0.416
41,268435456,242.145,6755983557075,loop_dynamic_update_slice_fusi_10...,6755983557074,0.032,input_concatenate_fusion_978,6755983557076,0.416
42,268435456,252.896,6755983557096,loop_dynamic_update_slice_fusi_11...,6755983557095,0.032,input_concatenate_fusion_978,6755983557097,0.384
43,268435456,243.072,6755983557186,loop_dynamic_update_slice_fusi_12...,6755983557185,0.032,input_concatenate_fusion_978,6755983557187,0.416
44,268435456,253.568,6755983557207,loop_dynamic_update_slice_fusi_13...,6755983557206,0.096,input_concatenate_fusion_978,6755983557208,0.416
45,268435456,242.528,6755983557297,loop_dynamic_update_slice_fusi_14...,6755983557296,0.032,input_concatenate_fusion_978,6755983557298,0.416
46,268435456,253.312,6755983557318,loop_dynamic_update_slice_fusi_15...,6755983557317,0.032,input_concatenate_fusion_978,6755983557319,0.416
47,268435456,242.112,6755983557408,loop_dynamic_update_slice_fusi_16...,6755983557407,0.096,input_concatenate_fusion_978,6755983557409,0.416
48,268435456,252.768,6755983557429,loop_dynamic_update_slice_fusi_17...,6755983557428,0.064,input_concatenate_fusion_978,6755983557430,0.416
49,268435456,242.720,6755983557519,loop_dynamic_update_slice_fusi_18...,6755983557518,0.032,input_concatenate_fusion_978,6755983557520,0.416
50,268435456,253.696,6755983557540,loop_dynamic_update_slice_fusi_19...,6755983557539,0.064,input_concatenate_fusion_978,6755983557541,0.288
