kind,name,count_two_samples,total_ms_two_samples,mean_ms_per_sample,share_total_gpu_activity_pct
kernel,kernel_unified_attention_3d_ptr,32,29.551210,14.775605,40.891922
kernel,"void <unnamed>::p32_window_ampere_m1_kernel<(int)6, (int)1, (int)128, (int)16, (int)2, (int)0, (int)0, (int)0, (bool)1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)",32,16.989992,8.494996,23.510151
memcpy,CUDA memcpy Device-to-Device,66,15.867557,7.933778,21.956965
kernel,"void <unnamed>::p32_rank8_project_kernel<(int)8>(const float *, const __half *, __half *, int, int)",160,1.435613,0.717807,1.986551
kernel,gemm_fusion_dot_10386,32,0.757728,0.378864,1.048517
kernel,"void <unnamed>::p32_window_ampere_m1_kernel<(int)6, (int)1, (int)128, (int)16, (int)2, (int)8192, (int)32, (int)2048, (bool)0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)",32,0.679104,0.339552,0.939720
kernel,gemm_fusion_dot_10402,2,0.467616,0.233808,0.647071
kernel,"void <unnamed>::p32_rank8_epilogue_kernel<(int)8>(const float *, const __half *, const float *, float *, int, int)",160,0.343866,0.171933,0.475830
kernel,input_concatenate_fusion_974,192,0.301276,0.150638,0.416895
kernel,input_concatenate_fusion_977,192,0.300282,0.150141,0.415520
kernel,input_concatenate_fusion_976,192,0.299231,0.149616,0.414065
kernel,"void <unnamed>::p32_window_ampere_m1_kernel<(int)4, (int)1, (int)128, (int)16, (int)2, (int)2048, (int)32, (int)2048, (bool)0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)",32,0.295552,0.147776,0.408974
kernel,input_concatenate_fusion_975,192,0.293403,0.146702,0.406001
kernel,"void <unnamed>::p32_window_ampere_m1_kernel<(int)5, (int)1, (int)128, (int)16, (int)2, (int)512, (int)32, (int)2048, (bool)0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)",32,0.260512,0.130256,0.360487
