Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.4,997147825549,9193860,108458.0,6602.0,3276,5994766469,2181958.2,cudaLaunchKernel
16.4,275692784393,919586,299801.0,4910.0,781,72323185,725331.0,cudaEventRecordWithFlags
15.7,262787149783,586832,447806.4,10269.0,3286,1832654176,15399090.3,cudaStreamSynchronize
6.6,110167136449,1033088,106638.7,8967.0,3606,542442398,1412942.6,cudaMemcpyAsync
0.4,7060248114,14549,485273.8,147400.0,5240,12659563,1005648.5,cudaDeviceSynchronize
0.4,6774358440,339720,19941.0,5951.0,3016,102708445,788353.6,cudaMemsetAsync
0.3,4323048472,919028,4703.9,2155.0,350,45763996,64290.3,cudaEventCreateWithFlags
0.2,3451660984,65611,52608.0,9097.0,4429,102742049,2039197.0,cuLaunchKernel
0.2,3014194497,9193860,327.8,250.0,121,6015162,4222.5,cuKernelGetName
0.2,2804297079,920126,3047.7,2545.0,1753,7881759,13524.1,cudaEventQuery
0.1,1749918495,28141,62183.9,5841.0,4359,102819056,2210330.6,cudaLaunchKernelExC
0.1,1317858675,918931,1434.1,681.0,340,6923163,27758.0,cudaEventDestroy
0.0,679865929,927230,733.2,621.0,300,4694657,7006.0,cudaStreamIsCapturing
0.0,457911327,90,5087903.6,2942893.0,71146,46220946,6904257.1,cuLibraryLoadData
0.0,176792150,62337,2836.1,1984.0,892,1287935,10373.2,cudaEventRecord
0.0,156722901,376,416816.2,238589.5,4198,3219495,456526.0,cudaMalloc
0.0,105941624,310597,341.1,260.0,151,816646,2625.8,cudaGetDeviceProperties
0.0,98824817,389424,253.8,160.0,100,808301,2224.8,cuStreamGetCaptureInfo_v2
0.0,90131039,65611,1373.7,762.0,241,5869474,32374.4,cuKernelGetFunction
0.0,36796919,122,301614.1,144681.0,1172,2210652,403104.4,cudaFree
0.0,11509562,39,295117.0,25849.0,5150,2850061,721642.1,cudaHostAlloc
0.0,2873968,400,7184.9,5340.5,752,130830,9591.4,cudaStreamWaitEvent
0.0,2854923,128,22304.1,1843.5,932,560949,78005.1,cudaStreamCreateWithPriority
0.0,2453716,1605,1528.8,1222.0,280,62589,2485.5,cudaStreamGetCaptureInfo
0.0,2055183,144,14272.1,12248.5,10871,62480,6514.5,cuLaunchKernelEx
0.0,1565924,6,260987.3,56157.5,11041,1241245,482755.9,cudaEventSynchronize
0.0,1209043,280,4318.0,2745.0,490,23374,4213.4,cuLibraryGetKernel
0.0,570598,3,190199.3,177078.0,146189,247331,51832.0,cuModuleLoadData
0.0,534508,1354,394.8,270.0,110,9999,513.2,cuGetProcAddress_v2
0.0,34415,1,34415.0,34415.0,34415,34415,0.0,cudaMemGetInfo
0.0,17495,5,3499.0,1393.0,902,10580,4093.1,cuInit
0.0,15009,5,3001.8,411.0,180,8156,3826.3,cuModuleGetLoadingMode
0.0,2176,3,725.3,512.0,331,1333,534.0,cudaGetDriverEntryPointByVersion
