Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.2,1083413296546,1454336,744953.9,330945.0,131712,4429814,867008.4,"void <unnamed>::qvq_v2_segment_grid_kernel<(int)4, (int)2, (int)16, (bool)1, (bool)0, __half, unsigned char>(const float *, const T6 *, const float *, const long *, const float *, const float *, float *, T7 *, unsigned char *, int, int, int, bool, bool)"
17.7,313501738628,128800,2434019.7,2754603.0,1350119,7394020,1401560.7,"void <unnamed>::qvq_viterbi_kernel<(int)4, (int)2, __half, unsigned char>(const float *, const T3 *, const float *, const long *, const float *, T4 *, long *, float *, int, int, int, bool, bool, bool)"
5.7,100832611037,61344,1643724.1,1242502.0,19072,6140222,1471377.3,void cutlass::Kernel2<cutlass_80_simt_sgemm_grouped_128x128_8x4_align1>(T1::Params)
3.9,68283057401,64832,1053230.8,298961.0,9824,101438116,6707023.1,ampere_sgemm_128x128_nt
3.6,62902511565,1792,35101848.0,6639814.5,770781,103865824,43314350.8,ampere_sgemm_128x128_tn
2.1,37743188719,181792,207617.4,106432.0,65601,973092,184967.3,"void <unnamed>::qvq_v2_segment_grid_finalize_kernel<(int)4, (int)2, (int)16, (bool)0, __half, unsigned char>(const float *, const T5 *, const float *, const long *, const float *, const float *, const T6 *, const unsigned char *, long *, unsigned char *, float *, int, int, bool, bool)"
1.4,24656503179,61216,402778.7,311138.0,4256,1024358,342212.5,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.8,13689110834,23360,586006.5,574402.5,307168,907141,175541.4,ampere_sgemm_64x32_sliced1x4_nt
0.3,5552280323,35184,157807.0,93408.0,20608,13699108,637876.4,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8x5_nt_align1>(T1::Params)
0.3,5241335336,2160,2426544.1,2012282.0,444578,6770081,1315604.9,ampere_sgemm_128x64_nt
0.2,3318379401,242640,13676.1,8096.0,3936,53536,11192.0,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.2,2942854876,864,3406082.0,3269136.0,231009,12909120,4159903.8,ampere_sgemm_128x64_nn
