PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
1608884,1610556,0,16,16,1432802362.0,1555074080.0,477028407,1558122119,310307293.3,11121.3,7695.0,4929,52079,11358.5,1430351261.7,1552629031.5,474537968,1555673453,310315122.0,2439979.1,2440665.0,2429304,2446265,3938.1,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxBackward<(int)4, c10::Half, float, float, at::native::<unnamed>::SoftMaxBackwardEpilogue>(T2 *, const T4 *, const T4 *, long)"
1608884,1610556,0,48,48,1289025625.3,1377253825.0,436429870,1418170371,249982669.9,424837.6,6637.5,4799,6565721,1596999.9,1288020144.9,1376694511.0,436028247,1410827028,249765448.2,580642.8,553327.5,390624,799807,167726.5,cudaLaunchKernel,"void <unnamed>::softmax_warp_backward<float, c10::Half, float, (int)10, (bool)0, (bool)0, (int)32>(T2 *, const T1 *, const T1 *, int, int, int, const bool *)"
1608884,1610556,0,128,127,1256322303.2,1328169492.0,71572,1549849986,282006088.8,19692.7,11693.0,9628,135578,24705.8,1265948562.2,1328247972.0,399336937,1548855868,259794081.5,244276.7,101264.5,28864,986013,302250.8,cuLaunchKernel,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_nt_align1>(T1::Params)
1608884,1610556,0,128,127,1253783196.5,1315293445.0,97749,1559947317,281708810.8,21895.0,12463.0,9909,147562,28899.2,1263291359.8,1315384630.0,398909018,1558721387,259542142.2,339408.3,162912.0,54721,1219548,368003.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_256x128_nt_align1>(T1::Params)
1608884,1610556,0,16,16,1240085637.6,1327116142.0,424945155,1328406279,246312427.8,13484.9,12408.5,10460,22222,3498.5,1239994572.7,1327026439.0,424848455,1328315744,246313806.2,77580.0,76992.0,74848,80864,1914.3,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x64_32x4_nt_align8>(T1::Params)
1608884,1610556,0,80,80,1238006985.8,1323683482.5,415975371,1347347672,241010945.2,3209143.4,63797.0,4609,6713353,3300566.9,1234611207.8,1316977525.0,415857616,1340500166,239771493.7,186634.7,168256.5,108768,284352,60109.7,cudaLaunchKernel,"void <unnamed>::softmax_warp_backward<float, c10::Half, float, (int)9, (bool)0, (bool)0, (int)32>(T2 *, const T1 *, const T1 *, int, int, int, const bool *)"
1608884,1610556,0,256,254,1231930181.4,1302724988.5,32555,1561066393,278678580.7,424750.4,14111.5,10059,103781821,6485181.5,1241185500.1,1302798333.0,143170077,1561019251,258553954.2,16738.9,15088.0,8896,35392,6213.9,cudaLaunchKernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::Half, at::native::func_wrapper_t<c10::Half, at::native::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, (int)4, (int)8>>(T3)"
1608884,1610556,0,256,256,1231451940.2,1302667657.0,27714,1561080921,279839928.8,16430.3,11361.5,8547,145427,18330.7,1231405136.6,1302636767.5,322,1560986064,279834942.1,30373.3,24640.0,10240,84256,18146.5,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::func_wrapper_t<c10::Half, at::native::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, (int)4, (int)8>>(T3)"
1608884,1610556,0,64,63,1225149812.2,1307875136.0,44050,1379865332,290459264.2,13420.9,12349.0,10230,22533,3002.1,1244490566.8,1307862070.0,393990622,1379660091,247247019.8,91010.0,71184.0,27456,195008,68277.5,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_64x256_32x4_nt_align2>(T1::Params)
1608884,1610556,0,48,48,1224207098.6,1308835845.5,408520162,1327839867,240359015.1,14341.1,12935.0,10010,40056,5006.5,1224150017.4,1308797831.5,408460043,1327755567,240359338.2,42740.1,30144.0,25632,74624,20275.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x256_32x4_nt_align8>(T1::Params)
