Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:qvq_quantize.main,PushPop,1934945828191,1938892944227,1,1934945828191.0,1934945828191.0,1934945828191,1934945828191,0.0,702689,702689.0,0.0,1.0
:qvq_cuda.viterbi_v2_segment_family_grid_trusted,PushPop,988798212722,384897735879,102304,9665293.8,9118797.0,1216486,36103251,7871565.3,1023040,10.0,1.0,0.0
:qvq_api.qvq_cuda_viterbi,PushPop,180412350162,45595645960,40960,4404598.4,3749203.0,2119818,204843938,2435033.2,2019328,49.3,1.0,1.0
:qvq_cuda.viterbi_tail_trusted,PushPop,177317792182,13735068985,43920,4037290.4,2970429.5,2717293,15203945,1410582.2,263520,6.0,1.0,0.0
:qvq_cuda.viterbi,PushPop,157026309901,21509319802,40960,3833650.1,3203856.0,1699848,63323349,2078426.2,1040384,25.4,2.0,0.0
:qvq_cuda.viterbi_v2_segment_tail_trusted,PushPop,135545023567,85231786494,39744,3410452.5,2557804.0,2392683,17314805,1286162.6,874368,22.0,1.0,0.0
:stage.prepare_yaqa,PushPop,135430212758,135638494246,1,135430212758.0,135430212758.0,135430212758,135430212758,0.0,14598,14598.0,1.0,0.0
:qvq_cuda.yaqa_feedback,PushPop,102084634204,8241522738,61344,1664134.0,1261190.0,30304,12051741,1472416.3,245376,4.0,1.0,0.0
:qvq_cuda.yaqa_feedback_update,PushPop,45451569224,37336977141,61344,740929.3,494114.0,15744,4564469,483915.1,184032,3.0,1.0,0.0
:stage.process:model.layers.5.mlp.up_proj,PushPop,33451391443,33498614931,1,33451391443.0,33451391443.0,33451391443,33451391443,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.10.mlp.down_proj,PushPop,31738796875,31828502987,1,31738796875.0,31738796875.0,31738796875,31738796875,0.0,166064,166064.0,0.0,6521.0
:stage.process:model.layers.13.mlp.down_proj,PushPop,30806161375,30861883129,1,30806161375.0,30806161375.0,30806161375,30806161375,0.0,166064,166064.0,0.0,6521.0
:stage.process:model.layers.0.mlp.down_proj,PushPop,30099823974,30144284041,1,30099823974.0,30099823974.0,30099823974,30099823974,0.0,172454,172454.0,0.0,6521.0
:stage.process:model.layers.7.mlp.down_proj,PushPop,29850574280,29899245669,1,29850574280.0,29850574280.0,29850574280,29850574280,0.0,166064,166064.0,0.0,6521.0
:stage.process:model.layers.4.mlp.down_proj,PushPop,29792169026,29837297615,1,29792169026.0,29792169026.0,29792169026,29792169026,0.0,166064,166064.0,0.0,6521.0
:stage.process:model.layers.14.mlp.down_proj,PushPop,29755727310,29804242666,1,29755727310.0,29755727310.0,29755727310,29755727310,0.0,166064,166064.0,0.0,6521.0
