Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
43.7,1938892944227,1,1938892944227.0,1938892944227.0,1938892944227,1938892944227,0.0,PushPop,:qvq_quantize.main
8.7,384897735879,102304,3762294.1,1096449.5,98187,111656597,5782036.4,PushPop,:qvq_cuda.viterbi_v2_segment_family_grid_trusted
3.1,135638494246,1,135638494246.0,135638494246.0,135638494246,135638494246,0.0,PushPop,:stage.prepare_yaqa
1.9,85231786494,39744,2144519.6,1540260.0,234196,32785875,1779346.9,PushPop,:qvq_cuda.viterbi_v2_segment_tail_trusted
1.0,45595645960,40960,1113175.0,1059023.0,811987,202350528,1395994.3,PushPop,:qvq_api.qvq_cuda_viterbi
0.8,37336977141,61344,608649.2,241460.0,68711,29966863,610642.5,PushPop,:qvq_cuda.yaqa_feedback_update
0.8,33498614931,1,33498614931.0,33498614931.0,33498614931,33498614931,0.0,PushPop,:stage.process:model.layers.5.mlp.up_proj
0.7,31828502987,1,31828502987.0,31828502987.0,31828502987,31828502987,0.0,PushPop,:stage.process:model.layers.10.mlp.down_proj
0.7,30861883129,1,30861883129.0,30861883129.0,30861883129,30861883129,0.0,PushPop,:stage.process:model.layers.13.mlp.down_proj
0.7,30144284041,1,30144284041.0,30144284041.0,30144284041,30144284041,0.0,PushPop,:stage.process:model.layers.0.mlp.down_proj
0.7,29899245669,1,29899245669.0,29899245669.0,29899245669,29899245669,0.0,PushPop,:stage.process:model.layers.7.mlp.down_proj
0.7,29837297615,1,29837297615.0,29837297615.0,29837297615,29837297615,0.0,PushPop,:stage.process:model.layers.4.mlp.down_proj
0.7,29827216455,1,29827216455.0,29827216455.0,29827216455,29827216455,0.0,PushPop,:stage.process:model.layers.6.mlp.down_proj
0.7,29804242666,1,29804242666.0,29804242666.0,29804242666,29804242666,0.0,PushPop,:stage.process:model.layers.14.mlp.down_proj
0.7,29785669324,1,29785669324.0,29785669324.0,29785669324,29785669324,0.0,PushPop,:stage.process:model.layers.11.mlp.down_proj
0.7,29744367442,1,29744367442.0,29744367442.0,29744367442,29744367442,0.0,PushPop,:stage.process:model.layers.8.mlp.gate_proj
0.7,29734073336,1,29734073336.0,29734073336.0,29734073336,29734073336,0.0,PushPop,:stage.process:model.layers.8.mlp.down_proj
0.7,29695620853,1,29695620853.0,29695620853.0,29695620853,29695620853,0.0,PushPop,:stage.process:model.layers.15.mlp.down_proj
0.7,29691261847,1,29691261847.0,29691261847.0,29691261847,29691261847,0.0,PushPop,:stage.process:model.layers.9.mlp.down_proj
0.7,29677534018,1,29677534018.0,29677534018.0,29677534018,29677534018,0.0,PushPop,:stage.process:model.layers.2.mlp.down_proj
0.7,29671336499,1,29671336499.0,29671336499.0,29671336499,29671336499,0.0,PushPop,:stage.process:model.layers.5.mlp.down_proj
0.7,29663873908,1,29663873908.0,29663873908.0,29663873908,29663873908,0.0,PushPop,:stage.process:model.layers.3.mlp.down_proj
0.7,29644552580,1,29644552580.0,29644552580.0,29644552580,29644552580,0.0,PushPop,:stage.process:model.layers.1.mlp.down_proj
0.7,29609885561,1,29609885561.0,29609885561.0,29609885561,29609885561,0.0,PushPop,:stage.process:model.layers.12.mlp.down_proj
