Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
68.1,24855615436175,1373,18103143070.8,6518261.0,7304,228559246436,48756284687.2,sem_wait
15.8,5746562742623,9745,589693457.4,200058450.0,57409,10000520466,1914023138.5,sem_clockwait
10.6,3875399410659,38675,100204251.1,100110986.0,1302,5444996748,27316439.3,poll
5.3,1934389304149,191,10127692691.9,13976.0,5771,1817859421758,131502518966.8,pthread_cond_wait
0.1,30237136988,158106,191246.0,19407.0,1001,216600162,958323.5,read
0.0,14404634675,55288,260538.2,37096.0,1002,21709028,469276.2,open64
0.0,9424106053,17589,535795.4,483331.0,1032,6878347,374227.6,pthread_rwlock_wrlock
0.0,7901653256,20,395082662.8,92210.5,17844,7748083424,1731049235.1,waitpid
0.0,5638807005,52484,107438.6,17083.0,1002,7223695,537712.5,pthread_cond_timedwait
0.0,1180130562,17402,67815.8,16807.5,1072,36377870,643688.9,pthread_rwlock_rdlock
0.0,579185427,43245,13393.1,11351.0,1001,3861428,38360.5,close
0.0,467247609,3900,119807.1,39936.0,1002,24568206,484748.2,ioctl
0.0,438170047,2337,187492.5,2615.0,1001,259388246,5387947.1,write
0.0,353139327,62017,5694.2,2304.0,1443,153583982,616930.4,munmap
0.0,272455863,2588,105276.6,45247.0,24086,15971905,508728.5,pthread_create
0.0,253553736,51603,4913.5,1834.0,1001,7072246,49375.1,pthread_cond_signal
0.0,126068336,9825,12831.4,6512.0,1001,3376955,79872.5,pthread_mutex_lock
0.0,46233662,25004,1849.1,1223.0,1001,1037406,7940.5,mmap64
0.0,31804755,1398,22750.2,9753.0,4128,726054,32565.1,backtrace
0.0,28236934,514,54935.7,54939.5,10209,67318,3817.3,sleep
0.0,26926508,62,434298.5,1352.5,1011,14287145,2395306.1,futex
0.0,21515400,224,96050.9,1437.5,1002,2942236,482047.2,fopen
0.0,20582094,485,42437.3,6542.0,1012,6770051,410934.5,fgets
0.0,10118562,2,5059281.0,5059281.0,5058500,5060062,1104.5,nanosleep
0.0,4174425,4,1043606.3,2349.5,1002,4168724,2083411.9,pread
0.0,2966763,29,102302.2,7264.0,1022,2406335,444824.2,open
0.0,1696235,226,7505.5,5140.0,2435,66977,7904.9,mmap
0.0,1156314,120,9636.0,2399.5,1002,144686,24252.3,fclose
0.0,858154,12,71512.8,21466.0,17894,318967,115137.1,sem_timedwait
0.0,567267,51,11122.9,7424.0,1332,37992,11340.8,fopen64
0.0,456066,50,9121.3,5520.0,2395,62469,9430.7,pipe2
0.0,395462,16,24716.4,7900.0,1013,269583,66063.1,fflush
0.0,319279,1,319279.0,319279.0,319279,319279,0.0,posix_spawn
0.0,186535,89,2095.9,1363.0,1002,9990,1793.8,lstat64
0.0,108892,32,3402.9,2655.0,1393,7474,1899.8,stat64
0.0,89601,7,12800.1,13275.0,5621,18285,4879.7,socket
0.0,81228,41,1981.2,1663.0,1002,6282,957.7,sigaction
0.0,79872,3,26624.0,17733.0,17343,44796,15738.6,connect
0.0,47571,7,6795.9,6092.0,1683,16862,5167.4,fread
0.0,46298,31,1493.5,1392.0,1042,2685,405.6,fcntl
0.0,41587,21,1980.3,1352.0,1032,6161,1389.0,pthread_mutex_trylock
0.0,38943,21,1854.4,1733.0,1012,2996,542.7,dup2
0.0,32471,4,8117.8,2700.0,2524,24547,10953.6,statx
0.0,29418,8,3677.3,2430.0,1283,11332,3363.3,fwrite
0.0,22742,4,5685.5,5114.5,2194,10319,4114.7,bind
0.0,21752,3,7250.7,5782.0,1463,14507,6644.9,stat
0.0,16041,1,16041.0,16041.0,16041,16041,0.0,lstat
0.0,15840,7,2262.9,1503.0,1092,4930,1670.7,pthread_cond_broadcast
0.0,13385,9,1487.2,1403.0,1142,2024,291.9,signal
0.0,13377,10,1337.7,1192.0,1012,2305,425.0,openat64
0.0,9898,6,1649.7,1332.5,1042,3106,772.2,flock
0.0,8144,5,1628.8,1242.0,1002,3366,980.9,fileno
0.0,6892,3,2297.3,1062.0,1011,4819,2184.0,fstat64
0.0,5891,1,5891.0,5891.0,5891,5891,0.0,mprotect
0.0,3657,2,1828.5,1828.5,1363,2294,658.3,getentropy
0.0,2044,1,2044.0,2044.0,2044,2044,0.0,fsync
0.0,1272,1,1272.0,1272.0,1272,1272,0.0,fdopen
