Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.4,630713372729,8391108,75164.5,6873.0,3457,105137409,1005155.5,cudaLaunchKernel
21.8,224272561992,586836,382172.5,10329.0,3146,1408029909,9926257.3,cudaStreamSynchronize
10.8,110647304768,919586,120323.0,4789.0,712,65624184,485931.2,cudaEventRecordWithFlags
2.8,29241006533,1033088,28304.5,9098.0,3507,532665321,1256498.7,cudaMemcpyAsync
0.7,7147363738,339720,21039.0,6753.0,3576,103300980,790851.0,cudaMemsetAsync
0.7,7004824372,14549,481464.3,146429.0,4479,12649050,1001312.7,cudaDeviceSynchronize
0.4,3804358875,919028,4139.5,1984.0,330,14117328,49675.6,cudaEventCreateWithFlags
0.3,3475017031,65611,52963.9,9418.0,4719,102948127,2040383.6,cuLaunchKernel
0.3,2787851199,920126,3029.9,2555.0,1763,9826422,12761.9,cudaEventQuery
0.3,2672993059,8391108,318.6,251.0,120,6109610,3456.8,cuKernelGetName
0.2,1761913259,28141,62610.2,6031.0,4298,102990268,2215156.5,cudaLaunchKernelExC
0.1,1280761978,918931,1393.8,671.0,330,9191903,28973.8,cudaEventDestroy
0.1,735965370,926867,794.0,641.0,310,24639986,25672.4,cudaStreamIsCapturing
0.1,519620728,90,5773563.6,3597299.5,74071,68228015,8783372.9,cuLibraryLoadData
0.0,247057865,294,840332.9,161081.5,83900,27614855,2367596.1,cuMemSetAccess
0.0,189202428,62337,3035.2,1924.0,751,28422143,114381.0,cudaEventRecord
0.0,177733197,1845,96332.4,76526.0,65314,31618242,734375.7,cuMemUnmap
0.0,108199298,310605,348.4,280.0,150,660298,1533.6,cudaGetDeviceProperties
0.0,96647316,389424,248.2,160.0,100,790506,1810.3,cuStreamGetCaptureInfo_v2
0.0,96418176,1845,52259.2,51157.0,41028,423787,10263.7,cuMemRelease
0.0,85567095,2376,36013.1,15700.0,10891,21372621,448103.6,cuMemCreate
0.0,80554145,65611,1227.8,782.0,461,3998198,24199.8,cuKernelGetFunction
0.0,74662759,2376,31423.7,28254.0,21180,1092962,25161.6,cuMemMap
0.0,19061124,39,488746.8,23424.0,4689,11295692,1850520.1,cudaHostAlloc
0.0,2519821,400,6299.6,4268.0,751,192186,13155.9,cudaStreamWaitEvent
0.0,2255612,128,17622.0,1397.0,841,489493,68364.9,cudaStreamCreateWithPriority
0.0,2211434,12,184286.2,60976.0,10880,1583327,441560.5,cudaEventSynchronize
0.0,2120276,13,163098.2,32322.0,3817,491155,190631.1,cudaMalloc
0.0,1982083,144,13764.5,12499.0,11251,63722,4845.1,cuLaunchKernelEx
0.0,1941328,1605,1209.6,962.0,291,30208,1199.2,cudaStreamGetCaptureInfo
0.0,999934,282,3545.9,2099.0,400,18415,3395.5,cuLibraryGetKernel
0.0,748596,9,83177.3,23224.0,1262,470647,152853.4,cudaFree
0.0,538816,3,179605.3,158542.0,144194,236080,49431.8,cuModuleLoadData
0.0,412888,1354,304.9,210.5,110,6292,319.7,cuGetProcAddress_v2
0.0,170075,7,24296.4,19357.0,11863,53802,14603.4,cuMemAddressReserve
0.0,49083,1,49083.0,49083.0,49083,49083,0.0,cudaMemGetInfo
0.0,27163,36,754.5,616.0,241,3847,577.3,cudaGetDriverEntryPointByVersion
0.0,19428,5,3885.6,1293.0,862,9347,3896.1,cuInit
0.0,12754,5,2550.8,431.0,170,7675,3357.6,cuModuleGetLoadingMode
0.0,8446,1,8446.0,8446.0,8446,8446,0.0,cuMemAddressFree
