Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
36.0,402636950514,133792,3009424.7,3326376.0,999779,15806129,2859156.2,void <unnamed>::qvq_fused_w2_family_grid_kernel<(bool)0>(<unnamed>::FusedSequenceArgs)
27.9,312437556875,128800,2425757.4,2752039.0,1349157,9370459,1390848.6,"void <unnamed>::qvq_viterbi_kernel<(int)4, (int)2, __half, unsigned char>(const float *, const T3 *, const float *, const long *, const float *, T4 *, long *, float *, int, int, int, bool, bool, bool)"
8.7,97602154269,61344,1591062.8,1164932.0,19104,5814195,1409274.7,void cutlass::Kernel2<cutlass_80_simt_sgemm_grouped_128x128_8x4_align1>(T1::Params)
6.0,67669152063,64832,1043761.6,290193.0,9536,101565646,6711563.4,ampere_sgemm_128x128_nt
5.6,62991963755,1792,35151765.5,6637571.5,777185,103783399,43380811.4,ampere_sgemm_128x128_tn
5.0,55752837787,384000,145189.7,146176.0,131264,2068645,9014.6,"void <unnamed>::qvq_v2_segment_grid_kernel<(int)4, (int)2, (int)16, (bool)1, (bool)0, __half, unsigned char>(const float *, const T6 *, const float *, const long *, const float *, const float *, float *, T7 *, unsigned char *, int, int, int, bool, bool)"
2.1,23982171055,61216,391763.1,308768.5,4512,971171,328405.7,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
1.2,13398660604,23360,573572.8,563586.0,307041,896739,165570.8,ampere_sgemm_64x32_sliced1x4_nt
1.2,12905672298,133792,96460.7,100896.0,67552,323873,9938.8,"<unnamed>::qvq_fused_w2_traceback_kernel(const unsigned char *, const unsigned char *, const int *, long *, unsigned char *, int)"
0.5,5541379799,35184,157497.2,93568.0,20672,13629135,634702.8,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8x5_nt_align1>(T1::Params)
0.5,5240448261,2160,2426133.5,2011959.0,444674,6746392,1315127.5,ampere_sgemm_128x64_nt
0.3,3839478640,48000,79989.1,80704.0,66400,554978,5704.5,"void <unnamed>::qvq_v2_segment_grid_finalize_kernel<(int)4, (int)2, (int)16, (bool)0, __half, unsigned char>(const float *, const T5 *, const float *, const long *, const float *, const float *, const T6 *, const unsigned char *, long *, unsigned char *, float *, int, int, bool, bool)"
