PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
3609652,3611918,0,16,16,1437603286.8,1557132302.5,479761749,1562948828,307964939.3,9228.0,6326.5,5230,49985,10903.6,1435150182.2,1554678598.0,477272178,1560502766,307972435.1,2443876.6,2443154.5,2439554,2450115,3561.2,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxBackward<(int)4, c10::Half, float, float, at::native::<unnamed>::SoftMaxBackwardEpilogue>(T2 *, const T4 *, const T4 *, long)"
3609652,3611918,0,48,48,1298764265.0,1381743710.0,440147035,1422424912,251860315.0,1783066.6,7314.0,4970,6566992,2943730.6,1296400901.3,1381184002.5,439750728,1415065834,250983395.8,580297.1,553585.0,389505,797633,167426.4,cudaLaunchKernel,"void <unnamed>::softmax_warp_backward<float, c10::Half, float, (int)10, (bool)0, (bool)0, (int)32>(T2 *, const T1 *, const T1 *, int, int, int, const bool *)"
3609652,3611918,0,128,127,1262001463.5,1328927524.0,69427,1554815879,283052018.0,11978.8,11577.0,10510,19497,1370.5,1271679256.6,1328826086.0,407219657,1553813609,260717148.6,245236.4,101360.5,28704,991329,303470.4,cuLaunchKernel,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_nt_align1>(T1::Params)
3609652,3611918,0,128,128,1258252693.3,1315935048.5,96869,1564783360,281973972.5,12664.6,12062.0,10220,24277,2369.6,1257900136.6,1315769563.5,608,1563556408,281867785.1,339892.2,162496.0,54625,1220929,368813.5,cuLaunchKernel,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_256x128_nt_align1>(T1::Params)
3609652,3611918,0,16,16,1241965117.3,1328655713.0,428388596,1329580024,245669028.5,12243.9,11893.0,11372,16581,1261.9,1241875267.3,1328564028.0,428295919,1329490261,245669226.1,77606.1,77728.0,74624,81153,1997.7,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x64_32x4_nt_align8>(T1::Params)
3609652,3611918,0,80,80,1239870427.3,1324243986.0,417829226,1350108319,240486953.6,3204866.5,55816.5,5020,6619953,3297429.4,1236479208.0,1317772148.0,417711376,1343263916,239252299.4,186352.9,167184.0,110496,283584,59814.8,cudaLaunchKernel,"void <unnamed>::softmax_warp_backward<float, c10::Half, float, (int)9, (bool)0, (bool)0, (int)32>(T2 *, const T1 *, const T1 *, int, int, int, const bool *)"
3609652,3611918,0,256,256,1235141460.1,1303124135.5,25577,1565909900,278625830.1,423408.3,12133.0,10280,105137409,6570290.9,1234701227.5,1303096900.5,758,1565862461,279813044.8,16824.3,15008.0,9184,36000,6183.9,cudaLaunchKernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::Half, at::native::func_wrapper_t<c10::Half, at::native::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, (int)4, (int)8>>(T3)"
3609652,3611918,0,256,256,1234694652.8,1303082046.0,28592,1565930261,279817483.3,11841.0,10610.0,8626,165325,10959.1,1234652400.7,1303052516.0,940,1565835877,279813798.6,30411.1,24480.0,10752,84480,18194.9,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::func_wrapper_t<c10::Half, at::native::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, (int)4, (int)8>>(T3)"
3609652,3611918,0,64,64,1227870052.4,1308523670.0,41435,1383241424,289616675.4,12481.3,12088.0,10711,19317,1435.4,1227766475.4,1308479319.0,648,1383036444,289605003.6,91095.7,70993.0,27456,195905,68380.1,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_64x256_32x4_nt_align2>(T1::Params)
3609652,3611918,0,48,48,1225182655.4,1308213733.0,412018683,1329009156,239495001.7,12372.9,12103.0,10980,15229,1075.4,1225127443.7,1308176125.0,411978747,1328925904,239494407.3,42838.9,30576.0,25792,75137,20604.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x256_32x4_nt_align8>(T1::Params)
3609652,3611918,0,64,64,1220790405.5,1295454317.5,39739,1385639012,287232645.6,13659.4,12569.0,10550,73029,7698.5,1220684731.4,1295410354.5,639,1385431196,287218286.1,92014.7,71504.0,26496,202240,70172.8,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_256x64_32x4_nt_align2>(T1::Params)
