Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:qvq_quantize.main,PushPop,1280352908520,1284682623508,1,1280352908520.0,1280352908520.0,1280352908520,1280352908520,0.0,702689,702689.0,0.0,1.0
:qvq_cuda.viterbi_v2_segment_family_grid_trusted,PushPop,382809315743,88533964006,102304,3741880.2,3449385.0,1135779,15943473,3021849.8,424192,4.1,1.0,0.0
:qvq_api.qvq_cuda_viterbi,PushPop,179764515660,45333625677,40960,4388782.1,3772332.0,2150791,89197278,2195438.0,2019328,49.3,1.0,1.0
:qvq_cuda.viterbi_tail_trusted,PushPop,176743398369,12816357318,43920,4024212.2,2948713.5,2715656,14241902,1391894.6,263520,6.0,1.0,0.0
:qvq_cuda.viterbi,PushPop,156556377506,21436041471,40960,3822177.2,3214362.0,1715206,88357116,2062672.1,1040384,25.4,2.0,0.0
:stage.prepare_yaqa,PushPop,138296543890,138801217354,1,138296543890.0,138296543890.0,138296543890,138296543890,0.0,14598,14598.0,1.0,0.0
:qvq_cuda.yaqa_feedback,PushPop,98959410223,7813062329,61344,1613188.1,1183588.0,31264,18825229,1413153.7,245376,4.0,1.0,0.0
:qvq_cuda.viterbi_v2_segment_tail_trusted,PushPop,95960055006,25432345527,39744,2414453.9,2462727.0,2183623,43167072,276234.8,670464,16.9,1.0,0.0
:qvq_cuda.yaqa_feedback_update,PushPop,44067316183,6319122245,61344,718363.9,494338.0,15936,3114282,457806.7,184032,3.0,1.0,0.0
:stage.process:model.layers.1.mlp.up_proj,PushPop,17983799456,18029046808,1,17983799456.0,17983799456.0,17983799456,17983799456,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.0.mlp.up_proj,PushPop,17859981368,18143398363,1,17859981368.0,17859981368.0,17859981368,17859981368,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.3.mlp.down_proj,PushPop,17839304062,17884564124,1,17839304062.0,17839304062.0,17839304062,17839304062,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.0.mlp.down_proj,PushPop,17761324742,17808726880,1,17761324742.0,17761324742.0,17761324742,17761324742,0.0,158954,158954.0,0.0,6521.0
:stage.process:model.layers.10.mlp.down_proj,PushPop,17753094963,17798614393,1,17753094963.0,17753094963.0,17753094963,17753094963,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.15.mlp.down_proj,PushPop,17744134168,17798898034,1,17744134168.0,17744134168.0,17744134168,17744134168,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.5.mlp.down_proj,PushPop,17706037444,17769035858,1,17706037444.0,17706037444.0,17706037444,17706037444,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.11.mlp.down_proj,PushPop,17691506801,17735907488,1,17691506801.0,17691506801.0,17691506801,17691506801,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.8.mlp.down_proj,PushPop,17684710238,17728863607,1,17684710238.0,17684710238.0,17684710238,17684710238,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.7.mlp.down_proj,PushPop,17674500650,17717473896,1,17674500650.0,17674500650.0,17674500650,17674500650,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.2.mlp.down_proj,PushPop,17661031617,17708233070,1,17661031617.0,17661031617.0,17661031617,17661031617,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.14.mlp.down_proj,PushPop,17656063180,17704005725,1,17656063180.0,17656063180.0,17656063180,17656063180,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.12.mlp.down_proj,PushPop,17630854445,17688291445,1,17630854445.0,17630854445.0,17630854445,17630854445,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.13.mlp.down_proj,PushPop,17580623471,17681379936,1,17580623471.0,17580623471.0,17580623471,17580623471,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.4.mlp.down_proj,PushPop,17569964490,17617987434,1,17569964490.0,17569964490.0,17569964490,17569964490,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.9.mlp.down_proj,PushPop,17553390064,17632274255,1,17553390064.0,17553390064.0,17553390064,17553390064,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.6.mlp.down_proj,PushPop,17530478537,17576653680,1,17530478537.0,17530478537.0,17530478537,17530478537,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.1.mlp.down_proj,PushPop,17502218117,17551879007,1,17502218117.0,17502218117.0,17502218117,17502218117,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.3.mlp.gate_proj,PushPop,17484822906,17806479369,1,17484822906.0,17484822906.0,17484822906,17484822906,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.2.mlp.up_proj,PushPop,17448825270,17505749797,1,17448825270.0,17448825270.0,17448825270,17448825270,0.0,78043,78043.0,0.0,4985.0
