Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
46.8,1284682623508,1,1284682623508.0,1284682623508.0,1284682623508,1284682623508,0.0,PushPop,:qvq_quantize.main
5.1,138801217354,1,138801217354.0,138801217354.0,138801217354,138801217354,0.0,PushPop,:stage.prepare_yaqa
3.2,88533964006,102304,865400.8,100772.0,84101,54387535,2385150.6,PushPop,:qvq_cuda.viterbi_v2_segment_family_grid_trusted
1.7,45333625677,40960,1106778.0,1086114.0,830562,86717624,966289.1,PushPop,:qvq_api.qvq_cuda_viterbi
0.9,25432345527,39744,639904.0,264424.0,201964,44897955,694568.1,PushPop,:qvq_cuda.viterbi_v2_segment_tail_trusted
0.8,21436041471,40960,523340.9,512191.0,389502,85792029,636669.2,PushPop,:qvq_cuda.viterbi
0.7,18143398363,1,18143398363.0,18143398363.0,18143398363,18143398363,0.0,PushPop,:stage.process:model.layers.0.mlp.up_proj
0.7,18029046808,1,18029046808.0,18029046808.0,18029046808,18029046808,0.0,PushPop,:stage.process:model.layers.1.mlp.up_proj
0.7,17884564124,1,17884564124.0,17884564124.0,17884564124,17884564124,0.0,PushPop,:stage.process:model.layers.3.mlp.down_proj
0.6,17808726880,1,17808726880.0,17808726880.0,17808726880,17808726880,0.0,PushPop,:stage.process:model.layers.0.mlp.down_proj
0.6,17806479369,1,17806479369.0,17806479369.0,17806479369,17806479369,0.0,PushPop,:stage.process:model.layers.3.mlp.gate_proj
0.6,17798898034,1,17798898034.0,17798898034.0,17798898034,17798898034,0.0,PushPop,:stage.process:model.layers.15.mlp.down_proj
0.6,17798614393,1,17798614393.0,17798614393.0,17798614393,17798614393,0.0,PushPop,:stage.process:model.layers.10.mlp.down_proj
0.6,17769035858,1,17769035858.0,17769035858.0,17769035858,17769035858,0.0,PushPop,:stage.process:model.layers.5.mlp.down_proj
0.6,17735907488,1,17735907488.0,17735907488.0,17735907488,17735907488,0.0,PushPop,:stage.process:model.layers.11.mlp.down_proj
0.6,17728863607,1,17728863607.0,17728863607.0,17728863607,17728863607,0.0,PushPop,:stage.process:model.layers.8.mlp.down_proj
0.6,17717473896,1,17717473896.0,17717473896.0,17717473896,17717473896,0.0,PushPop,:stage.process:model.layers.7.mlp.down_proj
0.6,17708233070,1,17708233070.0,17708233070.0,17708233070,17708233070,0.0,PushPop,:stage.process:model.layers.2.mlp.down_proj
0.6,17704005725,1,17704005725.0,17704005725.0,17704005725,17704005725,0.0,PushPop,:stage.process:model.layers.14.mlp.down_proj
0.6,17688291445,1,17688291445.0,17688291445.0,17688291445,17688291445,0.0,PushPop,:stage.process:model.layers.12.mlp.down_proj
0.6,17681379936,1,17681379936.0,17681379936.0,17681379936,17681379936,0.0,PushPop,:stage.process:model.layers.13.mlp.down_proj
0.6,17632274255,1,17632274255.0,17632274255.0,17632274255,17632274255,0.0,PushPop,:stage.process:model.layers.9.mlp.down_proj
0.6,17617987434,1,17617987434.0,17617987434.0,17617987434,17617987434,0.0,PushPop,:stage.process:model.layers.4.mlp.down_proj
0.6,17576653680,1,17576653680.0,17576653680.0,17576653680,17576653680,0.0,PushPop,:stage.process:model.layers.6.mlp.down_proj
0.6,17551879007,1,17551879007.0,17551879007.0,17551879007,17551879007,0.0,PushPop,:stage.process:model.layers.1.mlp.down_proj
0.6,17505749797,1,17505749797.0,17505749797.0,17505749797,17505749797,0.0,PushPop,:stage.process:model.layers.2.mlp.up_proj
0.6,17047290972,1,17047290972.0,17047290972.0,17047290972,17047290972,0.0,PushPop,:stage.process:model.layers.6.mlp.gate_proj
0.6,16883821603,1,16883821603.0,16883821603.0,16883821603,16883821603,0.0,PushPop,:stage.process:model.layers.6.mlp.up_proj
0.6,16847838114,1,16847838114.0,16847838114.0,16847838114,16847838114,0.0,PushPop,:stage.process:model.layers.0.mlp.gate_proj
0.6,16770455516,1,16770455516.0,16770455516.0,16770455516,16770455516,0.0,PushPop,:stage.process:model.layers.14.mlp.gate_proj
0.6,16742906866,1,16742906866.0,16742906866.0,16742906866,16742906866,0.0,PushPop,:stage.process:model.layers.8.mlp.gate_proj
0.6,16712161016,1,16712161016.0,16712161016.0,16712161016,16712161016,0.0,PushPop,:stage.process:model.layers.10.mlp.gate_proj
0.6,16709635054,1,16709635054.0,16709635054.0,16709635054,16709635054,0.0,PushPop,:stage.process:model.layers.7.mlp.up_proj
0.6,16702571435,1,16702571435.0,16702571435.0,16702571435,16702571435,0.0,PushPop,:stage.process:model.layers.11.mlp.gate_proj
0.6,16698969313,1,16698969313.0,16698969313.0,16698969313,16698969313,0.0,PushPop,:stage.process:model.layers.4.mlp.up_proj
