Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.2,15808929533710,1352,11692995217.2,7687833.0,5150,152071762486,31185849538.9,sem_wait
16.2,3804482638760,6448,590025223.1,200056278.5,35357,10000235107,1914282495.4,sem_clockwait
10.9,2567317549512,25663,100039650.5,100106113.0,1062,242830406,3427323.5,poll
5.4,1280081160787,213,6009770707.9,14046.0,4879,1163508044822,79701400439.6,pthread_cond_wait
0.1,19951593159,110716,180205.1,19958.0,1002,786971462,2840345.6,read
0.0,9102906745,42621,213578.0,7364.0,1001,6853518,401470.9,open64
0.0,7809487130,15458,505206.8,448640.0,1042,14100025,451758.9,pthread_rwlock_wrlock
0.0,7631242485,19,401644341.3,78880.0,22022,7629745627,1750364614.8,waitpid
0.0,6719139631,51619,130168.0,17183.0,1001,8555100,641808.1,pthread_cond_timedwait
0.0,908639462,16925,53686.2,26631.0,1002,29686562,386153.9,ioctl
0.0,793755075,15350,51710.4,16722.0,1052,16956628,527112.1,pthread_rwlock_rdlock
0.0,424984066,2359,180154.3,2325.0,1002,243315772,5039210.7,write
0.0,393852782,30320,12989.9,9828.5,1001,28984325,171009.5,close
0.0,385661230,54938,7019.9,2715.0,1573,199888058,852799.2,munmap
0.0,283641905,2588,109598.9,46364.0,26420,10614674,437586.4,pthread_create
0.0,175677786,47217,3720.6,1964.0,1001,4058483,31720.6,pthread_cond_signal
0.0,105649012,8516,12405.9,6763.0,1001,5354241,98996.9,pthread_mutex_lock
0.0,70102212,40106,1747.9,1202.0,1001,1039842,7454.0,mmap64
0.0,53207173,1398,38059.5,10089.5,4468,27448929,733804.8,backtrace
0.0,33397987,514,64976.6,55040.0,11482,2140568,110595.2,sleep
0.0,24507060,61,401755.1,1283.0,1012,12234490,2191788.9,futex
0.0,22138568,216,102493.4,1393.0,1002,2813390,505614.7,fopen
0.0,20973819,504,41614.7,5265.0,1022,6418870,397350.5,fgets
0.0,10117647,2,5058823.5,5058823.5,5058197,5059450,886.0,nanosleep
0.0,4299141,4,1074785.3,1668.0,1062,4294743,2146638.5,pread
0.0,3086927,29,106445.8,7104.0,1033,2486127,459799.9,open
0.0,1246048,117,10650.0,2324.0,1002,165085,28966.8,fclose
0.0,828627,12,69052.3,16686.5,10200,346430,124789.0,sem_timedwait
0.0,695378,41,16960.4,7996.0,2605,171647,27711.4,mmap
0.0,505080,53,9529.8,4399.0,1022,69823,11620.1,fopen64
0.0,381145,50,7622.9,4183.5,2325,18636,5051.4,pipe2
0.0,234191,107,2188.7,1353.0,1011,8937,1881.9,lstat64
0.0,129014,32,4031.7,2926.0,1293,20660,3550.4,stat64
0.0,101090,12,8424.2,8556.0,1031,12073,2616.5,fflush
0.0,89080,3,29693.3,19287.0,18535,51258,18679.3,connect
0.0,84732,7,12104.6,14247.0,4839,22844,7095.6,socket
0.0,62874,30,2095.8,1578.0,1022,9868,1770.1,sigaction
0.0,42201,28,1507.2,1462.5,1021,2425,360.7,fcntl
0.0,38190,20,1909.5,2074.0,1012,2775,571.8,dup2
0.0,30677,14,2191.2,1307.5,1002,6323,1930.9,pthread_mutex_trylock
0.0,27183,4,6795.8,2114.5,1563,21391,9735.2,statx
0.0,22975,4,5743.8,5421.0,2124,10009,3968.2,bind
0.0,22965,3,7655.0,5541.0,1413,16011,7525.1,stat
0.0,16551,5,3310.2,2756.0,1332,5560,2000.5,fwrite
0.0,16531,1,16531.0,16531.0,16531,16531,0.0,lstat
0.0,16280,3,5426.7,5841.0,1713,8726,3524.8,fread
0.0,15528,9,1725.3,1693.0,1372,2495,342.1,signal
0.0,8806,6,1467.7,1233.0,1011,2414,537.9,openat64
0.0,8557,2,4278.5,4278.5,2846,5711,2025.9,pthread_cond_broadcast
0.0,7153,5,1430.6,1282.0,1132,2034,361.1,flock
0.0,6502,1,6502.0,6502.0,6502,6502,0.0,mprotect
0.0,3598,3,1199.3,1192.0,1103,1303,100.2,fileno
0.0,3306,1,3306.0,3306.0,3306,3306,0.0,fsync
0.0,2565,2,1282.5,1282.5,1132,1433,212.8,getentropy
0.0,1283,1,1283.0,1283.0,1283,1283,0.0,fdopen
0.0,1152,1,1152.0,1152.0,1152,1152,0.0,flockfile
0.0,1072,1,1072.0,1072.0,1072,1072,0.0,fstat64
