Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.9,115199700291,1195016,96400.1,6202.0,3156,309264365,477934.4,cudaLaunchKernel
21.2,45379737592,76854,590466.8,9708.0,3096,1826633158,18762118.3,cudaStreamSynchronize
16.5,35309491588,114950,307172.6,4359.0,701,14660646,723392.3,cudaEventRecordWithFlags
6.9,14795117427,133112,111147.9,8286.0,3336,294003896,1712465.6,cudaMemcpyAsync
0.4,886733886,1823,486414.6,145106.0,4719,12645187,1017650.3,cudaDeviceSynchronize
0.3,534971807,90,5944131.2,3376842.5,67208,61799629,8762803.3,cuLibraryLoadData
0.2,339432350,1195016,284.0,231.0,120,1867157,2868.7,cuKernelGetName
0.1,309815258,114980,2694.5,2104.0,340,9985792,41400.5,cudaEventCreateWithFlags
0.1,287866917,43564,6607.9,5541.0,2765,5746756,33515.3,cudaMemsetAsync
0.1,279739201,114986,2432.8,2294.0,1723,1232568,7318.3,cudaEventQuery
0.1,121670548,350,347630.1,204729.5,3466,4680546,411070.0,cudaMalloc
0.1,112004339,9765,11470.0,8977.0,3617,2034536,44859.3,cuLaunchKernel
0.1,110906026,114883,965.4,641.0,320,9733591,43472.5,cudaEventDestroy
0.0,82868812,119810,691.7,611.0,291,763825,4932.8,cudaStreamIsCapturing
0.0,37734749,4033,9356.5,6061.0,3977,3256603,51481.1,cudaLaunchKernelExC
0.0,26967787,99,272401.9,151519.0,1001,2238645,385814.6,cudaFree
0.0,25114799,9765,2571.9,742.0,230,4034475,60054.0,cuKernelGetFunction
0.0,18293873,7793,2347.5,1934.0,761,788281,10767.3,cudaEventRecord
0.0,11565153,38829,297.8,261.0,150,202917,1054.9,cudaGetDeviceProperties
0.0,10677902,39,273792.4,16953.0,5390,2618427,704613.8,cudaHostAlloc
0.0,10263785,48678,210.9,150.0,100,376878,2183.1,cuStreamGetCaptureInfo_v2
0.0,2334005,128,18234.4,1627.5,851,493510,67927.8,cudaStreamCreateWithPriority
0.0,2183563,1605,1360.5,762.0,280,587239,14683.4,cudaStreamGetCaptureInfo
0.0,2019993,144,14027.7,11842.5,10911,218967,17440.3,cuLaunchKernelEx
0.0,842561,1354,622.3,200.0,110,489873,13307.5,cuGetProcAddress_v2
0.0,821520,280,2934.0,1893.5,361,20188,2931.1,cuLibraryGetKernel
0.0,412727,3,137575.7,138404.0,129016,145307,8177.0,cuModuleLoadData
0.0,173996,50,3479.9,3221.5,782,14608,2562.4,cudaStreamWaitEvent
0.0,30077,1,30077.0,30077.0,30077,30077,0.0,cudaMemGetInfo
0.0,21171,1,21171.0,21171.0,21171,21171,0.0,cudaEventSynchronize
0.0,12212,5,2442.4,1382.0,791,6373,2273.4,cuInit
0.0,9658,5,1931.6,471.0,160,4518,2260.5,cuModuleGetLoadingMode
0.0,1754,3,584.7,431.0,341,982,347.0,cudaGetDriverEntryPointByVersion
