Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
60.3,135148040809,181792,743421.3,326369.0,132064,4390547,865312.1,"void <unnamed>::qvq_v2_segment_grid_kernel<(int)4, (int)2, (int)16, (bool)1, (bool)0, __half, unsigned char>(const float *, const T6 *, const float *, const long *, const float *, const float *, float *, T7 *, unsigned char *, int, int, int, bool, bool)"
17.5,39218145506,16100,2435909.7,2757835.0,1350654,7304479,1401220.2,"void <unnamed>::qvq_viterbi_kernel<(int)4, (int)2, __half, unsigned char>(const float *, const T3 *, const float *, const long *, const float *, T4 *, long *, float *, int, int, int, bool, bool, bool)"
5.6,12591663577,7668,1642105.3,1242660.0,20512,6117692,1468277.3,void cutlass::Kernel2<cutlass_80_simt_sgemm_grouped_128x128_8x4_align1>(T1::Params)
3.8,8509896452,8104,1050085.9,299809.0,9792,101237874,6684313.7,ampere_sgemm_128x128_nt
3.5,7810750320,224,34869421.1,6573942.0,769468,102168860,43102978.9,ampere_sgemm_128x128_tn
2.1,4698125075,22724,206747.3,105697.0,66176,954372,184298.2,"void <unnamed>::qvq_v2_segment_grid_finalize_kernel<(int)4, (int)2, (int)16, (bool)0, __half, unsigned char>(const float *, const T5 *, const float *, const long *, const float *, const float *, const T6 *, const unsigned char *, long *, unsigned char *, float *, int, int, bool, bool)"
1.4,3079942646,7652,402501.7,310705.5,4672,1017861,341737.5,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.8,1703518696,2920,583396.8,572609.5,307200,894403,173733.1,ampere_sgemm_64x32_sliced1x4_nt
0.3,694478822,4398,157907.9,93408.0,20736,13696850,640803.1,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8x5_nt_align1>(T1::Params)
0.3,655070708,270,2426187.8,2012293.0,444994,6743518,1317233.3,ampere_sgemm_128x64_nt
