PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
2264054,2266203,0,2574,2569,626875509.0,491931796.5,13280,1825282385,558102025.2,5689.5,5070.0,4349,524159,10398.6,628085825.3,491940647.0,198,1825272443,557958445.2,4053.4,4224.0,2976,21024,939.8,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(unsigned char) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2264054,2265402,0,224,224,596292168.5,552099087.0,128079867,1017079937,246539890.5,26926.2,8847.0,7815,665237,89143.1,561395821.2,526731643.5,102145958,1010523152,255543141.3,34869421.1,6573942.0,769468,102168860,43102978.9,cudaLaunchKernel,ampere_sgemm_128x128_tn
2264054,2265402,0,448,448,579045455.7,543890945.0,102210375,1017126811,251403906.8,42892.8,7233.0,6202,7500718,367361.7,578707853.6,543280130.5,101065407,1017042696,251472112.6,294709.3,78543.5,7584,1142909,440530.3,cudaLaunchKernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
2264054,2265402,0,672,672,576520965.6,533058967.5,11679,1017101081,255665105.3,17972.3,4288.5,3787,1577766,88297.3,576464967.3,532938682.0,2027,1017084485,255663869.4,38026.1,12464.0,2400,198015,54731.6,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2264054,2265402,0,672,672,576519965.6,532965488.5,11051,1017095369,255650941.0,16629.1,4353.5,3787,1065460,76716.0,576479511.0,532946660.5,2233,1017084929,255649368.8,23825.5,6400.0,2368,136000,36232.4,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2264054,2265402,0,672,672,576506003.2,533146594.0,13924,1017101159,255679982.2,16761.1,5014.5,4249,861701,69805.3,576452984.2,533046778.5,2474,1017090057,255681810.8,36258.0,6240.0,2368,205567,59255.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
2264054,2265402,0,672,672,576499058.8,533251425.5,31672,1017112616,255693380.4,18428.5,5931.0,4729,769545,74255.9,576424113.5,533137899.0,14562,1017092911,255701281.6,56516.7,13840.0,2880,316607,87975.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
2264054,2265402,0,672,672,576491061.0,532950976.0,18420,1017082305,255627536.4,18582.0,6071.5,5089,747865,68725.4,576448379.1,532931045.5,1331,1017064485,255625131.4,24100.0,11520.0,6816,100384,28507.0,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
2264054,2265402,0,672,672,576460355.7,532933257.0,10876,1017064061,255621479.8,20917.3,5405.5,4569,883593,88951.9,576437312.5,532925708.0,1959,1017056180,255611791.3,2125.9,2048.0,1664,2848,265.4,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase &)::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
2264054,2265402,0,672,670,576407768.5,532920213.0,9711,1017049638,255627471.3,480352.1,4949.0,4218,309264365,11929643.4,577644564.2,539298539.0,923,1017042554,254816811.3,2037.0,1984.0,1664,2592,162.4,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::logical_or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2264054,2265402,0,448,446,549375570.1,520768396.0,1657727,1010527887,263462605.3,24427.1,9548.0,8085,705675,83381.3,538448466.0,492197621.0,890,1004068059,269359841.9,13306484.3,3123766.5,129344,101237874,25464785.0,cudaLaunchKernel,ampere_sgemm_128x128_nt
2264054,2265402,0,448,447,536392882.1,488562313.5,20016,1000076710,269687264.5,14651.4,5330.0,4198,568493,58099.7,537527020.1,489919091.0,1666,999963651,268794165.8,51048.7,28192.0,5152,369150,59722.9,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(bool, unsigned int, unsigned int) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2264054,2265402,0,467,450,514574870.7,469770260.0,9633,999992360,284594860.6,16103.8,6101.0,4679,716374,63836.8,533973492.5,486980903.5,1294,999985188,271445327.3,23514.0,1824.0,1280,914365,113927.5,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
2264054,2266203,0,7574,7476,425214460.2,392875056.5,10360,1825417627,544102624.7,7135.8,6673.0,4969,453314,6661.6,430762730.9,456369928.5,5,1825404827,545471071.4,18244.6,4512.0,3168,665315,45274.9,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2264054,2266203,0,20330,20330,382179149.5,391741627.0,16942,1851664893,418727207.4,383217.8,54359.0,4769,22074589,889930.6,381792557.5,391619590.0,809,1847363259,418110958.1,3374.2,3264.0,1856,116929,1975.1,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2264054,2265402,0,948,937,321440731.4,225748218.5,16825,1017761099,336464078.2,17352.8,5866.0,3907,840631,78306.7,325133697.0,257661279.0,763,1017636618,336591794.4,62349.3,24064.0,3424,376478,103767.2,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2264054,2266203,0,5120,5120,316967617.5,7111947.0,15337,1826287532,504071945.9,158615.4,9919.0,7304,6654927,285591.1,316804695.3,7097711.0,110,1825368772,503831219.6,4306.8,4192.0,3808,5568,441.7,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2264054,2265402,0,16,16,297248151.9,297280607.0,47911745,990476630,218908406.6,367784.4,5480.5,4429,1159619,549749.1,294449415.3,294848358.0,45438205,988036665,218841729.4,2430952.2,2428116.0,2426197,2441684,5569.9,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxBackward<(int)4, c10::Half, float, float, at::native::<unnamed>::SoftMaxBackwardEpilogue>(T2 *, const T4 *, const T4 *, long)"
2264054,2266203,0,22724,22724,285564710.9,133411875.5,1160286,1860209813,359181607.5,484003.4,155045.5,3347,11475329,842648.5,284873960.1,133179870.5,1087694,1855058360,358288329.7,206747.3,105697.0,66176,954372,184298.2,cudaLaunchKernel,"void <unnamed>::qvq_v2_segment_grid_finalize_kernel<(int)4, (int)2, (int)16, (bool)0, __half, unsigned char>(const float *, const T5 *, const float *, const long *, const float *, const float *, const T6 *, const unsigned char *, long *, unsigned char *, float *, int, int, bool, bool)"
2264054,2266203,0,181792,181792,283852808.6,132623298.5,145939,1859272682,356907455.2,229835.1,4198.0,3156,16205349,561115.2,282879552.3,132168808.5,1920,1855226525,355835807.9,743421.3,326369.0,132064,4390547,865312.1,cudaLaunchKernel,"void <unnamed>::qvq_v2_segment_grid_kernel<(int)4, (int)2, (int)16, (bool)1, (bool)0, __half, unsigned char>(const float *, const T6 *, const float *, const long *, const float *, const float *, float *, T7 *, unsigned char *, int, int, int, bool, bool)"
