Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:qvq_quantize.main,PushPop,248902836029,252431863077,1,248902836029.0,248902836029.0,248902836029,248902836029,0.0,97595,97595.0,0.0,1.0
:qvq_cuda.viterbi_v2_segment_family_grid_trusted,PushPop,123411632946,48241812927,12788,9650581.2,9109851.5,1223810,35750362,7851500.2,127880,10.0,1.0,0.0
:stage.process:model.layers.0.mlp.down_proj,PushPop,29738439904,29787290083,1,29738439904.0,29738439904.0,29738439904,29738439904,0.0,172454,172454.0,0.0,6521.0
:stage.process:model.layers.1.mlp.down_proj,PushPop,29485207104,29534414500,1,29485207104.0,29485207104.0,29485207104,29485207104,0.0,166064,166064.0,0.0,6521.0
:stage.process:model.layers.1.mlp.up_proj,PushPop,27841216084,27892005493,1,27841216084.0,27841216084.0,27841216084,27841216084,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.0.mlp.up_proj,PushPop,27837112548,27889410881,1,27837112548.0,27837112548.0,27837112548,27837112548,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.0.mlp.gate_proj,PushPop,27818341024,27877485274,1,27818341024.0,27818341024.0,27818341024,27818341024,0.0,93325,93325.0,0.0,4985.0
:stage.process:model.layers.1.mlp.gate_proj,PushPop,27810756268,27857896029,1,27810756268.0,27810756268.0,27810756268,27810756268,0.0,86935,86935.0,0.0,4985.0
:stage.prepare_yaqa,PushPop,23285283573,23457124581,1,23285283573.0,23285283573.0,23285283573,23285283573,0.0,14402,14402.0,1.0,0.0
:qvq_api.qvq_cuda_viterbi,PushPop,22360567377,5481040115,5120,4367298.3,3753940.0,2125949,83314442,2333111.5,252416,49.3,1.0,1.0
:qvq_cuda.viterbi_tail_trusted,PushPop,22131261181,1534888764,5490,4031195.1,2967622.5,2718587,14261607,1402041.5,32940,6.0,1.0,0.0
:qvq_cuda.viterbi,PushPop,19584344911,2615213796,5120,3825067.4,3200734.5,1696989,81968781,2300119.5,130048,25.4,2.0,0.0
:qvq_cuda.viterbi_v2_segment_tail_trusted,PushPop,16825177716,10753161032,4968,3386710.5,2547164.0,2404616,7724988,1258200.7,109296,22.0,1.0,0.0
:qvq_cuda.yaqa_feedback,PushPop,12719267816,823960851,7668,1658746.5,1259366.0,33088,6133180,1470431.4,30672,4.0,1.0,0.0
:stage.process:model.layers.0.self_attn.q_proj,PushPop,8385109687,8412899085,1,8385109687.0,8385109687.0,8385109687,8385109687,0.0,80721,80721.0,0.0,1532.0
:stage.process:model.layers.1.self_attn.o_proj,PushPop,8202907441,8225390558,1,8202907441.0,8202907441.0,8202907441,8202907441,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.1.self_attn.q_proj,PushPop,8199873356,8224384852,1,8199873356.0,8199873356.0,8199873356,8199873356,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.0.self_attn.o_proj,PushPop,8177288916,8199990084,1,8177288916.0,8177288916.0,8177288916,8177288916,0.0,77995,77995.0,0.0,1532.0
:qvq_cuda.yaqa_feedback_update,PushPop,5665913098,4590281832,7668,738903.6,494242.0,16352,1634533,484585.0,23004,3.0,1.0,0.0
:stage.process:model.layers.0.self_attn.k_proj,PushPop,3353806697,3369126240,1,3353806697.0,3353806697.0,3353806697,3353806697,0.0,61200,61200.0,0.0,1148.0
:stage.process:model.layers.1.self_attn.v_proj,PushPop,3347713456,3362483086,1,3347713456.0,3347713456.0,3347713456,3347713456,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.1.self_attn.k_proj,PushPop,3322060632,3337247115,1,3322060632.0,3322060632.0,3322060632,3322060632,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.0.self_attn.v_proj,PushPop,3298921912,3314171018,1,3298921912.0,3298921912.0,3298921912,3298921912,0.0,59610,59610.0,0.0,1148.0
CCCL:cub::DeviceSelect::Flagged,PushPop,39730763,72474792,3616,10987.5,9376.0,8128,2790251,49991.5,7232,2.0,0.0,0.0
CCCL:cub::DeviceRadixSort,PushPop,8755093,8918990,16,547193.3,32432.0,5632,8206328,2042698.9,72,4.5,0.0,0.0
CCCL:cub::DeviceReduce::Sum,PushPop,8165810,55177046,3616,2258.2,1984.0,1600,41024,960.3,3624,1.0,0.0,0.0
