NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,2264054,2265402,0,224,7810750320,34869421.1,6573942.0,769468,102168860,43102978.9,ampere_sgemm_128x128_tn
,,2264054,2265402,0,448,5961304955,13306484.3,3123766.5,129344,101237874,25464785.0,ampere_sgemm_128x128_nt
,,2264054,2265402,0,384,171557333,446763.9,333183.0,18880,1198778,331030.7,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
,,2264054,2265402,0,448,132029758,294709.3,78543.5,7584,1142909,440530.3,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
,,2264054,2265402,0,1840,129762901,70523.3,17712.0,1792,2257077,234006.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
,,2264054,2265402,0,189,127682937,675571.1,225952.0,163423,15974514,1755132.3,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_nn
,,2264054,2265402,0,256,125601170,490629.6,182959.0,47520,2014774,622781.6,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_tn_align1>(T1::Params)
,,2264054,2265402,0,1744,123373375,70741.6,26096.0,4864,1775767,188315.6,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
,,2264054,2265402,0,16,108094255,6755890.9,6739375.0,6738271,6803614,26846.0,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)8, c10::Half, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
,,2264054,2265402,0,576,107447168,186540.2,111679.5,34016,1217338,260500.2,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn
,,2264054,2265402,0,224,107094827,478101.9,448030.5,276127,730493,148942.6,ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn
,,2264054,2265402,0,608,100103722,164644.3,111088.0,28320,749917,180347.7,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
,,2264054,2265402,0,1315,79891887,60754.3,12448.0,4032,1468698,174525.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
,,2264054,2265402,0,256,79061180,308832.7,127983.0,30912,1245594,381095.0,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_nn_align1>(T1::Params)
,,2264054,2265402,0,768,75646159,98497.6,23648.0,5184,1596569,247432.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
,,2264054,2265402,0,3088,64520498,20893.9,14624.0,4608,91328,17641.9,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
,,2264054,2265402,0,3072,62097334,20214.0,14528.0,3935,90943,17992.1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
,,2264054,2265402,0,948,59107180,62349.3,24064.0,3424,376478,103767.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
,,2264054,2265402,0,512,58875131,114990.5,43872.0,5696,756412,182269.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
,,2264054,2265402,0,768,55326102,72039.2,53167.5,18432,233023,52534.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
,,2264054,2265402,0,16,48577726,3036107.9,2420824.0,854142,7710617,1933513.0,"void at::native::<unnamed>::cunn_SoftMaxBackward<(int)4, float, float, float, at::native::<unnamed>::LogSoftMaxBackwardEpilogue>(T2 *, const T4 *, const T4 *, long)"
