Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
44.4,252431863077,1,252431863077.0,252431863077.0,252431863077,252431863077,0.0,:qvq_quantize.main
8.5,48241812927,12788,3772428.3,1121170.5,97055,35569525,5731263.8,:qvq_cuda.viterbi_v2_segment_family_grid_trusted
5.2,29787290083,1,29787290083.0,29787290083.0,29787290083,29787290083,0.0,:stage.process:model.layers.0.mlp.down_proj
5.2,29534414500,1,29534414500.0,29534414500.0,29534414500,29534414500,0.0,:stage.process:model.layers.1.mlp.down_proj
4.9,27892005493,1,27892005493.0,27892005493.0,27892005493,27892005493,0.0,:stage.process:model.layers.1.mlp.up_proj
4.9,27889410881,1,27889410881.0,27889410881.0,27889410881,27889410881,0.0,:stage.process:model.layers.0.mlp.up_proj
4.9,27877485274,1,27877485274.0,27877485274.0,27877485274,27877485274,0.0,:stage.process:model.layers.0.mlp.gate_proj
4.9,27857896029,1,27857896029.0,27857896029.0,27857896029,27857896029,0.0,:stage.process:model.layers.1.mlp.gate_proj
4.1,23457124581,1,23457124581.0,23457124581.0,23457124581,23457124581,0.0,:stage.prepare_yaqa
1.9,10753161032,4968,2164484.9,1604181.0,226752,12382567,1681867.8,:qvq_cuda.viterbi_v2_segment_tail_trusted
1.5,8412899085,1,8412899085.0,8412899085.0,8412899085,8412899085,0.0,:stage.process:model.layers.0.self_attn.q_proj
1.4,8225390558,1,8225390558.0,8225390558.0,8225390558,8225390558,0.0,:stage.process:model.layers.1.self_attn.o_proj
1.4,8224384852,1,8224384852.0,8224384852.0,8224384852,8224384852,0.0,:stage.process:model.layers.1.self_attn.q_proj
1.4,8199990084,1,8199990084.0,8199990084.0,8199990084,8199990084,0.0,:stage.process:model.layers.0.self_attn.o_proj
1.0,5481040115,5120,1070515.6,1056257.0,814010,80767671,1196695.0,:qvq_api.qvq_cuda_viterbi
0.8,4590281832,7668,598628.3,102635.0,66246,11668957,655911.2,:qvq_cuda.yaqa_feedback_update
