Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
64.1,2693187376282,232,11608566277.1,904633.0,6282,221833833159,36411385424.3,sem_wait
17.6,741307399288,1250,593045919.4,200045523.5,2094380,10000107213,1921429133.4,sem_clockwait
12.0,503053572086,5042,99772624.4,100096520.0,1313,263082435,7882739.5,poll
5.9,248082133485,60,4134702224.8,107591687.0,4979,230740888723,29753494360.3,pthread_cond_wait
0.2,7665586389,19,403451915.2,111933.0,21090,7663734643,1758157707.0,waitpid
0.1,3915362708,35003,111857.9,12424.0,1001,134211364,1604603.9,read
0.0,1579307151,22463,70307.0,3337.0,1002,4005120,202971.4,open64
0.0,1331167758,570,2335382.0,6668.0,1022,265797276,12266264.6,write
0.0,894612213,7225,123821.8,15189.0,1001,5072222,647413.1,pthread_cond_timedwait
0.0,310950750,2857,108838.2,30128.0,1002,16530268,456500.9,ioctl
0.0,296533874,2588,114580.3,50355.0,26751,9624563,414129.3,pthread_create
0.0,283607733,55184,5139.3,2635.0,1814,106467625,453510.1,munmap
0.0,122036892,283,431225.8,251940.0,1172,9974851,1152047.4,pthread_rwlock_wrlock
0.0,72446817,9519,7610.8,1553.0,1001,1189757,16822.1,close
0.0,62443325,33147,1883.8,1172.0,1001,5747849,32399.7,mmap64
0.0,35617801,5951,5985.2,1683.0,1001,9543389,127198.0,pthread_cond_signal
0.0,33229527,270,123072.3,16822.0,1383,19800247,1236022.4,pthread_rwlock_rdlock
0.0,28525175,514,55496.4,55761.0,16040,78149,3687.6,sleep
0.0,26664815,47,567336.5,1382.0,1012,13337806,2712947.6,futex
0.0,23490655,506,46424.2,5846.0,1002,7125744,446744.2,fgets
0.0,22788419,224,101734.0,1548.0,1002,2899723,508204.2,fopen
0.0,10653058,1243,8570.4,6142.0,1001,351871,19940.4,pthread_mutex_lock
0.0,10077888,2,5038944.0,5038944.0,5022057,5055831,23881.8,nanosleep
0.0,6853244,4,1713311.0,3151.0,2074,6844868,3421038.0,pread
0.0,3457234,180,19206.9,10740.5,4198,186395,22164.1,backtrace
0.0,3181571,29,109709.3,7865.0,1072,2497116,461657.0,open
0.0,1487424,206,7220.5,4844.0,2835,52420,8322.5,mmap
0.0,1262689,119,10610.8,2895.0,1011,150987,24880.9,fclose
0.0,1086799,12,90566.6,21596.5,8856,507767,166957.5,sem_timedwait
0.0,445640,50,8912.8,4563.5,1733,22824,6838.4,pipe2
0.0,267199,45,5937.8,3747.0,1012,34686,6918.6,fopen64
0.0,248614,107,2323.5,1663.0,1011,8106,1797.4,lstat64
0.0,199198,3,66399.3,31219.0,27532,140447,64153.7,connect
0.0,142951,17,8408.9,11131.0,1052,15469,5570.8,fflush
0.0,141100,7,20157.1,26511.0,4719,31229,12084.8,socket
0.0,138155,34,4063.4,3431.5,1042,8606,2169.6,stat64
0.0,80271,39,2058.2,1884.0,1022,5019,884.1,sigaction
0.0,39045,4,9761.3,9879.0,3677,15610,6649.8,bind
0.0,36391,18,2021.7,2069.5,1062,2916,586.2,fcntl
0.0,36029,4,9007.3,2960.5,2174,27934,12624.0,statx
0.0,35888,3,11962.7,10650.0,2074,23164,10606.1,stat
0.0,28705,17,1688.5,1603.0,1012,2765,495.0,dup2
0.0,28487,22,1294.9,1263.0,1002,1793,231.9,pthread_mutex_trylock
0.0,24988,3,8329.3,11261.0,1694,12033,5759.3,fread
0.0,22603,5,4520.6,5450.0,1994,6833,2235.3,fwrite
0.0,22073,9,2452.6,2505.0,1864,2905,384.3,signal
0.0,19127,1,19127.0,19127.0,19127,19127,0.0,lstat
0.0,18816,15,1254.4,1223.0,1002,1943,278.4,openat64
0.0,16112,7,2301.7,1673.0,1233,3707,1067.1,flock
0.0,12383,5,2476.6,1493.0,1212,5320,1741.3,pthread_cond_broadcast
0.0,7775,1,7775.0,7775.0,7775,7775,0.0,mprotect
0.0,7143,6,1190.5,1152.0,1032,1473,152.9,fileno
0.0,4028,2,2014.0,2014.0,1964,2064,70.7,getentropy
0.0,3116,1,3116.0,3116.0,3116,3116,0.0,fsync
0.0,2405,2,1202.5,1202.5,1142,1263,85.6,listen
0.0,1994,1,1994.0,1994.0,1994,1994,0.0,fdopen
0.0,1153,1,1153.0,1153.0,1153,1153,0.0,fstat
0.0,1082,1,1082.0,1082.0,1082,1082,0.0,flockfile
0.0,1011,1,1011.0,1011.0,1011,1011,0.0,fputs
