Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.8,111220610224,1195016,93070.4,7384.0,3217,313327402,470438.9,cudaLaunchKernel
21.5,44399773599,76854,577715.8,9869.0,3146,1809524776,18416455.0,cudaStreamSynchronize
15.3,31641624294,114950,275264.2,5239.0,661,15679240,684667.3,cudaEventRecordWithFlags
7.5,15548692088,133112,116809.1,9278.0,3296,285086320,1793760.0,cudaMemcpyAsync
0.4,875235486,1823,480107.2,143974.0,6462,14588162,1018832.4,cudaDeviceSynchronize
0.3,627963096,114981,5461.5,2414.0,370,29625920,100188.3,cudaEventCreateWithFlags
0.3,597260799,90,6636231.1,4377404.5,93748,61983145,9279665.4,cuLibraryLoadData
0.2,504692999,1195016,422.3,260.0,120,3742741,4539.7,cuKernelGetName
0.2,326222129,114985,2837.1,2495.0,1744,16360890,49123.2,cudaEventQuery
0.2,313995428,43564,7207.7,6162.0,3266,1718433,14875.1,cudaMemsetAsync
0.1,135753609,114883,1181.7,752.0,331,7908797,29060.9,cudaEventDestroy
0.1,129895085,119810,1084.2,671.0,310,776269,4333.9,cudaStreamIsCapturing
0.1,126669090,350,361911.7,237402.5,5851,3637520,363884.0,cudaMalloc
0.1,123992121,9765,12697.6,10029.0,3988,1564921,32996.5,cuLaunchKernel
0.0,44922591,4033,11138.8,8917.0,4198,2757543,44923.5,cudaLaunchKernelExC
0.0,41978981,7793,5386.8,2325.0,712,4937005,56524.7,cudaEventRecord
0.0,38420285,9765,3934.5,821.0,261,5562978,93107.8,cuKernelGetFunction
0.0,29633717,38829,763.2,290.0,151,10344949,52541.8,cudaGetDeviceProperties
0.0,28647719,99,289370.9,156729.0,1653,2418788,415692.8,cudaFree
0.0,26071273,48678,535.6,181.0,100,2949680,13746.4,cuStreamGetCaptureInfo_v2
0.0,9882761,39,253404.1,27902.0,6182,2070765,567580.5,cudaHostAlloc
0.0,3293383,144,22870.7,18560.5,10830,355487,31367.7,cuLaunchKernelEx
0.0,2463414,128,19245.4,1989.0,882,569926,72544.2,cudaStreamCreateWithPriority
0.0,2458743,1605,1531.9,1412.0,291,32041,1735.5,cudaStreamGetCaptureInfo
0.0,1165318,280,4161.9,2785.0,471,42431,4285.5,cuLibraryGetKernel
0.0,654427,3,218142.3,235549.0,176205,242673,36493.1,cuModuleLoadData
0.0,510569,1354,377.1,251.0,120,10029,575.8,cuGetProcAddress_v2
0.0,371761,50,7435.2,4503.5,781,37021,7759.7,cudaStreamWaitEvent
0.0,42821,1,42821.0,42821.0,42821,42821,0.0,cudaMemGetInfo
0.0,41760,1,41760.0,41760.0,41760,41760,0.0,cudaEventSynchronize
0.0,24076,5,4815.2,1402.0,1273,10230,4753.4,cuInit
0.0,12553,5,2510.6,431.0,170,6482,3051.0,cuModuleGetLoadingMode
0.0,2063,3,687.7,441.0,380,1242,481.0,cudaGetDriverEntryPointByVersion
