Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
60.2,133743045558,181792,735692.7,323935.5,132288,4318471,856422.4,"void <unnamed>::qvq_v2_segment_grid_kernel<(int)4, (int)2, (int)16, (bool)1, (bool)0, __half, unsigned char>(const float *, const T6 *, const float *, const long *, const float *, const float *, float *, T7 *, unsigned char *, int, int, int, bool, bool)"
17.6,39134040340,16100,2430685.7,2758342.0,1350972,7281052,1390090.3,"void <unnamed>::qvq_viterbi_kernel<(int)4, (int)2, __half, unsigned char>(const float *, const T3 *, const float *, const long *, const float *, T4 *, long *, float *, int, int, int, bool, bool, bool)"
5.6,12487006784,7668,1628456.8,1228450.5,19200,6022575,1452540.5,void cutlass::Kernel2<cutlass_80_simt_sgemm_grouped_128x128_8x4_align1>(T1::Params)
3.8,8473753916,8104,1045626.1,295921.0,9568,101072883,6671493.2,ampere_sgemm_128x128_nt
3.5,7794677524,224,34797667.5,6571504.5,769020,101994763,43002903.2,ampere_sgemm_128x128_tn
2.1,4664362793,22724,205261.5,104895.5,66208,942466,182912.7,"void <unnamed>::qvq_v2_segment_grid_finalize_kernel<(int)4, (int)2, (int)16, (bool)0, __half, unsigned char>(const float *, const T5 *, const float *, const long *, const float *, const float *, const T6 *, const unsigned char *, long *, unsigned char *, float *, int, int, bool, bool)"
1.4,3058408782,7652,399687.5,308000.0,4544,1008706,338742.7,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.8,1693432126,2920,579942.5,568479.5,307167,893665,171844.8,ampere_sgemm_64x32_sliced1x4_nt
0.3,693314353,4398,157643.1,93472.0,20768,13406141,633799.4,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8x5_nt_align1>(T1::Params)
0.3,655081699,270,2426228.5,2012068.0,445377,6743249,1317253.0,ampere_sgemm_128x64_nt
0.2,415834434,30330,13710.3,8032.0,3968,241024,11386.9,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.2,367072815,53742,6830.3,7232.0,2528,779931,7686.7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.2,365365973,108,3383018.3,3233998.0,231168,12677337,4165836.7,ampere_sgemm_128x64_nn
0.1,299185586,25576,11697.9,4160.0,2048,2356723,77429.1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.1,281783641,1340,210286.3,123679.5,34015,1219640,275545.6,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn
0.1,279052972,521,535610.3,438046.0,36640,11395450,859505.3,ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn
