PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
1950204,1953352,0,2574,2562,620520177.8,486896155.0,13231,1807048627,552815605.8,8763.2,6613.0,4680,1153718,26900.2,623413770.5,486903427.0,697,1807019232,552470592.1,4016.3,4192.0,2944,20832,930.0,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(unsigned char) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1950204,1952247,0,224,224,576680983.1,543006198.5,128220334,1013536873,243933424.4,13995.0,13676.0,8416,31320,4103.1,541869320.6,520967757.5,102247659,1007018974,252963064.7,34797667.5,6571504.5,769020,101994763,43002903.2,cudaLaunchKernel,ampere_sgemm_128x128_tn
1950204,1952247,0,448,448,559474843.3,525639599.5,102324194,1013580319,248812620.1,12948.7,10315.0,6222,345919,17700.4,559167408.2,525018290.0,101170552,1013494815,248887784.0,294486.4,78399.0,7680,1141659,440156.6,cudaLaunchKernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
1950204,1952247,0,672,672,556982765.2,505924111.0,12721,1013528138,253136273.5,9791.2,6286.5,4058,878294,35775.0,556949076.5,505894371.5,659,1013516394,253140113.3,23897.5,6368.0,2336,133855,36453.4,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1950204,1952247,0,672,672,556978216.1,505915533.5,12536,1013535444,253142392.7,8436.0,6067.0,3987,689935,26606.0,556931803.2,505878285.0,394,1013516464,253149293.7,37976.8,12512.0,2400,196895,54621.4,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1950204,1952247,0,672,669,556965068.5,505909897.0,19793,1013513184,253129281.7,11042.7,8616.0,5490,295172,13784.5,559427445.5,515440439.0,790,1013495640,250927917.0,24046.4,11456.0,6752,98623,28473.2,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
1950204,1952247,0,672,672,556960392.5,505896308.5,14825,1013548529,253152083.6,9897.9,7279.0,4659,836504,32232.1,556914254.7,505857246.0,793,1013525421,253159389.7,36239.9,6240.0,2336,205886,59274.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
1950204,1952247,0,672,672,556951784.7,505886260.0,21669,1013560974,253160974.5,10630.6,8556.0,5129,339827,13697.2,556884633.3,505831914.5,2481,1013541170,253173556.5,56520.8,14416.0,2944,315966,87964.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
1950204,1952247,0,672,669,556933624.4,505891246.0,10895,1013495230,253132715.8,10223.8,7394.0,4698,555729,22655.4,559418687.5,515413685.0,90,1013487461,250926646.9,2124.9,2048.0,1632,2912,274.1,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase &)::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
1950204,1952247,0,672,669,556896465.6,505877198.0,12038,1013481083,253143816.1,476009.2,7153.0,4348,313327402,12086508.5,558913584.4,515382399.0,153,1013473909,251689346.5,2030.8,1984.0,1632,2656,164.6,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::logical_or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
