Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.5,79341184443,1094672,72479.4,6252.0,3136,314564071,639846.4,cudaLaunchKernel
29.2,41769995084,76854,543498.0,9688.0,3246,1232475123,15710325.2,cudaStreamSynchronize
9.7,13856354238,114950,120542.4,4288.0,691,9911533,472996.7,cudaEventRecordWithFlags
3.3,4720457754,133112,35462.3,8326.0,3176,286546232,1529797.8,cudaMemcpyAsync
0.6,891267929,1823,488901.8,145477.0,4679,12641945,1022454.4,cudaDeviceSynchronize
0.3,487363118,90,5415145.8,3147892.5,77558,63719417,8221849.0,cuLibraryLoadData
0.2,327077468,1094672,298.8,250.0,120,3432148,4285.9,cuKernelGetName
0.2,307482251,43564,7058.2,5671.0,2465,4057470,43295.4,cudaMemsetAsync
0.2,295208889,114981,2567.5,2094.0,341,9345705,45976.2,cudaEventCreateWithFlags
0.2,283697820,114985,2467.3,2304.0,1743,3871867,14896.0,cudaEventQuery
0.1,117289902,350,335114.0,196755.0,4990,3083164,316719.8,cudaMalloc
0.1,116832814,9765,11964.4,9127.0,4379,3985553,56949.5,cuLaunchKernel
0.1,99496478,114883,866.1,621.0,320,5930178,24726.7,cudaEventDestroy
0.1,83703042,119810,698.6,621.0,310,2025989,6963.2,cudaStreamIsCapturing
0.0,41444541,4033,10276.4,5871.0,3958,3150532,54387.5,cudaLaunchKernelExC
0.0,26725241,9765,2736.8,762.0,270,3976487,63058.8,cuKernelGetFunction
0.0,26426791,99,266937.3,144785.0,1293,2252090,386483.2,cudaFree
0.0,15971214,7793,2049.4,1953.0,701,16331,675.0,cudaEventRecord
0.0,11175689,38829,287.8,241.0,170,239425,1239.3,cudaGetDeviceProperties
0.0,10357393,48678,212.8,150.0,100,432234,1972.0,cuStreamGetCaptureInfo_v2
0.0,10073442,39,258293.4,16692.0,5199,2463624,661463.4,cudaHostAlloc
0.0,2210065,128,17266.1,1673.5,841,471648,64677.5,cudaStreamCreateWithPriority
0.0,1812666,144,12588.0,11892.5,10840,40307,3164.9,cuLaunchKernelEx
0.0,1590140,1605,990.7,772.0,280,26109,1051.0,cudaStreamGetCaptureInfo
0.0,1146807,282,4066.7,2575.0,581,22843,3998.6,cuLibraryGetKernel
0.0,500755,1354,369.8,250.0,110,14217,609.0,cuGetProcAddress_v2
0.0,342724,3,114241.3,114188.0,87727,140809,26541.0,cuModuleLoadData
0.0,153557,50,3071.1,3246.0,832,8646,1705.2,cudaStreamWaitEvent
0.0,33083,1,33083.0,33083.0,33083,33083,0.0,cudaMemGetInfo
0.0,25970,1,25970.0,25970.0,25970,25970,0.0,cudaEventSynchronize
0.0,16332,5,3266.4,1593.0,962,6683,2806.7,cuInit
0.0,9468,5,1893.6,190.0,160,4499,2355.2,cuModuleGetLoadingMode
0.0,1794,3,598.0,371.0,351,1072,410.6,cudaGetDriverEntryPointByVersion
