Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
34.7,56152308994,12788,4391015.7,4049799.0,1250180,16417922,3654023.3,CUDA_KERNEL,void <unnamed>::qvq_fused_w2_family_grid_kernel<(bool)0>(<unnamed>::FusedSequenceArgs)
24.2,39101310497,16100,2428652.8,2754040.0,1350273,7305625,1399793.5,CUDA_KERNEL,"void <unnamed>::qvq_viterbi_kernel<(int)4, (int)2, __half, unsigned char>(const float *, const T3 *, const float *, const long *, const float *, T4 *, long *, float *, int, int, int, bool, bool, bool)"
9.8,15787739559,79488,198617.9,148352.0,132032,478145,77054.0,CUDA_KERNEL,"void <unnamed>::qvq_v2_segment_grid_kernel<(int)4, (int)2, (int)16, (bool)1, (bool)0, __half, unsigned char>(const float *, const T6 *, const float *, const long *, const float *, const float *, float *, T7 *, unsigned char *, int, int, int, bool, bool)"
7.5,12203293973,7668,1591457.2,1175924.5,21152,5813205,1409296.9,CUDA_KERNEL,void cutlass::Kernel2<cutlass_80_simt_sgemm_grouped_128x128_8x4_align1>(T1::Params)
5.2,8441723820,8104,1041673.7,290209.0,9856,101469568,6696594.2,CUDA_KERNEL,ampere_sgemm_128x128_nt
4.8,7845331082,224,35023799.5,6627302.5,777152,103061330,43313800.1,CUDA_KERNEL,ampere_sgemm_128x128_tn
1.9,3002775957,7652,392417.1,308241.0,4672,969507,328841.7,CUDA_KERNEL,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
1.6,2607871404,72750,35847.0,2016.0,1120,252792451,1771160.5,MEMORY_OPER,[CUDA memcpy Device-to-Host]
1.1,1703556752,2920,583409.8,574016.5,307617,895074,174156.7,CUDA_KERNEL,ampere_sgemm_64x32_sliced1x4_nt
0.8,1335713136,11842,112794.6,2720.0,1056,375710192,3850226.7,MEMORY_OPER,[CUDA memcpy Host-to-Device]
0.8,1272903453,12788,99538.9,101664.0,29568,117601,9877.8,CUDA_KERNEL,"<unnamed>::qvq_fused_w2_traceback_kernel(const unsigned char *, const unsigned char *, const int *, long *, unsigned char *, int)"
0.5,870174866,9936,87578.0,82465.0,66144,154432,13416.9,CUDA_KERNEL,"void <unnamed>::qvq_v2_segment_grid_finalize_kernel<(int)4, (int)2, (int)16, (bool)0, __half, unsigned char>(const float *, const T5 *, const float *, const long *, const float *, const float *, const T6 *, const unsigned char *, long *, unsigned char *, float *, int, int, bool, bool)"
0.4,692500694,4398,157458.1,93408.0,20704,13451633,633746.6,CUDA_KERNEL,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8x5_nt_align1>(T1::Params)
0.4,655163936,270,2426533.1,2012308.5,445153,6742576,1317268.4,CUDA_KERNEL,ampere_sgemm_128x64_nt
0.3,417491416,30330,13765.0,8096.0,3968,227456,11438.4,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.2,368129951,53742,6849.9,7328.0,2528,801856,7787.6,CUDA_KERNEL,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.2,359863242,108,3332067.1,3235527.5,230944,12676439,4166684.8,CUDA_KERNEL,ampere_sgemm_128x64_nn
0.2,300154419,25576,11735.8,4160.0,2016,2448160,78461.7,CUDA_KERNEL,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.2,284095803,1340,212011.8,126912.0,34208,1221759,276496.2,CUDA_KERNEL,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn
0.2,283295888,521,543754.1,444960.0,36640,11469532,874045.6,CUDA_KERNEL,ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn
0.2,260716989,22007,11847.0,9153.0,4256,8219900,98117.1,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.2,252360709,1042,242188.8,39056.0,17632,13418990,1626839.0,CUDA_KERNEL,ampere_sgemm_128x32_sliced1x4_nn
0.2,252349785,45206,5582.2,3232.0,1856,705153,23925.4,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,237000511,53,4471707.8,6737340.0,634496,6874141,2893408.5,CUDA_KERNEL,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)8, c10::Half, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
0.1,206241963,29652,6955.4,7552.0,3104,65888,1658.0,CUDA_KERNEL,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
0.1,204042180,797,256012.8,70176.0,6528,2037279,491873.6,CUDA_KERNEL,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_tn_align1>(T1::Params)
0.1,197132840,6568,30014.1,18592.0,4256,233633,36517.7,CUDA_KERNEL,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.1,186008029,4224,44036.0,7760.0,3936,1610751,157313.1,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,183059896,3014,60736.5,34768.0,2528,258657,69125.6,CUDA_KERNEL,"void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.1,173453886,60452,2869.3,2080.0,1472,317663,11893.0,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,172608557,384,449501.5,334848.0,18880,1203583,333174.6,CUDA_KERNEL,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
0.1,168445089,12788,13172.1,13568.0,9184,16160,1585.5,CUDA_KERNEL,"<unnamed>::qvq_fused_detect_family_mask_kernel(const unsigned int *, int *)"
0.1,167134647,24750,6752.9,6688.0,3456,264064,2135.1,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.1,158134927,5089,31073.9,5088.0,1888,1468576,116791.9,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,156393659,12,13032804.9,12986767.0,12880045,13295375,166212.0,CUDA_KERNEL,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params)
0.1,146716226,541,271194.5,167936.0,84865,17578486,829477.8,CUDA_KERNEL,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_tn
0.1,137269832,7574,18123.8,4320.0,3168,665250,45345.3,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,135626746,48520,2795.3,2112.0,1312,256544,8604.6,MEMORY_OPER,[CUDA memcpy Device-to-Device]
0.1,135256909,1966,68798.0,18528.0,1792,2254207,226472.7,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,132127115,448,294926.6,78448.0,7744,1141537,440919.1,CUDA_KERNEL,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
0.1,130550816,748,174533.2,55936.5,10720,1257184,308657.5,CUDA_KERNEL,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_nn_align1>(T1::Params)
0.1,130301360,11904,10946.0,4864.0,3808,91648,14044.1,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,128069720,189,677617.6,226688.0,163808,15967479,1756337.6,CUDA_KERNEL,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_nn
0.1,127648826,10016,12744.5,6752.0,3841,91936,14439.2,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,126099099,46209,2728.9,2176.0,1504,1468607,13705.4,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,125279168,15404,8132.9,8192.0,7392,8864,270.3,CUDA_KERNEL,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::func_wrapper_t<c10::Half, at::native::MaxNanFunctor<c10::Half>>, unsigned int, c10::Half, (int)4, (int)4>>(T3)"
0.1,105050494,52,2020201.8,925282.0,16672,7290325,2337561.4,CUDA_KERNEL,"void kernel<getrf_wo_pivot_params_<float, (int)0, (int)256, (int)1, (int)64, (int)64, (int)68, (int)8, (int)1, (int)1>>(int, int, void *, int, void *, int, int, int, int, int, int *)"
0.1,103119279,14324,7199.1,2240.0,1504,376096,31746.4,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,100708010,608,165638.2,111888.0,28000,754176,181722.5,CUDA_KERNEL,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
0.1,99926867,14292,6991.8,7008.0,3424,19392,425.4,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.1,99453765,1664,59767.9,12848.0,1728,757536,135454.8,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,95946564,30814,3113.7,2081.0,1472,197920,10609.1,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,93283119,30816,3027.1,2080.0,1504,205536,10973.9,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,89686540,364,246391.6,39424.0,15424,851393,355273.2,CUDA_KERNEL,ampere_sgemm_128x32_nn
0.0,78936631,30813,2561.8,2144.0,1536,1773599,18541.1,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<c10::Half>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,76451217,1408,54297.7,40816.0,3104,233024,53115.9,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
