PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
2306166,2307612,0,224,224,598883367.3,553529325.0,128069129,1019112890,247394897.2,29353.3,10360.0,9197,663854,86680.7,563830214.6,528469576.5,102140598,1012534099,256422717.5,35023799.5,6627302.5,777152,103061330,43313800.1,cudaLaunchKernel,ampere_sgemm_128x128_tn
2306166,2307612,0,448,448,581560287.0,545775352.5,102200647,1019158446,252272756.4,29837.7,8160.0,7153,871240,104095.6,581235522.8,545161504.0,101051187,1019073978,252339241.5,294926.6,78448.0,7744,1141537,440919.1,cudaLaunchKernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
2306166,2307612,0,672,671,579044257.8,537710282.5,12569,1019117542,256532891.3,19073.7,5179.5,4639,719340,72162.8,579849987.7,538994354.0,5867,1019099286,255747560.6,38070.4,12480.0,2432,197920,54761.7,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2306166,2307612,0,672,672,579041868.8,537681701.5,11749,1019111371,256521183.8,17604.9,5089.0,4509,889495,70165.0,579000347.2,537573524.0,1949,1019094352,256519323.1,23916.7,6432.0,2368,133152,36405.6,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2306166,2307612,0,672,672,579032346.4,537787092.0,19190,1019118865,256547315.1,18943.3,5911.0,5169,868865,70349.9,578977200.8,537674819.5,8273,1019105932,256549637.1,36202.2,6272.0,2368,205536,59134.1,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
2306166,2307612,0,672,672,579029041.7,537846505.5,36908,1019143037,256562193.4,20978.1,6577.5,5381,768995,80006.8,578951516.6,537751114.0,20925,1019113198,256568513.6,56547.0,14624.0,3040,317663,87826.2,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
2306166,2307612,0,672,672,579011377.5,537259784.5,19024,1019090448,256499483.9,20370.3,6868.0,5971,749849,69750.4,578966811.6,536990928.0,1571,1019072023,256498803.1,24195.5,11552.0,6784,97696,28600.8,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
2306166,2307612,0,672,671,578979798.1,536991126.5,10825,1019072796,256495055.2,20574.8,5941.0,5221,883774,84342.2,579819915.5,537047243.0,2293,1019060967,255699445.2,2137.0,2080.0,1664,2848,267.2,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase &)::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
2306166,2307612,0,672,671,578934298.2,536673824.5,10342,1019054501,256503424.4,488456.0,5470.0,4698,312457111,12052744.0,579305860.7,536493995.0,1755,1019046254,256479744.8,2046.8,2016.0,1664,2688,168.1,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::logical_or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2306166,2307612,0,448,446,551791730.3,523381695.5,1659625,1012542205,264350630.3,26920.4,10926.0,8867,711234,84987.5,540842043.0,495145568.5,83,1006064025,270248979.9,13337266.1,3157794.0,130368,101469568,25507481.1,cudaLaunchKernel,ampere_sgemm_128x128_nt
2306166,2307612,0,448,447,538778853.3,492437854.5,19776,1002058523,270565211.8,16131.7,6011.0,4939,539838,58670.3,539916691.1,493880828.0,981,1001951426,269666734.2,51203.6,28064.0,5184,370624,59800.1,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(bool, unsigned int, unsigned int) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2306166,2307612,0,467,451,516868276.4,471024187.0,10719,1001974936,285567776.2,20216.7,6702.0,5400,717066,72929.1,535160167.7,490678156.0,1753,1001966802,273202443.7,23493.5,1856.0,1280,911679,113741.8,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
2306166,2308105,0,2574,2574,411319288.1,329269399.5,14296,1260095092,375414177.9,7041.1,5691.0,4638,1301870,26533.8,411308485.3,329257048.0,125,1260081895,375414203.7,3761.7,3616.0,2912,21344,916.2,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(unsigned char) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2306166,2307612,0,948,945,322967510.4,229932031.5,17555,1019785771,337865731.0,18271.5,6493.0,4599,841443,77591.6,323911921.9,242137443.0,181,1019661018,337886717.7,62358.2,24032.0,3552,376096,103697.6,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2306166,2308105,0,12788,12788,309443791.7,277264600.5,1363846,1260454872,260876437.4,890553.5,4428.0,3687,24371607,2859634.4,308453699.3,277158358.0,1269977,1260302965,259237185.0,99538.9,101664.0,29568,117601,9877.8,cudaLaunchKernel,"<unnamed>::qvq_fused_w2_traceback_kernel(const unsigned char *, const unsigned char *, const int *, long *, unsigned char *, int)"
2306166,2308105,0,12788,12788,309349320.5,277166792.0,1286225,1260343706,260871071.5,5547.3,4729.0,4018,1470762,18064.6,304952757.4,273142595.0,4018,1243966701,257554346.3,4391015.7,4049799.0,1250180,16417922,3654023.3,cudaLaunchKernel,void <unnamed>::qvq_fused_w2_family_grid_kernel<(bool)0>(<unnamed>::FusedSequenceArgs)
2306166,2308105,0,12788,12788,304966968.6,273154873.0,23910,1243979177,257555698.2,6217.0,5240.0,4308,1755003,26038.3,304947579.5,273135903.5,1936,1243960075,257554239.4,13172.1,13568.0,9184,16160,1585.5,cudaLaunchKernel,"<unnamed>::qvq_fused_detect_family_mask_kernel(const unsigned int *, int *)"
2306166,2308105,0,12804,12801,304589248.4,273000674.5,8931,1243982307,257620244.6,10009.5,9107.0,5551,1740265,23615.4,304649047.6,273012878.0,477,1243970216,257607452.8,1571.2,1568.0,1280,3648,161.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
2306166,2307612,0,16,16,299421138.8,301303339.5,48496953,992496863,218934198.2,371648.6,7354.0,5169,1168946,552822.1,296603659.6,298843430.5,46003673,990048783,218870855.8,2445830.6,2447390.5,2437630,2454527,6074.8,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxBackward<(int)4, c10::Half, float, float, at::native::<unnamed>::SoftMaxBackwardEpilogue>(T2 *, const T4 *, const T4 *, long)"
2306166,2308105,0,7574,7488,279129826.8,176308638.5,10732,1260205085,363246947.6,8359.1,7434.0,5260,1285368,20098.0,282308872.8,200354678.0,1,1260191304,364096542.6,18123.8,4320.0,3168,665250,45345.3,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2306166,2308105,0,20330,20329,262769592.0,263328334.0,18617,1260356089,273691701.5,549103.2,8286.0,5040,12869275,1219199.5,262230135.4,259760981.0,520,1260344999,273674814.3,3252.1,3200.0,1856,116736,1964.4,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2306166,2307612,0,16,16,246538351.7,247434166.5,30424171,663724034,154271915.3,16892.9,7565.0,6733,45106,16390.9,239703840.1,240600037.5,23676368,656982894,154269654.8,6817618.7,6823564.5,6733886,6874141,48083.4,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)8, c10::Half, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
2306166,2308105,0,5120,5120,208446738.1,7078984.5,438001,1260209088,335418517.4,9942.5,9158.0,7725,788912,15522.8,208432615.7,7064903.5,425687,1260194259,335418246.6,4179.8,4096.0,3808,5120,315.2,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
