Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:qvq_quantize.main,PushPop,184253038859,187981288046,1,184253038859.0,184253038859.0,184253038859,184253038859,0.0,97595,97595.0,0.0,1.0
:qvq_cuda.viterbi_v2_segment_family_grid_trusted,PushPop,57663749400,12683469007,12788,4509207.8,4169801.0,1300003,16583859,3660925.0,51152,4.0,1.0,0.0
:stage.prepare_yaqa,PushPop,23923746279,24095503998,1,23923746279.0,23923746279.0,23923746279,23923746279,0.0,14402,14402.0,1.0,0.0
:qvq_api.qvq_cuda_viterbi,PushPop,22529369405,5689267801,5120,4400267.5,3791933.0,2166466,79515373,2278553.1,252416,49.3,1.0,1.0
:qvq_cuda.viterbi_tail_trusted,PushPop,22043716578,1521665988,5490,4015248.9,2940147.5,2718818,14383758,1393100.7,32940,6.0,1.0,0.0
:qvq_cuda.viterbi,PushPop,19650767890,2715951368,5120,3838040.6,3220795.0,1718722,78705420,2255569.5,130048,25.4,2.0,0.0
:stage.process:model.layers.1.mlp.down_proj,PushPop,19202761142,19264765134,1,19202761142.0,19202761142.0,19202761142,19202761142,0.0,152252,152252.0,0.0,6521.0
:stage.process:model.layers.0.mlp.down_proj,PushPop,19125159323,19171750046,1,19125159323.0,19125159323.0,19125159323,19125159323,0.0,158642,158642.0,0.0,6521.0
:stage.process:model.layers.0.mlp.gate_proj,PushPop,18325046561,18370283032,1,18325046561.0,18325046561.0,18325046561,18325046561,0.0,84121,84121.0,0.0,4985.0
:stage.process:model.layers.0.mlp.up_proj,PushPop,18066314091,18115653890,1,18066314091.0,18066314091.0,18066314091,18066314091,0.0,77731,77731.0,0.0,4985.0
:stage.process:model.layers.1.mlp.gate_proj,PushPop,17976927625,18030287452,1,17976927625.0,17976927625.0,17976927625,17976927625,0.0,77731,77731.0,0.0,4985.0
:stage.process:model.layers.1.mlp.up_proj,PushPop,17968724009,18022118541,1,17968724009.0,17968724009.0,17968724009,17968724009,0.0,77731,77731.0,0.0,4985.0
:qvq_cuda.viterbi_v2_segment_tail_trusted,PushPop,16843811433,10616045821,4968,3390461.2,2548020.5,2401953,7841751,1257251.8,109296,22.0,1.0,0.0
:qvq_cuda.yaqa_feedback,PushPop,12356848302,797026520,7668,1611482.6,1193827.5,32896,6367594,1411554.4,30672,4.0,1.0,0.0
:stage.process:model.layers.0.self_attn.q_proj,PushPop,7216855982,7243787419,1,7216855982.0,7216855982.0,7216855982,7216855982,0.0,79185,79185.0,0.0,1532.0
:stage.process:model.layers.1.self_attn.o_proj,PushPop,6976671584,7009982465,1,6976671584.0,6976671584.0,6976671584,6976671584,0.0,76459,76459.0,0.0,1532.0
:stage.process:model.layers.1.self_attn.q_proj,PushPop,6946615889,6970357993,1,6946615889.0,6946615889.0,6946615889,6946615889,0.0,76459,76459.0,0.0,1532.0
:stage.process:model.layers.0.self_attn.o_proj,PushPop,6927013454,6949953223,1,6927013454.0,6927013454.0,6927013454,6927013454,0.0,76459,76459.0,0.0,1532.0
:qvq_cuda.yaqa_feedback_update,PushPop,5508240387,640468411,7668,718341.2,494241.5,16064,1583494,459292.4,23004,3.0,1.0,0.0
:stage.process:model.layers.1.self_attn.v_proj,PushPop,3146619591,3169960796,1,3146619591.0,3146619591.0,3146619591,3146619591,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.0.self_attn.k_proj,PushPop,3110422921,3125044643,1,3110422921.0,3110422921.0,3110422921,3110422921,0.0,59664,59664.0,0.0,1148.0
:stage.process:model.layers.0.self_attn.v_proj,PushPop,3103264639,3118141043,1,3103264639.0,3103264639.0,3103264639,3103264639,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.1.self_attn.k_proj,PushPop,3091195019,3107898672,1,3091195019.0,3091195019.0,3091195019,3091195019,0.0,58074,58074.0,0.0,1148.0
CCCL:cub::DeviceSelect::Flagged,PushPop,39103139,72626023,3616,10813.9,9952.0,8224,806433,14894.0,7232,2.0,0.0,0.0
CCCL:cub::DeviceRadixSort,PushPop,8283644,8550727,16,517727.8,36208.0,5664,7709340,1918072.9,72,4.5,0.0,0.0
CCCL:cub::DeviceReduce::Sum,PushPop,8186643,55940644,3616,2264.0,1984.0,1600,59680,1221.2,3624,1.0,0.0,0.0
