Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
47.8,181601526259,1,181601526259.0,181601526259.0,181601526259,181601526259,0.0,PushPop,:qvq_quantize.main
6.2,23410138096,1,23410138096.0,23410138096.0,23410138096,23410138096,0.0,PushPop,:stage.prepare_yaqa
5.1,19211599868,1,19211599868.0,19211599868.0,19211599868,19211599868,0.0,PushPop,:stage.process:model.layers.0.mlp.down_proj
5.0,19107560204,1,19107560204.0,19107560204.0,19107560204,19107560204,0.0,PushPop,:stage.process:model.layers.1.mlp.down_proj
4.8,18101208586,1,18101208586.0,18101208586.0,18101208586,18101208586,0.0,PushPop,:stage.process:model.layers.0.mlp.gate_proj
4.7,18031702464,1,18031702464.0,18031702464.0,18031702464,18031702464,0.0,PushPop,:stage.process:model.layers.1.mlp.up_proj
4.7,17977226007,1,17977226007.0,17977226007.0,17977226007,17977226007,0.0,PushPop,:stage.process:model.layers.1.mlp.gate_proj
4.7,17960383158,1,17960383158.0,17960383158.0,17960383158,17960383158,0.0,PushPop,:stage.process:model.layers.0.mlp.up_proj
3.4,12823238070,12788,1002755.6,95482.0,80233,17231769,2859484.2,PushPop,:qvq_cuda.viterbi_v2_segment_family_grid_trusted
1.6,6248933825,1,6248933825.0,6248933825.0,6248933825,6248933825,0.0,PushPop,:stage.process:model.layers.0.self_attn.q_proj
1.6,5934367160,1,5934367160.0,5934367160.0,5934367160,5934367160,0.0,PushPop,:stage.process:model.layers.1.self_attn.q_proj
1.6,5922991116,1,5922991116.0,5922991116.0,5922991116,5922991116,0.0,PushPop,:stage.process:model.layers.0.self_attn.o_proj
1.6,5905975338,1,5905975338.0,5905975338.0,5905975338,5905975338,0.0,PushPop,:stage.process:model.layers.1.self_attn.o_proj
1.5,5575315344,5120,1088928.8,1067238.5,833838,80348218,1186622.4,PushPop,:qvq_api.qvq_cuda_viterbi
0.8,3142144059,4968,632476.7,247196.5,196044,6815485,575537.0,PushPop,:qvq_cuda.viterbi_v2_segment_tail_trusted
0.8,3109531477,1,3109531477.0,3109531477.0,3109531477,3109531477,0.0,PushPop,:stage.process:model.layers.0.self_attn.k_proj
0.8,3076517621,1,3076517621.0,3076517621.0,3076517621,3076517621,0.0,PushPop,:stage.process:model.layers.0.self_attn.v_proj
0.8,3063369952,1,3063369952.0,3063369952.0,3063369952,3063369952,0.0,PushPop,:stage.process:model.layers.1.self_attn.k_proj
0.8,3043013439,1,3043013439.0,3043013439.0,3043013439,3043013439,0.0,PushPop,:stage.process:model.layers.1.self_attn.v_proj
0.7,2684597131,5120,524335.4,496902.0,384593,79562771,1156014.5,PushPop,:qvq_cuda.viterbi
0.4,1536319794,5490,279839.7,139109.5,125078,5671826,368135.2,PushPop,:qvq_cuda.viterbi_tail_trusted
0.2,839360396,7668,109462.8,95261.5,82377,20145391,253033.1,PushPop,:qvq_cuda.yaqa_feedback
0.2,659541221,7668,86012.2,76937.0,68781,4039737,92662.1,PushPop,:qvq_cuda.yaqa_feedback_update
0.0,83263051,1,83263051.0,83263051.0,83263051,83263051,0.0,PushPop,:stage.submodule_finalize:model.layers.1.mlp.up_proj
0.0,69412977,3616,19196.1,17293.0,14999,867994,24615.6,PushPop,CCCL:cub::DeviceSelect::Flagged
0.0,64139788,1,64139788.0,64139788.0,64139788,64139788,0.0,PushPop,:stage.submodule_finalize:model.layers.1.mlp.gate_proj
0.0,61226798,1,61226798.0,61226798.0,61226798,61226798,0.0,PushPop,:stage.submodule_finalize:model.layers.0.mlp.down_proj
0.0,58495444,1,58495444.0,58495444.0,58495444,58495444,0.0,PushPop,:stage.submodule_finalize:model.layers.0.mlp.up_proj
0.0,56646912,1,56646912.0,56646912.0,56646912,56646912,0.0,PushPop,:stage.submodule_finalize:model.layers.0.self_attn.q_proj
0.0,53529814,1,53529814.0,53529814.0,53529814,53529814,0.0,PushPop,:stage.submodule_finalize:model.layers.1.self_attn.k_proj
0.0,53202433,3616,14713.1,13556.0,11482,546071,13627.7,PushPop,CCCL:cub::DeviceReduce::Sum
0.0,52337903,1,52337903.0,52337903.0,52337903,52337903,0.0,PushPop,:stage.submodule_finalize:model.layers.0.self_attn.o_proj
0.0,49090556,1,49090556.0,49090556.0,49090556,49090556,0.0,PushPop,:stage.submodule_finalize:model.layers.1.mlp.down_proj
0.0,31589043,1,31589043.0,31589043.0,31589043,31589043,0.0,PushPop,:stage.submodule_finalize:model.layers.0.mlp.gate_proj
0.0,27627395,1,27627395.0,27627395.0,27627395,27627395,0.0,PushPop,:stage.submodule_finalize:model.layers.1.self_attn.q_proj
0.0,26270029,1,26270029.0,26270029.0,26270029,26270029,0.0,PushPop,:stage.submodule_finalize:model.layers.0.self_attn.k_proj
0.0,15778271,1,15778271.0,15778271.0,15778271,15778271,0.0,PushPop,:stage.submodule_finalize:model.layers.1.self_attn.o_proj
0.0,8234228,1,8234228.0,8234228.0,8234228,8234228,0.0,PushPop,:stage.submodule_finalize:model.layers.0.self_attn.v_proj
0.0,7790532,16,486908.3,58647.0,12494,7029092,1745054.2,PushPop,CCCL:cub::DeviceRadixSort
0.0,6844149,1,6844149.0,6844149.0,6844149,6844149,0.0,PushPop,:stage.submodule_finalize:model.layers.1.self_attn.v_proj
0.0,1915680,1,1915680.0,1915680.0,1915680,1915680,0.0,PushPop,:stage.preprocess:model.layers.1.self_attn.q_proj
0.0,1429283,1,1429283.0,1429283.0,1429283,1429283,0.0,PushPop,:stage.preprocess:model.layers.0.self_attn.q_proj
0.0,1389577,1,1389577.0,1389577.0,1389577,1389577,0.0,PushPop,:stage.preprocess:model.layers.1.self_attn.o_proj
0.0,1027077,1,1027077.0,1027077.0,1027077,1027077,0.0,PushPop,:stage.preprocess:model.layers.1.self_attn.v_proj
0.0,896298,1,896298.0,896298.0,896298,896298,0.0,PushPop,:stage.preprocess:model.layers.1.mlp.down_proj
0.0,842636,1,842636.0,842636.0,842636,842636,0.0,PushPop,:stage.preprocess:model.layers.1.mlp.up_proj
0.0,791888,1,791888.0,791888.0,791888,791888,0.0,PushPop,:stage.preprocess:model.layers.1.mlp.gate_proj
0.0,779004,1,779004.0,779004.0,779004,779004,0.0,PushPop,:stage.preprocess:model.layers.0.self_attn.k_proj
0.0,682721,1,682721.0,682721.0,682721,682721,0.0,PushPop,:stage.preprocess:model.layers.1.self_attn.k_proj
0.0,655008,1,655008.0,655008.0,655008,655008,0.0,PushPop,:stage.preprocess:model.layers.0.self_attn.v_proj
0.0,632525,1,632525.0,632525.0,632525,632525,0.0,PushPop,:stage.preprocess:model.layers.0.mlp.gate_proj
0.0,632364,1,632364.0,632364.0,632364,632364,0.0,PushPop,:stage.preprocess:model.layers.0.self_attn.o_proj
0.0,608970,1,608970.0,608970.0,608970,608970,0.0,PushPop,:stage.preprocess:model.layers.0.mlp.up_proj
0.0,583692,1,583692.0,583692.0,583692,583692,0.0,PushPop,:stage.preprocess:model.layers.0.mlp.down_proj
0.0,252261,1,252261.0,252261.0,252261,252261,0.0,PushPop,:stage.finalize
0.0,17353,1,17353.0,17353.0,17353,17353,0.0,PushPop,:stage.prepare_module_granular_replay
