Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.0,1908944286728,232,8228208132.4,902930.0,14527,156360471771,25654484945.7,sem_wait
18.1,548847013491,918,597872563.7,200045900.5,54795,10000099570,1923458020.0,sem_clockwait
12.3,374072809511,3753,99673010.8,100097900.0,1033,250386601,9292094.2,poll
6.0,183321399553,45,4073808879.0,109744727.0,8115,165938332984,24681702115.1,pthread_cond_wait
0.3,8353307368,19,439647756.2,103227.0,21612,8351609631,1915969014.8,waitpid
0.1,3844129377,30906,124381.3,16251.0,1002,133953502,1679650.1,read
0.0,1351253412,570,2370620.0,6112.0,1012,291909840,13282117.6,write
0.0,1310686156,21188,61859.8,3787.0,1002,3167894,199187.8,open64
0.0,587536694,6694,87770.6,14718.0,1002,5062654,513573.5,pthread_cond_timedwait
0.0,380364905,55183,6892.8,2455.0,1142,187692592,799040.4,munmap
0.0,321569251,300,1071897.5,989655.0,1122,24599991,1727376.7,pthread_rwlock_wrlock
0.0,321278576,2841,113086.4,31300.0,1002,26863423,583025.4,ioctl
0.0,238819327,2588,92279.5,48102.0,25017,8784684,252638.8,pthread_create
0.0,69090557,9198,7511.5,1373.0,1001,910634,23936.7,close
0.0,66686550,34026,1959.9,1322.0,1001,1136395,9416.8,mmap64
0.0,47242697,1295,36480.8,6032.0,1001,36109707,1003534.8,pthread_mutex_lock
0.0,28824576,514,56078.9,55090.0,9448,809381,33794.4,sleep
0.0,25182699,46,547450.0,1342.0,1012,13262214,2593131.9,futex
0.0,24174159,293,82505.7,18014.0,1032,16268441,950458.5,pthread_rwlock_rdlock
0.0,23976170,221,108489.5,1452.0,1012,3708044,546628.9,fopen
0.0,20213563,504,40106.3,5951.0,1002,6261597,391404.8,fgets
0.0,19188269,5728,3349.9,1838.5,1001,981921,22425.1,pthread_cond_signal
0.0,10116341,2,5058170.5,5058170.5,5057674,5058667,702.2,nanosleep
0.0,3936217,4,984054.3,2369.0,1183,3930296,1964161.2,pread
0.0,3816895,180,21205.0,9613.5,4258,182688,21859.5,backtrace
0.0,3007398,28,107407.1,7630.0,1062,2362430,444527.0,open
0.0,1684968,206,8179.5,5205.0,2634,148273,13948.2,mmap
0.0,1495718,12,124643.2,26976.0,18094,586347,189230.0,sem_timedwait
0.0,1248913,116,10766.5,2369.0,1032,158482,27678.2,fclose
0.0,421623,50,8432.5,4553.5,2685,17153,5481.8,pipe2
0.0,401918,50,8038.4,4619.0,1533,34075,7636.4,fopen64
0.0,243917,113,2158.6,1352.0,1012,8737,2054.0,lstat64
0.0,179012,34,5265.1,3041.0,1012,55456,9100.2,stat64
0.0,116611,15,7774.1,9437.0,1012,14237,4314.9,fflush
0.0,94341,7,13477.3,16983.0,4818,19267,6176.7,socket
0.0,81805,3,27268.3,21220.0,20860,39725,10789.3,connect
0.0,71236,37,1925.3,1864.0,1092,3787,712.6,sigaction
0.0,47190,26,1815.0,1768.5,1002,2925,542.0,dup2
0.0,31670,19,1666.8,1613.0,1173,2485,359.9,fcntl
0.0,26571,4,6642.8,6682.5,2555,10651,4330.5,bind
0.0,26421,4,6605.3,2284.5,1423,20429,9224.9,statx
0.0,20879,3,6959.7,6262.0,1402,13215,5937.3,stat
0.0,19918,15,1327.9,1312.0,1052,1793,218.0,pthread_mutex_trylock
0.0,19005,3,6335.0,8486.0,1723,8796,3997.1,fread
0.0,18015,1,18015.0,18015.0,18015,18015,0.0,lstat
0.0,14649,5,2929.8,3507.0,1202,4539,1588.1,fwrite
0.0,14218,11,1292.5,1072.0,1012,2515,477.5,openat64
0.0,13815,9,1535.0,1563.0,1102,1914,224.9,signal
0.0,12154,4,3038.5,3006.0,1012,5130,2306.8,pthread_cond_broadcast
0.0,10902,7,1557.4,1243.0,1123,2856,625.4,flock
0.0,5721,1,5721.0,5721.0,5721,5721,0.0,mprotect
0.0,2806,2,1403.0,1403.0,1253,1553,212.1,getentropy
0.0,2255,1,2255.0,2255.0,2255,2255,0.0,fsync
0.0,2234,2,1117.0,1117.0,1012,1222,148.5,fstat64
0.0,1623,1,1623.0,1623.0,1623,1623,0.0,fdopen
