Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:qvq_quantize.main,PushPop,268889529540,273806224147,1,268889529540.0,268889529540.0,268889529540,268889529540,0.0,97595,97595.0,0.0,1.0
:qvq_cuda.viterbi_v2_segment_family_grid_trusted,PushPop,122025925845,47033808728,12788,9542221.3,9006865.5,1218050,35149536,7780288.7,127880,10.0,1.0,0.0
:stage.process:model.layers.1.mlp.down_proj,PushPop,34772056619,34871821504,1,34772056619.0,34772056619.0,34772056619,34772056619,0.0,166064,166064.0,0.0,6521.0
:stage.process:model.layers.0.mlp.gate_proj,PushPop,31595225833,31648202539,1,31595225833.0,31595225833.0,31595225833,31595225833,0.0,93325,93325.0,0.0,4985.0
:stage.prepare_yaqa,PushPop,30927694646,31141729945,1,30927694646.0,30927694646.0,30927694646,30927694646,0.0,14402,14402.0,1.0,0.0
:stage.process:model.layers.0.mlp.down_proj,PushPop,29640046377,29694163287,1,29640046377.0,29640046377.0,29640046377,29640046377,0.0,172454,172454.0,0.0,6521.0
:stage.process:model.layers.1.mlp.gate_proj,PushPop,28960233846,29012530224,1,28960233846.0,28960233846.0,28960233846,28960233846,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.1.mlp.up_proj,PushPop,27876889328,27931524313,1,27876889328.0,27876889328.0,27876889328,27876889328,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.0.mlp.up_proj,PushPop,27753890773,27805350900,1,27753890773.0,27753890773.0,27753890773,27753890773,0.0,86935,86935.0,0.0,4985.0
:qvq_cuda.viterbi_tail_trusted,PushPop,24758965274,4891915919,5490,4509829.7,2978501.5,2719351,2448205745,33018082.4,32940,6.0,1.0,0.0
:qvq_api.qvq_cuda_viterbi,PushPop,22832356284,6029583402,5120,4459444.6,3787748.0,2138744,220591418,3644928.8,252416,49.3,1.0,1.0
:qvq_cuda.viterbi,PushPop,19714163987,2816790972,5120,3850422.7,3222708.0,1704891,80513043,2266459.9,130048,25.4,2.0,0.0
:qvq_cuda.viterbi_v2_segment_tail_trusted,PushPop,16742729389,10367197500,4968,3370114.6,2545757.0,2400983,7641836,1240154.9,109296,22.0,1.0,0.0
:qvq_cuda.yaqa_feedback,PushPop,12827302357,1868160762,7668,1672835.5,1245026.0,30624,17826440,1466295.3,30672,4.0,1.0,0.0
:stage.process:model.layers.0.self_attn.q_proj,PushPop,9191157992,9225238927,1,9191157992.0,9191157992.0,9191157992,9191157992,0.0,80721,80721.0,0.0,1532.0
:stage.process:model.layers.1.self_attn.o_proj,PushPop,8293067077,8319748562,1,8293067077.0,8293067077.0,8293067077,8293067077,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.0.self_attn.o_proj,PushPop,8273376301,8305315285,1,8273376301.0,8273376301.0,8273376301,8273376301,0.0,77995,77995.0,0.0,1532.0
:stage.process:model.layers.1.self_attn.q_proj,PushPop,8221818596,8247649977,1,8221818596.0,8221818596.0,8221818596,8221818596,0.0,77995,77995.0,0.0,1532.0
:qvq_cuda.yaqa_feedback_update,PushPop,5737594503,5035227417,7668,748251.8,494753.0,15936,5918574,476211.8,23004,3.0,1.0,0.0
:stage.process:model.layers.1.self_attn.v_proj,PushPop,3448602667,3464533373,1,3448602667.0,3448602667.0,3448602667,3448602667,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.0.self_attn.k_proj,PushPop,3432200673,3447487730,1,3432200673.0,3432200673.0,3432200673,3432200673,0.0,61200,61200.0,0.0,1148.0
:stage.process:model.layers.1.self_attn.k_proj,PushPop,3411041621,3430534462,1,3411041621.0,3411041621.0,3411041621,3411041621,0.0,59610,59610.0,0.0,1148.0
:stage.process:model.layers.0.self_attn.v_proj,PushPop,3362864701,3378932796,1,3362864701.0,3362864701.0,3362864701,3362864701,0.0,59610,59610.0,0.0,1148.0
CCCL:cub::DeviceSelect::Flagged,PushPop,43725735,91637489,3616,12092.3,9952.0,8128,815131,15935.9,7232,2.0,0.0,0.0
CCCL:cub::DeviceRadixSort,PushPop,10968825,11502552,16,685551.6,41439.5,5568,9463011,2348504.7,72,4.5,0.0,0.0
CCCL:cub::DeviceReduce::Sum,PushPop,8224408,64913321,3616,2274.4,1984.0,1600,60000,1431.9,3624,1.0,0.0,0.0
