NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,1950204,1952247,0,224,7794677524,34797667.5,6571504.5,769020,101994763,43002903.2,ampere_sgemm_128x128_tn
,,1950204,1952247,0,448,5948872640,13278733.6,3124081.5,129024,101072883,25416738.3,ampere_sgemm_128x128_nt
,,1950204,1952247,0,384,170649330,444399.3,330047.0,18848,1194936,330517.8,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
,,1950204,1952247,0,448,131929902,294486.4,78399.0,7680,1141659,440156.6,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
,,1950204,1952247,0,1840,129740541,70511.2,17776.0,1792,2256914,233949.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
,,1950204,1952247,0,189,126087637,667130.4,224799.0,163104,15953850,1739407.1,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_nn
,,1950204,1952247,0,256,125246884,489245.6,181583.0,47424,2014035,623680.8,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_tn_align1>(T1::Params)
,,1950204,1952247,0,1744,122825474,70427.5,25599.5,4896,1775668,188233.3,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
,,1950204,1952247,0,16,108231372,6764460.8,6738006.0,6733589,6804660,33999.7,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)8, c10::Half, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
,,1950204,1952247,0,576,106874360,185545.8,110239.0,34015,1211704,260019.9,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn
,,1950204,1952247,0,224,106154984,473906.2,439997.5,274174,727100,149354.0,ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn
,,1950204,1952247,0,608,99372659,163441.9,108863.5,27712,745596,179584.5,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
,,1950204,1952247,0,1315,79823576,60702.3,12256.0,4064,1476119,174713.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
,,1950204,1952247,0,256,78877027,308113.4,126511.5,31136,1245944,381782.2,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_nn_align1>(T1::Params)
,,1950204,1952247,0,768,75307227,98056.3,23680.0,5216,1597142,247414.3,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
,,1950204,1952247,0,3088,64109663,20760.9,14560.0,4608,91231,17608.9,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
