Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
44.6,273806224147,1,273806224147.0,273806224147.0,273806224147,273806224147,0.0,:qvq_quantize.main
7.7,47033808728,12788,3677964.4,1028714.5,98998,34986663,5660884.4,:qvq_cuda.viterbi_v2_segment_family_grid_trusted
5.7,34871821504,1,34871821504.0,34871821504.0,34871821504,34871821504,0.0,:stage.process:model.layers.1.mlp.down_proj
5.2,31648202539,1,31648202539.0,31648202539.0,31648202539,31648202539,0.0,:stage.process:model.layers.0.mlp.gate_proj
5.1,31141729945,1,31141729945.0,31141729945.0,31141729945,31141729945,0.0,:stage.prepare_yaqa
4.8,29694163287,1,29694163287.0,29694163287.0,29694163287,29694163287,0.0,:stage.process:model.layers.0.mlp.down_proj
4.7,29012530224,1,29012530224.0,29012530224.0,29012530224,29012530224,0.0,:stage.process:model.layers.1.mlp.gate_proj
4.6,27931524313,1,27931524313.0,27931524313.0,27931524313,27931524313,0.0,:stage.process:model.layers.1.mlp.up_proj
4.5,27805350900,1,27805350900.0,27805350900.0,27805350900,27805350900,0.0,:stage.process:model.layers.0.mlp.up_proj
1.7,10367197500,4968,2086795.0,1469374.5,242953,20212587,1709746.3,:qvq_cuda.viterbi_v2_segment_tail_trusted
1.5,9225238927,1,9225238927.0,9225238927.0,9225238927,9225238927,0.0,:stage.process:model.layers.0.self_attn.q_proj
1.4,8319748562,1,8319748562.0,8319748562.0,8319748562,8319748562,0.0,:stage.process:model.layers.1.self_attn.o_proj
1.4,8305315285,1,8305315285.0,8305315285.0,8305315285,8305315285,0.0,:stage.process:model.layers.0.self_attn.o_proj
1.3,8247649977,1,8247649977.0,8247649977.0,8247649977,8247649977,0.0,:stage.process:model.layers.1.self_attn.q_proj
1.0,6029583402,5120,1177653.0,1096153.0,830832,218018037,3072807.7,:qvq_api.qvq_cuda_viterbi
0.8,5035227417,7668,656654.6,580395.5,70895,8204159,613393.2,:qvq_cuda.yaqa_feedback_update
0.8,4891915919,5490,891059.4,166347.0,125388,2449170689,33056166.8,:qvq_cuda.viterbi_tail_trusted
0.6,3464533373,1,3464533373.0,3464533373.0,3464533373,3464533373,0.0,:stage.process:model.layers.1.self_attn.v_proj
0.6,3447487730,1,3447487730.0,3447487730.0,3447487730,3447487730,0.0,:stage.process:model.layers.0.self_attn.k_proj
0.6,3430534462,1,3430534462.0,3430534462.0,3430534462,3430534462,0.0,:stage.process:model.layers.1.self_attn.k_proj
0.6,3378932796,1,3378932796.0,3378932796.0,3378932796,3378932796,0.0,:stage.process:model.layers.0.self_attn.v_proj
0.5,2816790972,5120,550154.5,513759.0,380004,78004637,1133840.4,:qvq_cuda.viterbi
0.3,1868160762,7668,243630.8,122824.0,86295,20687462,512056.8,:qvq_cuda.yaqa_feedback
0.0,215356187,1,215356187.0,215356187.0,215356187,215356187,0.0,:stage.submodule_finalize:model.layers.0.mlp.down_proj
0.0,199071071,1,199071071.0,199071071.0,199071071,199071071,0.0,:stage.submodule_finalize:model.layers.0.self_attn.q_proj
0.0,135389020,1,135389020.0,135389020.0,135389020,135389020,0.0,:stage.submodule_finalize:model.layers.1.mlp.gate_proj
0.0,119029624,1,119029624.0,119029624.0,119029624,119029624,0.0,:stage.submodule_finalize:model.layers.1.mlp.up_proj
0.0,102791919,1,102791919.0,102791919.0,102791919,102791919,0.0,:stage.submodule_finalize:model.layers.1.mlp.down_proj
0.0,91637489,3616,25342.2,19246.0,15480,4072990,76084.8,CCCL:cub::DeviceSelect::Flagged
0.0,91614565,1,91614565.0,91614565.0,91614565,91614565,0.0,:stage.submodule_finalize:model.layers.0.mlp.gate_proj
0.0,87880722,1,87880722.0,87880722.0,87880722,87880722,0.0,:stage.submodule_finalize:model.layers.1.self_attn.o_proj
0.0,87710628,1,87710628.0,87710628.0,87710628,87710628,0.0,:stage.submodule_finalize:model.layers.0.mlp.up_proj
0.0,73738018,1,73738018.0,73738018.0,73738018,73738018,0.0,:stage.submodule_finalize:model.layers.0.self_attn.o_proj
0.0,64913321,3616,17951.7,14878.5,11662,1175149,23955.0,CCCL:cub::DeviceReduce::Sum
0.0,52300738,1,52300738.0,52300738.0,52300738,52300738,0.0,:stage.submodule_finalize:model.layers.1.self_attn.q_proj
0.0,50293354,1,50293354.0,50293354.0,50293354,50293354,0.0,:stage.submodule_finalize:model.layers.1.self_attn.k_proj
0.0,39304349,1,39304349.0,39304349.0,39304349,39304349,0.0,:stage.submodule_finalize:model.layers.0.self_attn.k_proj
0.0,17065392,1,17065392.0,17065392.0,17065392,17065392,0.0,:stage.submodule_finalize:model.layers.0.self_attn.v_proj
0.0,16934172,1,16934172.0,16934172.0,16934172,16934172,0.0,:stage.submodule_finalize:model.layers.1.self_attn.v_proj
0.0,11502552,16,718909.5,98482.5,13706,9483647,2345520.2,CCCL:cub::DeviceRadixSort
0.0,2314149,1,2314149.0,2314149.0,2314149,2314149,0.0,:stage.preprocess:model.layers.1.mlp.gate_proj
0.0,2310632,1,2310632.0,2310632.0,2310632,2310632,0.0,:stage.preprocess:model.layers.0.self_attn.q_proj
0.0,1749803,1,1749803.0,1749803.0,1749803,1749803,0.0,:stage.preprocess:model.layers.1.self_attn.q_proj
0.0,1238750,1,1238750.0,1238750.0,1238750,1238750,0.0,:stage.preprocess:model.layers.1.self_attn.o_proj
0.0,1140744,1,1140744.0,1140744.0,1140744,1140744,0.0,:stage.preprocess:model.layers.0.self_attn.k_proj
0.0,1090698,1,1090698.0,1090698.0,1090698,1090698,0.0,:stage.preprocess:model.layers.0.mlp.gate_proj
0.0,1083775,1,1083775.0,1083775.0,1083775,1083775,0.0,:stage.preprocess:model.layers.1.self_attn.k_proj
0.0,1018120,1,1018120.0,1018120.0,1018120,1018120,0.0,:stage.preprocess:model.layers.0.self_attn.v_proj
0.0,1016677,1,1016677.0,1016677.0,1016677,1016677,0.0,:stage.preprocess:model.layers.1.mlp.down_proj
0.0,1015295,1,1015295.0,1015295.0,1015295,1015295,0.0,:stage.preprocess:model.layers.0.self_attn.o_proj
0.0,981189,1,981189.0,981189.0,981189,981189,0.0,:stage.preprocess:model.layers.0.mlp.up_proj
