Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.5,2843679299177,215,13226415345.0,3648280.0,9228,233914696651,39716333235.6,sem_wait
17.6,789201046598,1256,628344782.3,200069634.0,30648,10034986232,1995316689.3,sem_clockwait
12.1,543025086882,5434,99931006.1,100125033.5,1823,271015834,8015226.4,poll
6.0,267676140732,53,5050493221.4,146873841.0,8086,249782037647,34265474175.3,pthread_cond_wait
0.3,11549401262,20,577470063.1,80077.5,2765,11544583375,2581390730.3,waitpid
0.2,8570296966,35365,242338.4,16391.0,1001,964995999,5921997.8,read
0.1,5410215195,9273,583437.4,26681.0,1001,15715239,1535493.6,pthread_cond_timedwait
0.1,3104364105,22496,137996.3,3827.0,1001,218176800,1629782.4,open64
0.0,1832668999,562,3260976.9,10014.0,1002,448149272,20020516.3,write
0.0,595420138,2588,230069.6,55996.5,25518,41120128,1331132.4,pthread_create
0.0,384716931,62936,6112.8,2575.0,1132,167906540,674208.3,munmap
0.0,347657303,11979,29022.2,1573.0,1001,50052055,494017.9,close
0.0,324747598,2874,112995.0,33644.5,1002,18951625,464436.9,ioctl
0.0,321990854,339,949825.5,551400.0,1253,29485052,1821889.1,pthread_rwlock_wrlock
0.0,187044506,514,363899.8,248598.5,8436,3651456,452758.7,sleep
0.0,155758420,78,1996902.8,1232.5,1002,52083714,10041819.2,futex
0.0,102085828,47819,2134.8,1583.0,1001,2100392,12319.3,mmap64
0.0,70962280,12114,5857.9,1954.0,1001,5929095,72186.0,pthread_cond_signal
0.0,50949871,1627,31315.2,8657.0,1012,4715814,202639.6,pthread_mutex_lock
0.0,33734002,488,69127.1,11697.5,1002,8560619,487650.8,fgets
0.0,29478400,323,91264.4,23775.0,1063,5050141,376110.3,pthread_rwlock_rdlock
0.0,23711130,222,106806.9,1648.0,1001,3293405,535268.6,fopen
0.0,10121081,2,5060540.5,5060540.5,5058787,5062294,2479.8,nanosleep
0.0,7095047,12,591253.9,346941.0,24116,1880372,623323.2,sem_timedwait
0.0,5768210,29,198903.8,7985.0,1012,3334432,673408.4,open
0.0,4278413,180,23769.0,18765.5,4538,199229,24303.3,backtrace
0.0,4040988,4,1010247.0,2074.0,1252,4035588,2016894.1,pread
0.0,2720426,133,20454.3,2464.0,1002,808751,83500.8,fclose
0.0,1797995,207,8686.0,5981.0,2856,129647,12176.7,mmap
0.0,1055311,1,1055311.0,1055311.0,1055311,1055311,0.0,clock_nanosleep
0.0,750599,55,13647.3,5220.0,1112,114207,22565.4,fopen64
0.0,345048,50,6901.0,4528.5,1863,16622,4833.3,pipe2
0.0,340397,153,2224.8,1362.0,1001,18776,2100.0,lstat64
0.0,202587,3,67529.0,21351.0,16342,164894,84357.7,connect
0.0,124991,7,17855.9,15670.0,8687,27052,7885.0,socket
0.0,123118,36,3419.9,2420.0,1122,22513,3567.6,stat64
0.0,109725,19,5775.0,6402.0,1022,16150,4514.8,fflush
0.0,60835,33,1843.5,1623.0,1042,3376,667.6,sigaction
0.0,57389,38,1510.2,1172.0,1002,9017,1373.4,pthread_mutex_trylock
0.0,34185,22,1553.9,1292.5,1031,3387,607.9,fcntl
0.0,30217,4,7554.3,7023.5,2645,13525,5507.8,bind
0.0,27192,4,6798.0,2444.5,1683,20620,9227.5,statx
0.0,25469,9,2829.9,1674.0,1232,10811,3095.9,signal
0.0,20659,14,1475.6,1382.5,1082,2144,338.3,dup2
0.0,18376,5,3675.2,4299.0,1282,5872,2037.3,fwrite
0.0,17122,3,5707.3,5650.0,1773,9699,3963.3,fread
0.0,15219,12,1268.3,1097.0,1002,2915,537.5,openat64
0.0,14837,8,1854.6,1818.0,1032,3096,739.8,flock
0.0,12634,1,12634.0,12634.0,12634,12634,0.0,lstat
0.0,11602,3,3867.3,4288.0,1352,5962,2333.6,stat
0.0,10742,7,1534.6,1303.0,1002,2394,537.4,fstat64
0.0,7694,3,2564.7,2454.0,1192,4048,1431.2,pthread_cond_broadcast
0.0,5039,1,5039.0,5039.0,5039,5039,0.0,mprotect
0.0,3867,2,1933.5,1933.5,1913,1954,29.0,getentropy
0.0,2787,2,1393.5,1393.5,1273,1514,170.4,fileno
0.0,1953,1,1953.0,1953.0,1953,1953,0.0,flockfile
0.0,1523,1,1523.0,1523.0,1523,1523,0.0,fsync
0.0,1113,1,1113.0,1113.0,1113,1113,0.0,dup
