Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.7,70291325497,1094672,64212.2,5901.0,3176,310128991,559778.6,cudaLaunchKernel
30.3,40379638954,76854,525407.1,9798.0,2966,1019793110,14735014.6,cudaStreamSynchronize
10.5,14021000303,114950,121974.8,4318.0,731,8241178,468878.0,cudaEventRecordWithFlags
4.1,5486887436,133112,41220.1,8126.0,3226,419288156,2070375.1,cudaMemcpyAsync
0.7,878774065,1823,482048.3,146860.0,4398,12634517,1003952.9,cudaDeviceSynchronize
0.3,433666397,90,4818515.5,2888337.5,64102,56238388,7425930.6,cuLibraryLoadData
0.2,312669200,1094672,285.6,240.0,120,498038,1497.8,cuKernelGetName
0.2,294268168,43564,6754.8,5531.0,2685,3338490,37444.4,cudaMemsetAsync
0.2,282230100,114980,2454.6,2064.0,331,8771349,30445.4,cudaEventCreateWithFlags
0.2,282031612,114986,2452.7,2344.0,1713,1161172,4824.0,cudaEventQuery
0.1,117612261,350,336035.0,195688.0,3456,3660813,356939.2,cudaMalloc
0.1,114349855,114883,995.4,681.0,321,7272213,23672.1,cudaEventDestroy
0.1,111954578,9765,11464.9,8767.0,4007,1094425,39269.9,cuLaunchKernel
0.1,77579400,119810,647.5,611.0,310,976420,3101.8,cudaStreamIsCapturing
0.0,55136133,99,556930.6,139395.0,1052,31461120,3154376.4,cudaFree
0.0,42114342,4033,10442.4,5350.0,4017,2830882,46881.0,cudaLaunchKernelExC
0.0,23896223,9765,2447.1,771.0,260,3192671,50973.6,cuKernelGetFunction
0.0,15793618,7793,2026.6,1924.0,671,115510,1580.3,cudaEventRecord
0.0,11187386,38829,288.1,251.0,170,185403,1291.5,cudaGetDeviceProperties
0.0,9949554,48678,204.4,150.0,100,561219,2559.8,cuStreamGetCaptureInfo_v2
0.0,9623340,39,246752.3,16461.0,4639,2269363,622635.4,cudaHostAlloc
0.0,1984288,128,15502.3,1623.5,831,496055,61450.2,cudaStreamCreateWithPriority
0.0,1831301,144,12717.4,11592.0,10831,36951,3732.5,cuLaunchKernelEx
0.0,1618883,1605,1008.6,952.0,280,22232,954.5,cudaStreamGetCaptureInfo
0.0,945454,282,3352.7,2079.5,400,14227,3086.2,cuLibraryGetKernel
0.0,367300,3,122433.3,118215.0,114589,134496,10602.7,cuModuleLoadData
0.0,356358,1354,263.2,211.0,120,8657,295.1,cuGetProcAddress_v2
0.0,173622,50,3472.4,3286.5,762,10300,2404.8,cudaStreamWaitEvent
0.0,71065,5,14213.0,190.0,161,64873,28419.7,cuModuleGetLoadingMode
0.0,33183,1,33183.0,33183.0,33183,33183,0.0,cudaMemGetInfo
0.0,20149,1,20149.0,20149.0,20149,20149,0.0,cudaEventSynchronize
0.0,15761,5,3152.2,1393.0,831,7845,3037.6,cuInit
0.0,1653,3,551.0,381.0,361,911,311.9,cudaGetDriverEntryPointByVersion
