Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.1,50207207110,16724,3002105.2,3328680.0,1001921,13581333,2837988.2,void <unnamed>::qvq_fused_w2_family_grid_kernel<(bool)0>(<unnamed>::FusedSequenceArgs)
27.4,39087665734,16100,2427805.3,2755108.0,1350397,7319742,1396606.1,"void <unnamed>::qvq_viterbi_kernel<(int)4, (int)2, __half, unsigned char>(const float *, const T3 *, const float *, const long *, const float *, T4 *, long *, float *, int, int, int, bool, bool, bool)"
8.5,12199549527,7668,1590968.9,1164866.0,21184,5813283,1409686.2,void cutlass::Kernel2<cutlass_80_simt_sgemm_grouped_128x128_8x4_align1>(T1::Params)
5.9,8429547050,8104,1040171.2,290224.5,9952,101223853,6690751.7,ampere_sgemm_128x128_nt
5.5,7811868182,224,34874411.5,6572102.0,770525,102641314,43101731.9,ampere_sgemm_128x128_tn
4.9,6980360452,48000,145424.2,146432.0,132416,520993,4577.4,"void <unnamed>::qvq_v2_segment_grid_kernel<(int)4, (int)2, (int)16, (bool)1, (bool)0, __half, unsigned char>(const float *, const T6 *, const float *, const long *, const float *, const float *, float *, T7 *, unsigned char *, int, int, int, bool, bool)"
2.1,3001439996,7652,392242.6,308847.5,4608,962914,328854.4,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
1.2,1672324674,2920,572713.9,563534.0,307521,874465,164956.1,ampere_sgemm_64x32_sliced1x4_nt
1.1,1613295069,16724,96465.9,101088.0,67968,117632,9818.1,"<unnamed>::qvq_fused_w2_traceback_kernel(const unsigned char *, const unsigned char *, const int *, long *, unsigned char *, int)"
0.5,692516742,4398,157461.7,93488.0,20832,13553042,634769.8,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8x5_nt_align1>(T1::Params)
0.5,655155467,270,2426501.7,2012865.0,445217,6744164,1317355.5,ampere_sgemm_128x64_nt
0.3,478510407,6000,79751.7,80432.5,67328,119712,4268.1,"void <unnamed>::qvq_v2_segment_grid_finalize_kernel<(int)4, (int)2, (int)16, (bool)0, __half, unsigned char>(const float *, const T5 *, const float *, const long *, const float *, const float *, const T6 *, const unsigned char *, long *, unsigned char *, float *, int, int, bool, bool)"
