Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:qvq_quantize.main,PushPop,168014367865,171676971336,1,168014367865.0,168014367865.0,168014367865,168014367865,0.0,97595,97595.0,0.0,1.0
:qvq_cuda.viterbi_v2_segment_family_grid_trusted,PushPop,47719718600,10712852091,12788,3731601.4,3452009.5,1137343,13717430,2998036.8,53024,4.1,1.0,0.0
:stage.prepare_yaqa,PushPop,25490725764,25674736758,1,25490725764.0,25490725764.0,25490725764,25490725764,0.0,14402,14402.0,1.0,0.0
:qvq_cuda.viterbi_tail_trusted,PushPop,22087335264,1521943275,5490,4023194.0,2942882.0,2719546,14235859,1394840.8,32940,6.0,1.0,0.0
:qvq_api.qvq_cuda_viterbi,PushPop,21964106065,5106623511,5120,4289864.5,3712393.0,2106747,72513428,2222009.8,252416,49.3,1.0,1.0
:qvq_cuda.viterbi,PushPop,19382495594,2441052669,5120,3785643.7,3184360.0,1693276,71804566,2201550.4,130048,25.4,2.0,0.0
:stage.process:model.layers.0.mlp.down_proj,PushPop,17569535663,17613937271,1,17569535663.0,17569535663.0,17569535663,17569535663,0.0,158954,158954.0,0.0,6521.0
:stage.process:model.layers.1.mlp.down_proj,PushPop,17457573559,17497870547,1,17457573559.0,17457573559.0,17457573559,17457573559,0.0,152564,152564.0,0.0,6521.0
:stage.process:model.layers.0.mlp.gate_proj,PushPop,16565464595,16609436561,1,16565464595.0,16565464595.0,16565464595,16565464595,0.0,84433,84433.0,0.0,4985.0
:stage.process:model.layers.1.mlp.up_proj,PushPop,16407187245,16452609212,1,16407187245.0,16407187245.0,16407187245,16407187245,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.1.mlp.gate_proj,PushPop,16403044529,16450418279,1,16403044529.0,16403044529.0,16403044529,16403044529,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.0.mlp.up_proj,PushPop,16385249446,16427131621,1,16385249446.0,16385249446.0,16385249446,16385249446,0.0,78043,78043.0,0.0,4985.0
:qvq_cuda.yaqa_feedback,PushPop,12343400035,797825260,7668,1609728.7,1181122.0,33120,5829795,1410833.5,30672,4.0,1.0,0.0
:qvq_cuda.viterbi_v2_segment_tail_trusted,PushPop,11991060533,3148613888,4968,2413659.5,2467683.0,2187587,2802467,138725.9,83808,16.9,1.0,0.0
:stage.process:model.layers.0.self_attn.q_proj,PushPop,5640863581,5665476520,1,5640863581.0,5640863581.0,5640863581,5640863581,0.0,72813,72813.0,0.0,1532.0
:qvq_cuda.yaqa_feedback_update,PushPop,5503605789,647419019,7668,717736.8,494481.0,15936,1510657,458493.1,23004,3.0,1.0,0.0
:stage.process:model.layers.1.self_attn.o_proj,PushPop,5439892549,5469315585,1,5439892549.0,5439892549.0,5439892549,5439892549,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.0.self_attn.o_proj,PushPop,5428489220,5454425311,1,5428489220.0,5428489220.0,5428489220,5428489220,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.1.self_attn.q_proj,PushPop,5428449222,5455909779,1,5428449222.0,5428449222.0,5428449222,5428449222,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.0.self_attn.k_proj,PushPop,2999980278,3013408321,1,2999980278.0,2999980278.0,2999980278,2999980278,0.0,59664,59664.0,0.0,1148.0
:stage.process:model.layers.0.self_attn.v_proj,PushPop,2960546690,2982614562,1,2960546690.0,2960546690.0,2960546690,2960546690,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.1.self_attn.k_proj,PushPop,2958397596,2972316144,1,2958397596.0,2958397596.0,2958397596,2958397596,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.1.self_attn.v_proj,PushPop,2953828727,2967419667,1,2953828727.0,2953828727.0,2953828727,2953828727,0.0,58074,58074.0,0.0,1148.0
CCCL:cub::DeviceSelect::Flagged,PushPop,34457444,63087721,3616,9529.2,9216.0,5056,96640,2182.1,7232,2.0,0.0,0.0
CCCL:cub::DeviceReduce::Sum,PushPop,8429661,50759469,3616,2331.2,1984.0,1600,314495,5244.0,3624,1.0,0.0,0.0
CCCL:cub::DeviceRadixSort,PushPop,6725951,6950882,16,420371.9,33344.0,5664,6175072,1534935.3,72,4.5,0.0,0.0
