NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,3033121,3034425,0,224,7811868182,34874411.5,6572102.0,770525,102641314,43101731.9,ampere_sgemm_128x128_tn
,,3033121,3034425,0,448,5965931872,13316812.2,3142566.0,129728,101223853,25489570.5,ampere_sgemm_128x128_nt
,,3033121,3034425,0,384,171519965,446666.6,332687.0,18784,1197818,331196.6,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
,,3033121,3034425,0,448,132040014,294732.2,78479.5,7648,1141853,440589.4,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
,,3033121,3034425,0,1840,129735312,70508.3,17936.0,1792,2254677,233913.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
,,3033121,3034425,0,189,127637541,675330.9,226783.0,162848,15946928,1754720.9,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_nn
,,3033121,3034425,0,256,125690391,490978.1,183359.0,47296,2015222,624853.7,void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688gemm_f16_64x64_tn_align1>(T1::Params)
,,3033121,3034425,0,1744,123349244,70727.8,25952.0,4896,1775895,188586.2,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
,,3033121,3034425,0,16,108414016,6775876.0,6802446.0,6733662,6804414,33419.2,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)8, c10::Half, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
,,3033121,3034425,0,576,107339594,186353.5,111568.0,34304,1214170,260280.6,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn
,,3033121,3034425,0,224,106997712,477668.4,446398.0,276607,727357,148473.4,ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn
