Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
48.0,171676971336,1,171676971336.0,171676971336.0,171676971336,171676971336,0.0,PushPop,:qvq_quantize.main
7.2,25674736758,1,25674736758.0,25674736758.0,25674736758,25674736758,0.0,PushPop,:stage.prepare_yaqa
4.9,17613937271,1,17613937271.0,17613937271.0,17613937271,17613937271,0.0,PushPop,:stage.process:model.layers.0.mlp.down_proj
4.9,17497870547,1,17497870547.0,17497870547.0,17497870547,17497870547,0.0,PushPop,:stage.process:model.layers.1.mlp.down_proj
4.6,16609436561,1,16609436561.0,16609436561.0,16609436561,16609436561,0.0,PushPop,:stage.process:model.layers.0.mlp.gate_proj
4.6,16452609212,1,16452609212.0,16452609212.0,16452609212,16452609212,0.0,PushPop,:stage.process:model.layers.1.mlp.up_proj
4.6,16450418279,1,16450418279.0,16450418279.0,16450418279,16450418279,0.0,PushPop,:stage.process:model.layers.1.mlp.gate_proj
4.6,16427131621,1,16427131621.0,16427131621.0,16427131621,16427131621,0.0,PushPop,:stage.process:model.layers.0.mlp.up_proj
3.0,10712852091,12788,837726.9,94169.0,78800,13823372,2346337.6,PushPop,:qvq_cuda.viterbi_v2_segment_family_grid_trusted
1.6,5665476520,1,5665476520.0,5665476520.0,5665476520,5665476520,0.0,PushPop,:stage.process:model.layers.0.self_attn.q_proj
1.5,5469315585,1,5469315585.0,5469315585.0,5469315585,5469315585,0.0,PushPop,:stage.process:model.layers.1.self_attn.o_proj
1.5,5455909779,1,5455909779.0,5455909779.0,5455909779,5455909779,0.0,PushPop,:stage.process:model.layers.1.self_attn.q_proj
1.5,5454425311,1,5454425311.0,5454425311.0,5454425311,5454425311,0.0,PushPop,:stage.process:model.layers.0.self_attn.o_proj
1.4,5106623511,5120,997387.4,1018826.0,796818,69969303,991618.6,PushPop,:qvq_api.qvq_cuda_viterbi
0.9,3148613888,4968,633779.0,241705.5,189010,3091249,530606.6,PushPop,:qvq_cuda.viterbi_v2_segment_tail_trusted
0.8,3013408321,1,3013408321.0,3013408321.0,3013408321,3013408321,0.0,PushPop,:stage.process:model.layers.0.self_attn.k_proj
