Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
62.4,1705434370038,229,7447311659.6,2144475.0,9578,139344954665,23028298431.7,sem_wait
18.3,501091665358,841,595828377.4,200050664.0,30007,10001043041,1927599319.1,sem_clockwait
12.5,341355199097,3430,99520466.2,100097129.0,1473,215313347,9415635.1,poll
6.1,167358383793,43,3892055437.0,116739847.0,7404,149858089083,22793888798.3,pthread_cond_wait
0.3,7331351180,19,385860588.4,89340.0,25408,7329748168,1681539124.5,waitpid
0.1,3280251076,29695,110464.8,10340.0,1001,210702525,1949971.3,read
0.1,1870916019,7675,243767.6,15850.0,1002,8118224,1000875.7,pthread_cond_timedwait
0.0,1079215820,556,1941035.6,6297.0,1012,234379186,10744296.0,write
0.0,1065671672,20896,50998.8,3376.0,1002,6708960,181051.6,open64
0.0,316356785,2837,111511.0,28465.0,1022,31275095,708143.6,ioctl
0.0,287279608,55187,5205.6,2295.0,1623,120578999,513295.9,munmap
0.0,213016699,2588,82309.4,43538.0,24086,6265615,247352.3,pthread_create
0.0,91766079,253,362711.8,255808.0,5291,8761189,776543.4,pthread_rwlock_wrlock
0.0,56861301,8277,6869.8,1403.0,1001,1649722,22194.2,close
0.0,51519532,28392,1814.6,1243.0,1001,914923,6742.4,mmap64
0.0,29793179,514,57963.4,55736.0,11202,1558499,66588.2,sleep
0.0,23706310,6724,3525.6,1693.0,1001,1298454,25554.3,pthread_cond_signal
0.0,22392904,218,102719.7,1528.0,1002,2899443,508614.0,fopen
0.0,17992949,513,35074.0,5521.0,1002,6114708,379513.0,fgets
0.0,17213040,33,521607.3,1233.0,1012,9340793,2088720.9,futex
0.0,11363998,1348,8430.3,5786.0,1001,474735,22740.8,pthread_mutex_lock
0.0,10117613,2,5058806.5,5058806.5,5057213,5060400,2253.5,nanosleep
0.0,4834973,236,20487.2,16476.5,1152,269343,25352.8,pthread_rwlock_rdlock
0.0,3813957,4,953489.3,2154.5,1393,3808255,1903177.2,pread
0.0,3288614,180,18270.1,10771.0,4088,164433,19752.4,backtrace
0.0,2821938,29,97308.2,8306.0,1002,2315030,427587.0,open
0.0,1544761,126,12260.0,2314.0,1002,260616,36554.8,fclose
0.0,1443725,206,7008.4,5030.0,2425,58421,8134.7,mmap
0.0,705705,12,58808.8,19898.0,13074,305101,96359.8,sem_timedwait
0.0,401435,51,7871.3,4318.0,1152,39164,8073.8,fopen64
0.0,396993,50,7939.9,4192.5,1693,21762,5943.4,pipe2
0.0,248127,111,2235.4,1473.0,1001,9728,2021.7,lstat64
0.0,190436,19,10022.9,8977.0,1073,46519,10845.6,fflush
0.0,128718,37,3478.9,2986.0,1031,8125,2123.0,stat64
0.0,119157,3,39719.0,26731.0,20730,71696,27855.0,connect
0.0,105451,7,15064.4,18816.0,4248,21120,7467.6,socket
0.0,84023,41,2049.3,1904.0,1002,3908,816.7,sigaction
0.0,78351,32,2448.5,1237.0,1012,23374,4190.5,pthread_mutex_trylock
0.0,32743,17,1926.1,1744.0,1042,3937,803.2,fcntl
0.0,28826,18,1601.4,1538.0,1142,2194,341.2,dup2
0.0,28124,4,7031.0,2515.0,1552,21542,9688.9,statx
0.0,27542,4,6885.5,7063.5,2264,11151,4435.8,bind
0.0,22994,3,7664.7,5921.0,1503,15570,7193.8,stat
0.0,20600,5,4120.0,4238.0,1623,6272,1909.9,fwrite
0.0,17924,3,5974.7,6813.0,1663,9448,3959.6,fread
0.0,17383,9,1931.4,1773.0,1473,2645,447.5,signal
0.0,13456,1,13456.0,13456.0,13456,13456,0.0,lstat
0.0,12916,6,2152.7,1603.5,1062,5150,1525.9,flock
0.0,11632,10,1163.2,1037.0,1002,1663,222.7,openat64
0.0,8305,3,2768.3,2444.0,1042,4819,1909.3,pthread_cond_broadcast
0.0,5180,1,5180.0,5180.0,5180,5180,0.0,mprotect
0.0,3527,3,1175.7,1203.0,1052,1272,112.5,fileno
0.0,2816,2,1408.0,1408.0,1263,1553,205.1,getentropy
0.0,2064,1,2064.0,2064.0,2064,2064,0.0,fsync
0.0,1834,1,1834.0,1834.0,1834,1834,0.0,fdopen
0.0,1031,1,1031.0,1031.0,1031,1031,0.0,dup
