Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.0,817717532295,3808775,214693.1,7163.0,3286,1388308043,2608138.8,cudaLaunchKernel
18.0,240646279577,303722,792324.2,5371.0,771,39208289,1641431.0,cudaEventRecordWithFlags
15.4,206205609775,305894,674108.1,10180.0,3306,4817950700,34052557.9,cudaStreamSynchronize
4.4,58959438111,446498,132048.6,9068.0,4729,714116343,2819397.9,cudaMemcpyAsync
0.3,4663022953,174837,26670.7,6132.0,3076,466199224,2372655.2,cudaMemsetAsync
0.3,4592294274,3641,1261272.8,541472.0,6272,28045720,2181903.7,cudaDeviceSynchronize
0.1,1867214385,303669,6148.8,2645.0,341,25168116,85507.6,cudaEventCreateWithFlags
0.1,1627826639,3808775,427.4,271.0,120,39444900,21772.9,cuKernelGetName
0.1,981345930,303909,3229.1,2645.0,1743,2281808,9650.8,cudaEventQuery
0.1,817662214,562,1454915.0,184521.5,942,655431182,27637623.3,cudaFree
0.0,591267329,798,740936.5,211137.5,3386,28139168,3174015.2,cudaMalloc
0.0,538588427,91,5918554.1,3744675.0,72629,54633470,7946732.3,cuLibraryLoadData
0.0,379777039,303571,1251.0,742.0,390,21990822,50384.3,cudaEventDestroy
0.0,290709705,312458,930.4,611.0,310,7515630,16550.5,cudaStreamIsCapturing
0.0,251744858,16048,15687.0,10541.0,4669,12613133,109721.6,cuLaunchKernel
0.0,130153271,38225,3404.9,2194.0,762,1279418,9445.2,cudaEventRecord
0.0,104117513,11581,8990.4,6032.0,4369,3688779,50854.2,cudaLaunchKernelExC
0.0,76340132,239476,318.8,170.0,100,745721,3080.2,cuStreamGetCaptureInfo_v2
0.0,75604022,120725,626.2,501.0,170,138203,1056.0,cudaGetDeviceProperties
0.0,42612038,16048,2655.3,921.0,431,4822278,57538.9,cuKernelGetFunction
0.0,29354943,39,752690.8,36951.0,5580,7159322,1906323.7,cudaHostAlloc
0.0,3349589,3533,948.1,962.0,280,22002,837.0,cudaStreamGetCaptureInfo
0.0,3267073,6,544512.2,647689.0,11862,1034851,429317.5,cudaEventSynchronize
0.0,2677277,128,20916.2,1698.0,831,924151,100082.8,cudaStreamCreateWithPriority
0.0,2063107,144,14327.1,12559.0,11252,100221,8414.1,cuLaunchKernelEx
0.0,1396818,196,7126.6,5009.5,761,74653,9915.8,cudaStreamWaitEvent
0.0,1140538,293,3892.6,2765.0,521,22162,3459.5,cuLibraryGetKernel
0.0,535252,3,178417.3,176096.0,141390,217766,38240.9,cuModuleLoadData
0.0,526808,1354,389.1,255.5,110,12173,581.0,cuGetProcAddress_v2
0.0,151939,2,75969.5,75969.5,32662,119277,61246.1,cudaMemGetInfo
0.0,25529,5,5105.8,1893.0,1614,17884,7149.1,cuInit
0.0,12334,5,2466.8,191.0,150,6072,3142.2,cuModuleGetLoadingMode
0.0,1964,3,654.7,491.0,341,1132,420.1,cudaGetDriverEntryPointByVersion
