Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
58.0,802714681530,482880,1662348.2,1987479.5,133089,4389646,974827.6,"void <unnamed>::qvq_v2_segment_grid_kernel<(int)4, (int)2, (int)16, (bool)1, (bool)0, __half, unsigned char>(const float *, const T6 *, const float *, const long *, const float *, const float *, float *, T7 *, unsigned char *, int, int, int, bool, bool)"
14.3,198122989616,60360,3282355.7,4159214.0,1352196,7294172,1586472.3,"void <unnamed>::qvq_viterbi_kernel<(int)4, (int)2, __half, unsigned char>(const float *, const T3 *, const float *, const long *, const float *, T4 *, long *, float *, int, int, int, bool, bool, bool)"
7.8,107932882749,37832,2852952.1,1318149.0,19136,15503648,3347822.1,void cutlass::Kernel2<cutlass_80_simt_sgemm_grouped_128x128_8x4_align1>(T1::Params)
6.5,90171380154,38752,2326883.3,400385.0,9632,454492330,20462657.3,ampere_sgemm_128x128_nt
5.6,76924285826,456,168693609.3,51562725.0,3812224,471608249,191029818.9,ampere_sgemm_128x128_tn
2.3,31647183099,37688,839715.1,497634.0,4000,3078060,934702.3,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
1.8,24885089077,60360,412277.8,510865.5,68129,957827,215637.7,"void <unnamed>::qvq_v2_segment_grid_finalize_kernel<(int)4, (int)2, (int)16, (bool)0, __half, unsigned char>(const float *, const T5 *, const float *, const long *, const float *, const float *, const T6 *, const unsigned char *, long *, unsigned char *, float *, int, int, bool, bool)"
0.4,5160548919,168,30717553.1,56625416.0,1658533,60763662,27744391.0,ampere_sgemm_128x128_nn
0.3,4207518133,3560,1181887.1,568610.0,98528,11166407,1748619.4,ampere_sgemm_128x64_nt
0.2,2578696979,232,11115073.2,6974426.0,427937,21285742,6729596.1,ampere_sgemm_128x64_nn
0.2,2312378464,2382,970771.8,551058.0,103264,27681186,1352892.7,ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn
0.2,2176012566,7308,297757.6,230417.0,4512,808131,218986.3,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.1,1732360388,2673,648095.9,437216.0,115328,42908383,1003451.0,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_tn
0.1,1727217137,208850,8270.1,7200.0,2496,931516,7065.3,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.1,1466387662,56,26185494.0,1697829.0,1692741,60085878,28542417.0,ampere_sgemm_64x32_sliced1x4_nt
0.1,1166438776,158996,7336.3,3424.0,1856,1783943,49687.6,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,1050153205,105416,9962.0,11168.0,3328,88960,2893.9,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
0.1,1019160822,1472,692364.7,862370.5,21536,1198373,450984.4,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
0.1,1005191596,77408,12985.6,4416.0,1920,2430018,62007.6,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
