PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
1830235,1832319,0,448,448,4033560245.8,4422162718.5,614482797,6667130633,1503034631.6,1422189.6,10330.0,8557,154602506,14377821.8,3861451996.9,4388664134.0,459685290,6208957455,1505123245.9,170686059.3,51559208.5,3812224,471608249,192142424.5,cudaLaunchKernel,ampere_sgemm_128x128_tn
1830235,1832319,0,1344,1344,3934242349.6,4366962969.0,52639,6671193426,1520210689.9,1509712.4,7149.0,5180,458144084,24486687.2,3932602202.6,4366872706.0,29949,6671120686,1518693066.0,130434.6,60864.0,4992,576095,187175.5,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
1830235,1832319,0,1344,1344,3932805774.4,4366962800.5,31821,6671222958,1518688620.7,1809685.0,6081.0,4649,454363531,25141309.6,3930907515.8,4366892551.5,19137,6671001867,1516729176.9,88573.7,49824.0,3008,367425,117464.4,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
1830235,1832319,0,1344,1344,3931071399.4,4366971248.0,21153,6671090277,1516727494.9,405888.4,5390.0,4218,447663585,12216012.3,3930580523.5,4366898444.5,6260,6670932290,1516156153.5,84987.5,43936.0,3136,360160,115531.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1830235,1832319,0,1344,1344,3930712385.9,4366956002.0,13453,6670997584,1516154171.3,1643949.5,5501.0,4298,458164574,20539608.2,3929013765.2,4366923740.0,2254,6670860451,1514602614.6,54671.2,27328.0,2944,241761,75937.2,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1830235,1832319,0,1472,1472,3927919106.2,4408035364.5,456212492,6671492833,1627928787.8,2831847.5,8421.0,3777,455937330,27633050.5,3924394894.0,4407712391.5,455334884,6669963491,1625101903.8,692364.7,862370.5,21536,1198373,450984.4,cudaLaunchKernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
1830235,1832319,0,1344,1344,3927629820.6,4366944294.5,22496,6670727262,1513365777.1,358017.7,7675.0,5791,156713708,6177622.8,3927233522.7,4366903305.5,1273,6670699437,1513044066.9,38280.2,20512.0,7520,149985,46254.9,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
1830235,1832319,0,1344,1344,3927257515.3,4366910186.0,10689,6670707760,1513042052.9,3571938.3,6652.5,4899,463072997,36623467.6,3923683333.6,4366885567.5,1630,6670534461,1510515498.5,2243.4,2304.0,1632,2880,271.4,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase &)::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
1830235,1832319,0,1344,1342,3923663604.8,4366879470.0,11401,6670526792,1510534354.2,2010097.3,6397.5,4599,454178519,27086939.2,3927496084.9,4369713396.5,1866,6670475154,1503124459.8,1912.9,1888.0,1536,2624,190.5,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::logical_or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1830235,1832319,0,896,894,3810428350.0,4344187931.0,4072199,6208778756,1535498270.9,3546057.0,11001.0,8416,454312634,37515054.1,3748239793.1,4322712870.5,618,6128400104,1538786100.0,67009115.3,12754046.5,355778,454492330,117442411.1,cudaLaunchKernel,ampere_sgemm_128x128_nt
1830235,1832319,0,896,896,3761177235.3,4319618944.0,28029,6136946444,1570028185.1,1607533.3,6432.0,4679,469426182,22637717.6,3759486427.2,4319505761.5,1906,6136711544,1568611299.3,83274.7,54128.0,6368,549118,87186.5,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(bool, unsigned int, unsigned int) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1830235,1832319,0,918,902,3674526745.0,4307390725.5,11002,6136847441,1658139213.8,3530076.7,7284.0,4488,450304747,36872902.4,3736099419.7,4316338575.5,1572,6136828705,1594405317.0,14677.1,1984.0,1312,888928,86545.7,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
1830235,1832319,0,2008,2002,1969125802.0,355504678.5,23466,6022941977,2204305481.3,1522697.6,7194.0,4148,467570165,22061086.2,1973356106.5,355220453.0,1260,6022692144,2203102369.9,143489.6,86336.0,8480,843427,223184.8,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1830235,1839482,0,2048,2048,1546525082.4,1596794392.0,31129116,1610911982,222897710.3,1837228.5,1998467.5,5751,15186467,701415.3,1544682318.1,1594871075.0,31113596,1608867598,222480142.7,5535.8,5536.0,5120,5888,98.5,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)8>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)2>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
1830235,1839482,0,2048,2048,1544645022.9,1594825074.5,30866373,1608856497,222474212.0,454635.4,507953.0,4980,6697271,210823.6,1544186554.7,1594330548.0,30839006,1608335108,222372111.4,3832.8,3808.0,3552,4096,76.6,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)1>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)16>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
1830235,1839482,0,2048,2048,1544142570.4,1594311264.0,30822626,1608329401,222366169.0,65241.6,10099.0,4790,94640171,2091140.1,1544072743.5,1594278366.5,30787204,1608312882,222567614.4,4585.4,4576.0,4192,4800,66.4,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
1830235,1839482,0,7308,7304,1057766134.9,934736344.5,20512,1595766194,360270968.3,511407.0,15730.0,9297,9147049,856260.2,1057535810.1,934416700.0,495,1592914327,358716590.6,297757.6,230417.0,4512,808131,218986.3,cudaLaunchKernel,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
