Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:qvq_quantize.main,PushPop,1511235255193,1519769100519,1,1511235255193.0,1511235255193.0,1511235255193,1511235255193,0.0,254102,254102.0,0.0,1.0
:qvq_cuda.viterbi_v2_segment_family_grid_trusted,PushPop,828522816431,343606479375,60360,13726355.5,16840426.0,1213573,35594833,8005105.6,603600,10.0,1.0,0.0
:stage.prepare_yaqa,PushPop,175188881225,175437051007,1,175188881225.0,175188881225.0,175188881225,175188881225,0.0,40756,40756.0,1.0,0.0
:qvq_api.qvq_cuda_viterbi,PushPop,119142743026,26036376616,22528,5288651.6,5216145.5,2165224,213113054,2400042.0,1108992,49.2,1.0,1.0
:qvq_cuda.yaqa_feedback,PushPop,108835737683,7147650344,37832,2876816.9,1337205.0,30880,21647659,3356770.3,151328,4.0,1.0,0.0
:qvq_cuda.viterbi,PushPop,105796289377,12259566325,22528,4696213.1,4649727.5,1725191,75574359,1875514.6,571392,25.4,2.0,0.0
:qvq_cuda.viterbi_tail_trusted,PushPop,104328008875,3756208850,18916,5515331.4,5667765.5,2721289,57386530,2600250.2,113496,6.0,1.0,0.0
:stage.process:model.layers.1.mlp.gate_proj,PushPop,87400444220,87495467506,1,87400444220.0,87400444220.0,87400444220,87400444220,0.0,195961,195961.0,0.0,9209.0
:stage.process:model.layers.2.mlp.gate_proj,PushPop,85201380221,85312680784,1,85201380221.0,85201380221.0,85201380221,85201380221,0.0,195961,195961.0,0.0,9209.0
:stage.process:model.layers.0.mlp.up_proj,PushPop,84580471960,84694060321,1,84580471960.0,84580471960.0,84580471960,84580471960,0.0,195961,195961.0,0.0,9209.0
:stage.process:model.layers.0.mlp.gate_proj,PushPop,84501528842,84603570269,1,84501528842.0,84501528842.0,84501528842,84501528842,0.0,206191,206191.0,0.0,9209.0
:stage.process:model.layers.3.mlp.gate_proj,PushPop,84292092043,84401420785,1,84292092043.0,84292092043.0,84292092043,84292092043,0.0,195961,195961.0,0.0,9209.0
:stage.process:model.layers.1.mlp.up_proj,PushPop,84078257547,84167533879,1,84078257547.0,84078257547.0,84078257547,84078257547,0.0,195961,195961.0,0.0,9209.0
:stage.process:model.layers.3.mlp.up_proj,PushPop,84046767110,84150970668,1,84046767110.0,84046767110.0,84046767110,84046767110,0.0,195961,195961.0,0.0,9209.0
:stage.process:model.layers.2.mlp.up_proj,PushPop,83943570271,84033597711,1,83943570271.0,83943570271.0,83943570271,83943570271,0.0,195961,195961.0,0.0,9209.0
:stage.process:model.layers.3.mlp.down_proj,PushPop,83737755885,83844953863,1,83737755885.0,83737755885.0,83737755885,83737755885,0.0,254395,254395.0,0.0,10233.0
:stage.process:model.layers.0.mlp.down_proj,PushPop,82156585650,82278932438,1,82156585650.0,82156585650.0,82156585650,82156585650,0.0,264625,264625.0,0.0,10233.0
:stage.process:model.layers.1.mlp.down_proj,PushPop,81426587405,81517552677,1,81426587405.0,81426587405.0,81426587405,81426587405,0.0,254395,254395.0,0.0,10233.0
:stage.process:model.layers.2.mlp.down_proj,PushPop,81408921089,81549507475,1,81408921089.0,81408921089.0,81408921089,81408921089,0.0,254395,254395.0,0.0,10233.0
:qvq_cuda.yaqa_feedback_update,PushPop,61162639199,32773297680,37832,1616690.6,1304612.0,13440,19197511,1504549.6,113496,3.0,1.0,0.0
:stage.process:model.layers.3.self_attn.q_proj,PushPop,27607394136,27645526120,1,27607394136.0,27607394136.0,27607394136,27607394136,0.0,100769,100769.0,0.0,4601.0
:stage.process:model.layers.1.self_attn.q_proj,PushPop,27269103241,27308367566,1,27269103241.0,27269103241.0,27269103241,27269103241,0.0,100769,100769.0,0.0,4601.0
:stage.process:model.layers.0.self_attn.q_proj,PushPop,27108147269,27146931400,1,27108147269.0,27108147269.0,27108147269,27108147269,0.0,106055,106055.0,0.0,4601.0
:stage.process:model.layers.0.self_attn.o_proj,PushPop,26370908842,26401519174,1,26370908842.0,26370908842.0,26370908842,26370908842,0.0,100769,100769.0,0.0,4601.0
:stage.process:model.layers.2.self_attn.o_proj,PushPop,26359870258,26390398374,1,26359870258.0,26359870258.0,26359870258,26359870258,0.0,100769,100769.0,0.0,4601.0
:stage.process:model.layers.1.self_attn.o_proj,PushPop,26352295769,26388055329,1,26352295769.0,26352295769.0,26352295769,26352295769,0.0,100769,100769.0,0.0,4601.0
:stage.process:model.layers.3.self_attn.o_proj,PushPop,26332224964,26365474403,1,26332224964.0,26332224964.0,26332224964,26332224964,0.0,100769,100769.0,0.0,4601.0
:stage.process:model.layers.2.self_attn.q_proj,PushPop,26318290266,26358958898,1,26318290266.0,26318290266.0,26318290266,26318290266,0.0,100769,100769.0,0.0,4601.0
:stage.process:model.layers.2.self_attn.k_proj,PushPop,11789909426,11818259896,1,11789909426.0,11789909426.0,11789909426,11789909426,0.0,83491,83491.0,0.0,3257.0
:stage.process:model.layers.2.self_attn.v_proj,PushPop,8372076670,8395452543,1,8372076670.0,8372076670.0,8372076670,8372076670,0.0,83491,83491.0,0.0,3257.0
:stage.process:model.layers.3.self_attn.k_proj,PushPop,8315426915,8338238956,1,8315426915.0,8315426915.0,8315426915,8315426915,0.0,83491,83491.0,0.0,3257.0
:stage.process:model.layers.1.self_attn.k_proj,PushPop,8314159128,8333497882,1,8314159128.0,8314159128.0,8314159128,8314159128,0.0,83491,83491.0,0.0,3257.0
:stage.process:model.layers.1.self_attn.v_proj,PushPop,8306743469,8328368469,1,8306743469.0,8306743469.0,8306743469,8306743469,0.0,83491,83491.0,0.0,3257.0
:stage.process:model.layers.3.self_attn.v_proj,PushPop,8284249236,8307143707,1,8284249236.0,8284249236.0,8284249236,8284249236,0.0,83491,83491.0,0.0,3257.0
:stage.process:model.layers.0.self_attn.k_proj,PushPop,8277750877,8296042313,1,8277750877.0,8277750877.0,8277750877,8277750877,0.0,86681,86681.0,0.0,3257.0
:stage.process:model.layers.0.self_attn.v_proj,PushPop,8235772040,8254324963,1,8235772040.0,8235772040.0,8235772040,8235772040,0.0,83491,83491.0,0.0,3257.0
CCCL:cub::DeviceSelect::Flagged,PushPop,80237775,155109036,7200,11144.1,10048.0,5664,2126856,30794.3,14400,2.0,0.0,0.0
CCCL:cub::DeviceReduce::Sum,PushPop,18171199,122097935,7200,2523.8,2272.0,1792,80992,1371.3,7208,1.0,0.0,0.0
CCCL:cub::DeviceRadixSort,PushPop,7541252,7892219,16,471328.3,45232.0,5473,6851460,1701884.8,72,4.5,0.0,0.0
