NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,1830235,1832319,0,448,76467354572,170686059.3,51559208.5,3812224,471608249,192142424.5,ampere_sgemm_128x128_tn
,,1830235,1832319,0,896,60040167298,67009115.3,12754046.5,355778,454492330,117442411.1,ampere_sgemm_128x128_nt
,,1830235,1832319,0,1472,1019160822,692364.7,862370.5,21536,1198373,450984.4,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
,,1830235,1832319,0,648,841524123,1298648.3,768434.0,422562,3666513,1036252.7,ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn
,,1830235,1832319,0,484,808503569,1670461.9,663343.5,422370,37233380,2818721.2,ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_nn
,,1830235,1832319,0,936,738582702,789084.1,647890.0,293889,2209979,441424.8,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_nn
,,1830235,1832319,0,792,661612058,835368.8,668962.0,314273,1982046,477662.4,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_tn
,,1830235,1832319,0,360,522928717,1452579.8,1543504.0,518464,2346043,595150.9,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
,,1830235,1832319,0,6096,459914074,75445.2,39968.0,5152,1853976,160583.0,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
,,1830235,1832319,0,6384,429457191,67270.9,23168.0,1792,2252730,192283.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
,,1830235,1832319,0,9232,358868573,38872.2,25984.0,5472,187935,35832.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
,,1830235,1832319,0,5776,296387706,51313.7,37376.0,5664,265023,45396.5,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
,,1830235,1832319,0,2008,288127178,143489.6,86336.0,8480,843427,223184.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
,,1830235,1832319,0,6912,257755352,37291.0,24848.0,4256,180736,36778.5,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
