Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
44.4,1519769100519,1,1519769100519.0,1519769100519.0,1519769100519,1519769100519,0.0,:qvq_quantize.main
10.0,343606479375,60360,5692618.9,2109574.5,100040,754623437,8474153.1,:qvq_cuda.viterbi_v2_segment_family_grid_trusted
5.1,175437051007,1,175437051007.0,175437051007.0,175437051007,175437051007,0.0,:stage.prepare_yaqa
2.6,87495467506,1,87495467506.0,87495467506.0,87495467506,87495467506,0.0,:stage.process:model.layers.1.mlp.gate_proj
2.5,85312680784,1,85312680784.0,85312680784.0,85312680784,85312680784,0.0,:stage.process:model.layers.2.mlp.gate_proj
2.5,84694060321,1,84694060321.0,84694060321.0,84694060321,84694060321,0.0,:stage.process:model.layers.0.mlp.up_proj
2.5,84603570269,1,84603570269.0,84603570269.0,84603570269,84603570269,0.0,:stage.process:model.layers.0.mlp.gate_proj
2.5,84401420785,1,84401420785.0,84401420785.0,84401420785,84401420785,0.0,:stage.process:model.layers.3.mlp.gate_proj
2.5,84167533879,1,84167533879.0,84167533879.0,84167533879,84167533879,0.0,:stage.process:model.layers.1.mlp.up_proj
2.5,84150970668,1,84150970668.0,84150970668.0,84150970668,84150970668,0.0,:stage.process:model.layers.3.mlp.up_proj
2.5,84033597711,1,84033597711.0,84033597711.0,84033597711,84033597711,0.0,:stage.process:model.layers.2.mlp.up_proj
2.5,83844953863,1,83844953863.0,83844953863.0,83844953863,83844953863,0.0,:stage.process:model.layers.3.mlp.down_proj
2.4,82278932438,1,82278932438.0,82278932438.0,82278932438,82278932438,0.0,:stage.process:model.layers.0.mlp.down_proj
2.4,81549507475,1,81549507475.0,81549507475.0,81549507475,81549507475,0.0,:stage.process:model.layers.2.mlp.down_proj
2.4,81517552677,1,81517552677.0,81517552677.0,81517552677,81517552677,0.0,:stage.process:model.layers.1.mlp.down_proj
1.0,32773297680,37832,866285.1,187042.0,70504,16059120,996671.0,:qvq_cuda.yaqa_feedback_update
0.8,27645526120,1,27645526120.0,27645526120.0,27645526120,27645526120,0.0,:stage.process:model.layers.3.self_attn.q_proj
0.8,27308367566,1,27308367566.0,27308367566.0,27308367566,27308367566,0.0,:stage.process:model.layers.1.self_attn.q_proj
0.8,27146931400,1,27146931400.0,27146931400.0,27146931400,27146931400,0.0,:stage.process:model.layers.0.self_attn.q_proj
0.8,26401519174,1,26401519174.0,26401519174.0,26401519174,26401519174,0.0,:stage.process:model.layers.0.self_attn.o_proj
0.8,26390398374,1,26390398374.0,26390398374.0,26390398374,26390398374,0.0,:stage.process:model.layers.2.self_attn.o_proj
0.8,26388055329,1,26388055329.0,26388055329.0,26388055329,26388055329,0.0,:stage.process:model.layers.1.self_attn.o_proj
0.8,26365474403,1,26365474403.0,26365474403.0,26365474403,26365474403,0.0,:stage.process:model.layers.3.self_attn.o_proj
0.8,26358958898,1,26358958898.0,26358958898.0,26358958898,26358958898,0.0,:stage.process:model.layers.2.self_attn.q_proj
0.8,26036376616,22528,1155734.0,1105802.5,842295,209101619,1650973.4,:qvq_api.qvq_cuda_viterbi
0.4,12259566325,22528,544192.4,522330.5,385114,71683248,729222.3,:qvq_cuda.viterbi
0.3,11818259896,1,11818259896.0,11818259896.0,11818259896,11818259896,0.0,:stage.process:model.layers.2.self_attn.k_proj
0.2,8395452543,1,8395452543.0,8395452543.0,8395452543,8395452543,0.0,:stage.process:model.layers.2.self_attn.v_proj
0.2,8338238956,1,8338238956.0,8338238956.0,8338238956,8338238956,0.0,:stage.process:model.layers.3.self_attn.k_proj
0.2,8333497882,1,8333497882.0,8333497882.0,8333497882,8333497882,0.0,:stage.process:model.layers.1.self_attn.k_proj
0.2,8328368469,1,8328368469.0,8328368469.0,8328368469,8328368469,0.0,:stage.process:model.layers.1.self_attn.v_proj
