Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.5,17182001366732,372,46188175717.0,18598237.5,14027,654486244664,128724189027.7,sem_wait
16.8,4413099132109,7204,612590107.2,200068162.5,968265,11963849478,1967896477.3,sem_clockwait
11.5,3020082082148,30067,100445075.4,100122387.0,1102,2933040633,23094470.5,poll
5.7,1507669396412,147,10256254397.4,17273.0,6442,1359324912182,112048700211.6,pthread_cond_wait
0.2,47832646629,121304,394320.4,23385.0,1001,5923719813,24144252.0,read
0.1,27964702331,45349,616655.3,9629.0,1002,6730364984,41196722.7,open64
0.1,13383926834,1100,12167206.2,13420.0,1012,1193638844,51069907.4,write
0.0,11444555686,23494,487126.7,23585.0,1002,98286739,1739113.0,pthread_cond_timedwait
0.0,8437067046,19,444056160.3,73280.0,22814,8435542742,1935226801.8,waitpid
0.0,1996402421,2567,777718.1,519891.0,1633,94563255,2330568.3,pthread_rwlock_wrlock
0.0,1588363699,33047,48063.8,12544.0,1001,230731555,1327031.9,close
0.0,1468435376,62674,23429.7,2194.0,1042,360668471,2405489.1,munmap
0.0,980872602,6716,146050.1,39009.5,1001,28778155,1127414.5,ioctl
0.0,464098227,2482,186985.6,23390.0,1002,30089824,1081213.4,pthread_rwlock_rdlock
0.0,385412534,2588,148922.9,46614.0,24046,19094083,803330.6,pthread_create
0.0,159757885,31782,5026.7,1813.0,1001,9916765,74954.3,pthread_cond_signal
0.0,99518782,3942,25245.8,7584.5,1001,14745386,304712.0,pthread_mutex_lock
0.0,52150017,26056,2001.5,1232.0,1001,3032067,21024.1,mmap64
0.0,28241755,514,54945.0,55055.0,10720,238244,12712.6,sleep
0.0,22729218,40,568230.4,1342.5,1012,11420661,2449224.6,futex
0.0,22690065,213,106526.1,1383.0,1002,4378923,536422.8,fopen
0.0,20549258,494,41597.7,8266.0,1012,7062948,412523.7,fgets
0.0,10114774,2,5057387.0,5057387.0,5056766,5058008,878.2,nanosleep
0.0,6425156,258,24903.7,14081.5,4739,217534,26155.4,backtrace
0.0,4028552,555,7258.7,5471.0,2084,197506,10191.4,mmap
0.0,3813286,4,953321.5,1958.5,1333,3808036,1903143.0,pread
0.0,2811206,29,96938.1,6753.0,1012,2385656,440844.2,open
0.0,1206113,112,10768.9,2374.5,1032,186836,29082.1,fclose
0.0,1188104,12,99008.7,26710.5,17023,504812,173284.7,sem_timedwait
0.0,509657,49,10401.2,7284.0,1593,37261,10192.8,fopen64
0.0,404216,50,8084.3,4743.5,2104,17433,5548.6,pipe2
0.0,168139,83,2025.8,1313.0,1001,10279,1737.5,lstat64
0.0,144314,3,48104.7,17583.0,16962,109769,53403.8,connect
0.0,136080,36,3780.0,1983.5,1052,61337,9944.6,sigaction
0.0,112596,32,3518.6,2019.0,1302,19377,3485.6,stat64
0.0,107163,15,7144.2,8226.0,1102,13015,4151.8,fflush
0.0,104261,7,14894.4,16572.0,4789,19558,4952.1,socket
0.0,90814,37,2454.4,2465.0,1122,3377,444.5,openat64
0.0,41039,7,5862.7,2675.0,1873,20950,6911.6,statx
0.0,39904,21,1900.2,1874.0,1032,2915,454.7,dup2
0.0,31058,18,1725.4,1483.0,1032,2826,581.8,fcntl
0.0,24315,4,6078.8,5289.5,2685,11051,3858.2,bind
0.0,22883,6,3813.8,3547.0,1252,7143,2460.5,fwrite
0.0,21972,3,7324.0,5360.0,1503,15109,7012.4,stat
0.0,18815,3,6271.7,7564.0,1803,9448,3983.0,fread
0.0,16842,1,16842.0,16842.0,16842,16842,0.0,lstat
0.0,14959,9,1662.1,1713.0,1192,2315,330.7,signal
0.0,12053,7,1721.9,1473.0,1102,2244,499.0,pthread_mutex_trylock
0.0,8715,6,1452.5,1352.0,1062,1954,350.4,flock
0.0,6892,2,3446.0,3446.0,3416,3476,42.4,pthread_cond_broadcast
0.0,5671,1,5671.0,5671.0,5671,5671,0.0,mprotect
0.0,2916,1,2916.0,2916.0,2916,2916,0.0,fputs
0.0,2816,2,1408.0,1408.0,1262,1554,206.5,getentropy
0.0,2605,1,2605.0,2605.0,2605,2605,0.0,fdopen
0.0,2424,2,1212.0,1212.0,1082,1342,183.8,fstat64
0.0,1644,1,1644.0,1644.0,1644,1644,0.0,fsync
0.0,1072,1,1072.0,1072.0,1072,1072,0.0,listen
0.0,1062,1,1062.0,1062.0,1062,1062,0.0,fileno
