Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.7,549971105451,3455351,159165.0,6713.0,3417,6034784424,4206492.9,cudaLaunchKernel
22.7,195835541363,305898,640198.8,10520.0,3146,4838050471,33105964.1,cudaStreamSynchronize
9.0,77931208629,303722,256587.3,4759.0,731,65516501,886104.6,cudaEventRecordWithFlags
2.8,24124076411,446498,54029.5,8807.0,4449,708391548,2669058.9,cudaMemcpyAsync
0.5,4717349636,174837,26981.4,6622.0,3105,466675920,2378625.3,cudaMemsetAsync
0.5,4559799047,3641,1252348.0,531482.0,5120,28228459,2177687.2,cudaDeviceSynchronize
0.1,1237784495,303669,4076.1,2114.0,331,28782485,84610.5,cudaEventCreateWithFlags
0.1,1012325971,3455351,293.0,240.0,120,973995,1652.7,cuKernelGetName
0.1,842979842,303909,2773.8,2585.0,1753,878364,6432.0,cudaEventQuery
0.1,569449822,91,6257690.4,3739836.0,74482,63732943,9055907.5,cuLibraryLoadData
0.0,428595640,303571,1411.8,661.0,310,36144874,93793.9,cudaEventDestroy
0.0,397121575,551,720728.8,188930.0,85232,62987072,3218093.4,cuMemSetAccess
0.0,248698598,16048,15497.2,10480.0,4328,12622192,109799.0,cuLaunchKernel
0.0,205191290,311673,658.4,611.0,291,1124874,2736.4,cudaStreamIsCapturing
0.0,163193794,2303,70861.4,66997.0,61086,3936622,81275.7,cuMemUnmap
0.0,117482690,3642,32257.7,28644.0,21401,839019,34355.8,cuMemMap
0.0,105617412,2303,45860.8,44365.0,35608,304190,8238.3,cuMemRelease
0.0,99774806,11581,8615.4,5781.0,4308,3732472,47488.2,cudaLaunchKernelExC
0.0,97591355,3642,26796.1,16341.0,10670,6922381,124574.7,cuMemCreate
0.0,82878523,38225,2168.2,1914.0,721,652974,4520.3,cudaEventRecord
0.0,50038861,120733,414.5,341.0,160,665017,2881.2,cudaGetDeviceProperties
0.0,49477841,239476,206.6,150.0,100,41980,277.9,cuStreamGetCaptureInfo_v2
0.0,38735655,16048,2413.7,831.0,230,4896831,62318.5,cuKernelGetFunction
0.0,29557828,39,757893.0,28815.0,5481,7096623,1930015.6,cudaHostAlloc
0.0,11594373,14,828169.5,320285.5,20118,5139323,1308412.9,cudaEventSynchronize
0.0,3564377,3533,1008.9,882.0,290,29155,899.9,cudaStreamGetCaptureInfo
0.0,2575402,128,20120.3,2154.0,882,580295,75087.4,cudaStreamCreateWithPriority
0.0,1950950,13,150073.1,25950.0,3507,453264,179727.8,cudaMalloc
0.0,1934467,144,13433.8,12443.5,11441,60024,4419.2,cuLaunchKernelEx
0.0,1151491,196,5875.0,5831.0,761,30018,4772.5,cudaStreamWaitEvent
0.0,1109571,295,3761.3,2254.0,411,25178,3600.5,cuLibraryGetKernel
0.0,804181,9,89353.4,24837.0,1062,475345,153026.7,cudaFree
0.0,518297,3,172765.7,136359.0,135107,246831,64145.5,cuModuleLoadData
0.0,402940,1354,297.6,210.0,110,5571,261.5,cuGetProcAddress_v2
0.0,151458,7,21636.9,22694.0,11863,30678,7504.6,cuMemAddressReserve
0.0,151168,1,151168.0,151168.0,151168,151168,0.0,cudaMemGetInfo
0.0,27729,36,770.3,616.0,420,3697,546.8,cudaGetDriverEntryPointByVersion
0.0,16101,5,3220.2,1443.0,872,7093,2813.0,cuInit
0.0,11310,5,2262.0,381.0,220,5450,2666.6,cuModuleGetLoadingMode
0.0,9458,1,9458.0,9458.0,9458,9458,0.0,cuMemAddressFree
