Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
36.2,316184676405,58904,5367796.4,6524829.0,1047140,13668830,3088149.7,void <unnamed>::qvq_fused_w2_family_grid_kernel<(bool)0>(<unnamed>::FusedSequenceArgs)
22.7,198593261148,60360,3290146.8,4157825.5,1351046,7370082,1591696.1,"void <unnamed>::qvq_viterbi_kernel<(int)4, (int)2, __half, unsigned char>(const float *, const T3 *, const float *, const long *, const float *, T4 *, long *, float *, int, int, int, bool, bool, bool)"
11.9,103643435453,37832,2739570.6,1257061.5,19360,14395813,3157279.2,void cutlass::Kernel2<cutlass_80_simt_sgemm_grouped_128x128_8x4_align1>(T1::Params)
10.2,89261824371,38752,2303412.1,400322.0,9632,455080851,20490917.8,ampere_sgemm_128x128_nt
8.8,77014255918,456,168890912.1,51565873.0,3812197,471134977,191266507.6,ampere_sgemm_128x128_tn
3.5,30764180643,37688,816285.8,488946.5,4064,2938156,897048.2,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<const float>, cublasGemvTensorBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.7,6126411314,58904,104006.7,105824.0,71552,119648,6774.9,"<unnamed>::qvq_fused_w2_traceback_kernel(const unsigned char *, const unsigned char *, const int *, long *, unsigned char *, int)"
0.6,5162809691,168,30731010.1,56619042.0,1658119,58707728,27774924.2,ampere_sgemm_128x128_nn
0.5,4207393968,3560,1181852.2,569106.5,98816,11260913,1748562.5,ampere_sgemm_128x64_nt
0.3,2554015910,232,11008689.3,6699711.0,427489,19979708,6695487.0,ampere_sgemm_128x64_nn
0.3,2323109521,2382,975276.9,550146.5,103137,28602287,1364975.9,ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_tn
0.2,2113373675,7308,289186.3,224817.0,4640,779076,210752.1,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.2,1739873256,208850,8330.7,7424.0,2496,895169,7064.9,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.2,1737560923,2673,650041.5,437729.0,115489,43184220,1009366.7,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_tn
