PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
3558747,3561120,0,448,448,4040124275.3,4424357415.5,615647095,6695111138,1504028180.8,1432735.4,10620.5,8887,155364637,14406099.0,3867804496.8,4390559321.5,460210664,6233070585,1506125657.1,170887043.1,51564860.0,3812197,471134977,192379773.4,cudaLaunchKernel,ampere_sgemm_128x128_tn
3558747,3561120,0,1344,1344,3940707771.1,4373546850.0,55714,6699247258,1521269199.1,1527548.1,7279.0,5240,462005060,24646484.1,3939050003.2,4373442711.5,33165,6698969672,1519734333.6,130219.8,61056.0,5056,574432,186756.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
3558747,3561120,0,1344,1344,3939255990.4,4373532779.5,35833,6699071691,1519732554.8,1822983.7,6302.0,4739,454839164,25195036.0,3937344195.5,4373463385.0,22669,6698803919,1517763199.7,88811.3,49952.0,3072,368994,117809.8,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
3558747,3561120,0,1344,1344,3937508507.4,4373541200.0,24941,6698893439,1517763443.6,410934.5,5690.5,4238,448473204,12238306.7,3937012548.1,4373468053.0,10529,6698735027,1517183292.9,85024.8,43808.0,3168,361793,115858.6,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool, at::native::<unnamed>::CompareEqFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
3558747,3561120,0,1344,1344,3937145020.6,4373522263.5,16947,6698802938,1517182767.8,1661557.4,5856.5,4358,462241199,20700411.2,3935427500.5,4373491699.5,3045,6698661479,1515606239.9,55962.7,27425.0,2976,250881,78576.6,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
3558747,3561120,0,1472,1472,3934437724.9,4411358387.5,456702187,6699363318,1629031591.5,2840122.4,8396.0,3857,454699068,27638809.1,3930899314.6,4411037558.0,455814965,6698003077,1626201003.7,698287.9,872306.5,21568,1209762,456587.2,cudaLaunchKernel,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
3558747,3561120,0,1344,1344,3934039307.4,4373511407.5,21779,6698581393,1514368524.1,363147.7,7970.5,5721,155469136,6144035.5,3933637699.2,4373471411.5,1514,6698501883,1514046964.1,38460.5,20448.0,7457,151265,46854.9,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
3558747,3561120,0,1344,1344,3933663118.0,4373478283.5,11003,6698511029,1514046412.0,3573930.8,6837.5,5120,463766114,36755150.1,3930086840.0,4373455497.0,1906,6698486590,1511530615.9,2347.3,2432.0,1664,3008,270.7,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase &)::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3558747,3561120,0,1344,1342,3930070840.2,4373448694.5,11103,6698481083,1511551232.3,2001978.8,6332.0,4649,453830874,27049119.3,3933920844.6,4375614961.0,1947,6698470501,1504146128.6,2068.0,2016.0,1632,2912,188.9,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::logical_or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 9)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
3558747,3561120,0,896,895,3816792544.5,4346964576.5,4073122,6232926057,1536660035.3,3563068.9,11131.0,8847,454760485,37605940.5,3750321152.5,4325328488.0,242,6157167387,1544161726.5,67093965.5,12755545.5,355073,455080851,117608715.6,cudaLaunchKernel,ampere_sgemm_128x128_nt
