Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:qvq_quantize.main,PushPop,979232301862,984572738221,1,979232301862.0,979232301862.0,979232301862,979232301862,0.0,254102,254102.0,0.0,1.0
:qvq_cuda.viterbi_v2_segment_family_grid_trusted,PushPop,325363885611,53998530232,60360,5390389.1,6648767.5,1135205,85349972,3141952.6,250176,4.1,1.0,0.0
:stage.prepare_yaqa,PushPop,175225169702,175659429828,1,175225169702.0,175225169702.0,175225169702,175225169702,0.0,40756,40756.0,1.0,0.0
:qvq_api.qvq_cuda_viterbi,PushPop,117279967919,24029963867,22528,5205964.5,5195715.0,2155978,86140099,1909626.7,1108992,49.2,1.0,1.0
:qvq_cuda.viterbi,PushPop,105159568736,11532984369,22528,4667949.6,4638723.5,1718822,85389857,1852929.9,571392,25.4,2.0,0.0
:qvq_cuda.viterbi_tail_trusted,PushPop,104766975883,2739429958,18916,5538537.5,5676522.0,2721579,57402436,2662884.9,113496,6.0,1.0,0.0
:qvq_cuda.yaqa_feedback,PushPop,104506439090,4247072478,37832,2762382.1,1280182.0,31168,21530020,3162924.8,151328,4.0,1.0,0.0
:qvq_cuda.yaqa_feedback_update,PushPop,59155817479,3418355605,37832,1563645.0,1285894.0,13600,4538197,1431484.4,113496,3.0,1.0,0.0
:stage.process:model.layers.3.mlp.gate_proj,PushPop,56971445938,57059587647,1,56971445938.0,56971445938.0,56971445938,56971445938,0.0,177853,177853.0,0.0,9209.0
:stage.process:model.layers.0.mlp.gate_proj,PushPop,52175560215,52263372142,1,52175560215.0,52175560215.0,52175560215,52175560215,0.0,188083,188083.0,0.0,9209.0
:stage.process:model.layers.1.mlp.gate_proj,PushPop,51449420735,51558539184,1,51449420735.0,51449420735.0,51449420735,51449420735,0.0,177853,177853.0,0.0,9209.0
:stage.process:model.layers.1.mlp.up_proj,PushPop,51311398659,51403641528,1,51311398659.0,51311398659.0,51311398659,51311398659,0.0,177853,177853.0,0.0,9209.0
:stage.process:model.layers.2.mlp.up_proj,PushPop,51235824294,51312602414,1,51235824294.0,51235824294.0,51235824294,51235824294,0.0,177853,177853.0,0.0,9209.0
:stage.process:model.layers.2.mlp.gate_proj,PushPop,51234031979,51315977033,1,51234031979.0,51234031979.0,51234031979,51234031979,0.0,177853,177853.0,0.0,9209.0
:stage.process:model.layers.3.mlp.up_proj,PushPop,51101850566,51187209858,1,51101850566.0,51101850566.0,51101850566,51101850566,0.0,177853,177853.0,0.0,9209.0
:stage.process:model.layers.0.mlp.up_proj,PushPop,51004421089,51090229413,1,51004421089.0,51004421089.0,51004421089,51004421089,0.0,177853,177853.0,0.0,9209.0
:stage.process:model.layers.0.mlp.down_proj,PushPop,48282688077,48363881615,1,48282688077.0,48282688077.0,48282688077,48282688077,0.0,243445,243445.0,0.0,10233.0
:stage.process:model.layers.3.mlp.down_proj,PushPop,48010422013,48115133816,1,48010422013.0,48010422013.0,48010422013,48010422013,0.0,233215,233215.0,0.0,10233.0
