Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
48.3,984572738221,1,984572738221.0,984572738221.0,984572738221,984572738221,0.0,PushPop,:qvq_quantize.main
8.6,175659429828,1,175659429828.0,175659429828.0,175659429828,175659429828,0.0,PushPop,:stage.prepare_yaqa
2.8,57059587647,1,57059587647.0,57059587647.0,57059587647,57059587647,0.0,PushPop,:stage.process:model.layers.3.mlp.gate_proj
2.7,53998530232,60360,894607.9,97706.0,82136,55663296,2186106.2,PushPop,:qvq_cuda.viterbi_v2_segment_family_grid_trusted
2.6,52263372142,1,52263372142.0,52263372142.0,52263372142,52263372142,0.0,PushPop,:stage.process:model.layers.0.mlp.gate_proj
2.5,51558539184,1,51558539184.0,51558539184.0,51558539184,51558539184,0.0,PushPop,:stage.process:model.layers.1.mlp.gate_proj
2.5,51403641528,1,51403641528.0,51403641528.0,51403641528,51403641528,0.0,PushPop,:stage.process:model.layers.1.mlp.up_proj
2.5,51315977033,1,51315977033.0,51315977033.0,51315977033,51315977033,0.0,PushPop,:stage.process:model.layers.2.mlp.gate_proj
2.5,51312602414,1,51312602414.0,51312602414.0,51312602414,51312602414,0.0,PushPop,:stage.process:model.layers.2.mlp.up_proj
2.5,51187209858,1,51187209858.0,51187209858.0,51187209858,51187209858,0.0,PushPop,:stage.process:model.layers.3.mlp.up_proj
2.5,51090229413,1,51090229413.0,51090229413.0,51090229413,51090229413,0.0,PushPop,:stage.process:model.layers.0.mlp.up_proj
2.4,48363881615,1,48363881615.0,48363881615.0,48363881615,48363881615,0.0,PushPop,:stage.process:model.layers.0.mlp.down_proj
2.4,48115133816,1,48115133816.0,48115133816.0,48115133816,48115133816,0.0,PushPop,:stage.process:model.layers.3.mlp.down_proj
2.4,48057660421,1,48057660421.0,48057660421.0,48057660421,48057660421,0.0,PushPop,:stage.process:model.layers.2.mlp.down_proj
2.4,47992934295,1,47992934295.0,47992934295.0,47992934295,47992934295,0.0,PushPop,:stage.process:model.layers.1.mlp.down_proj
1.2,24029963867,22528,1066671.0,1082643.0,838578,82154926,791921.8,PushPop,:qvq_api.qvq_cuda_viterbi
0.8,15810646160,1,15810646160.0,15810646160.0,15810646160,15810646160,0.0,PushPop,:stage.process:model.layers.0.self_attn.q_proj
0.7,15154907672,1,15154907672.0,15154907672.0,15154907672,15154907672,0.0,PushPop,:stage.process:model.layers.3.self_attn.o_proj
0.7,15132224649,1,15132224649.0,15132224649.0,15132224649,15132224649,0.0,PushPop,:stage.process:model.layers.3.self_attn.q_proj
0.7,15113540787,1,15113540787.0,15113540787.0,15113540787,15113540787,0.0,PushPop,:stage.process:model.layers.1.self_attn.o_proj
0.7,15108934540,1,15108934540.0,15108934540.0,15108934540,15108934540,0.0,PushPop,:stage.process:model.layers.2.self_attn.o_proj
0.7,15097390703,1,15097390703.0,15097390703.0,15097390703,15097390703,0.0,PushPop,:stage.process:model.layers.1.self_attn.q_proj
0.7,15076916971,1,15076916971.0,15076916971.0,15076916971,15076916971,0.0,PushPop,:stage.process:model.layers.0.self_attn.o_proj
0.7,15069233250,1,15069233250.0,15069233250.0,15069233250,15069233250,0.0,PushPop,:stage.process:model.layers.2.self_attn.q_proj
0.6,11532984369,22528,511940.0,511590.0,385866,81361645,671418.5,PushPop,:qvq_cuda.viterbi
0.3,5197593669,1,5197593669.0,5197593669.0,5197593669,5197593669,0.0,PushPop,:stage.process:model.layers.0.self_attn.k_proj
0.2,5072856443,1,5072856443.0,5072856443.0,5072856443,5072856443,0.0,PushPop,:stage.process:model.layers.1.self_attn.v_proj
0.2,5048982851,1,5048982851.0,5048982851.0,5048982851,5048982851,0.0,PushPop,:stage.process:model.layers.3.self_attn.k_proj
0.2,5045293582,1,5045293582.0,5045293582.0,5045293582,5045293582,0.0,PushPop,:stage.process:model.layers.0.self_attn.v_proj
0.2,5032367702,1,5032367702.0,5032367702.0,5032367702,5032367702,0.0,PushPop,:stage.process:model.layers.3.self_attn.v_proj
0.2,5027962888,1,5027962888.0,5027962888.0,5027962888,5027962888,0.0,PushPop,:stage.process:model.layers.2.self_attn.v_proj
0.2,5019111682,1,5019111682.0,5019111682.0,5019111682,5019111682,0.0,PushPop,:stage.process:model.layers.2.self_attn.k_proj
0.2,4984540928,1,4984540928.0,4984540928.0,4984540928,4984540928,0.0,PushPop,:stage.process:model.layers.1.self_attn.k_proj
0.2,4247072478,37832,112261.4,98338.0,83359,17882274,141239.6,PushPop,:qvq_cuda.yaqa_feedback
0.2,3418355605,37832,90356.2,80813.5,69272,8515446,87191.8,PushPop,:qvq_cuda.yaqa_feedback_update
0.1,2739429958,18916,144820.8,140588.0,126211,4337625,48364.5,PushPop,:qvq_cuda.viterbi_tail_trusted
0.0,241943954,1,241943954.0,241943954.0,241943954,241943954,0.0,PushPop,:stage.submodule_finalize:model.layers.1.mlp.gate_proj
0.0,228784208,1,228784208.0,228784208.0,228784208,228784208,0.0,PushPop,:stage.submodule_finalize:model.layers.0.mlp.down_proj
0.0,228609544,1,228609544.0,228609544.0,228609544,228609544,0.0,PushPop,:stage.submodule_finalize:model.layers.2.self_attn.o_proj
0.0,227583249,1,227583249.0,227583249.0,227583249,227583249,0.0,PushPop,:stage.submodule_finalize:model.layers.2.mlp.up_proj
0.0,223006899,1,223006899.0,223006899.0,223006899,223006899,0.0,PushPop,:stage.submodule_finalize:model.layers.2.self_attn.k_proj
0.0,222198379,1,222198379.0,222198379.0,222198379,222198379,0.0,PushPop,:stage.submodule_finalize:model.layers.2.self_attn.q_proj
0.0,220232493,1,220232493.0,220232493.0,220232493,220232493,0.0,PushPop,:stage.submodule_finalize:model.layers.2.mlp.gate_proj
0.0,213356230,1,213356230.0,213356230.0,213356230,213356230,0.0,PushPop,:stage.submodule_finalize:model.layers.0.mlp.up_proj
0.0,204438506,1,204438506.0,204438506.0,204438506,204438506,0.0,PushPop,:stage.submodule_finalize:model.layers.0.self_attn.q_proj
0.0,202809914,1,202809914.0,202809914.0,202809914,202809914,0.0,PushPop,:stage.submodule_finalize:model.layers.1.mlp.up_proj
0.0,199080737,1,199080737.0,199080737.0,199080737,199080737,0.0,PushPop,:stage.submodule_finalize:model.layers.0.self_attn.o_proj
0.0,197813032,1,197813032.0,197813032.0,197813032,197813032,0.0,PushPop,:stage.submodule_finalize:model.layers.3.mlp.gate_proj
0.0,197425484,1,197425484.0,197425484.0,197425484,197425484,0.0,PushPop,:stage.submodule_finalize:model.layers.3.mlp.up_proj
0.0,190157064,1,190157064.0,190157064.0,190157064,190157064,0.0,PushPop,:stage.submodule_finalize:model.layers.1.self_attn.v_proj
0.0,182913471,1,182913471.0,182913471.0,182913471,182913471,0.0,PushPop,:stage.submodule_finalize:model.layers.2.mlp.down_proj
0.0,178739648,1,178739648.0,178739648.0,178739648,178739648,0.0,PushPop,:stage.submodule_finalize:model.layers.2.self_attn.v_proj
0.0,176984984,1,176984984.0,176984984.0,176984984,176984984,0.0,PushPop,:stage.submodule_finalize:model.layers.1.mlp.down_proj
0.0,174062736,1,174062736.0,174062736.0,174062736,174062736,0.0,PushPop,:stage.submodule_finalize:model.layers.1.self_attn.o_proj
0.0,158129924,7200,21962.5,18566.0,16231,7458392,104071.0,PushPop,CCCL:cub::DeviceSelect::Flagged
0.0,155351622,1,155351622.0,155351622.0,155351622,155351622,0.0,PushPop,:stage.submodule_finalize:model.layers.0.mlp.gate_proj
0.0,149883362,1,149883362.0,149883362.0,149883362,149883362,0.0,PushPop,:stage.submodule_finalize:model.layers.1.self_attn.q_proj
0.0,144135139,1,144135139.0,144135139.0,144135139,144135139,0.0,PushPop,:stage.submodule_finalize:model.layers.0.self_attn.v_proj
