Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.8,10380575384313,414,25073853585.3,8943391.5,6753,394074552352,73943127625.5,sem_wait
17.8,2896842128233,4850,597287036.7,200054373.0,4701659,10000268372,1930810058.3,sem_clockwait
12.1,1964075085063,19638,100014007.8,100104920.0,1073,234370583,4008038.6,poll
6.0,974926345878,122,7991199556.4,14532.5,6512,826483374793,74744812181.2,pthread_cond_wait
0.1,15737021747,87613,179619.7,20249.0,1002,345584030,2512928.6,read
0.1,8242262618,19,433803295.7,82207.0,27512,8240786435,1890547253.5,waitpid
0.0,7090317271,1106,6410775.1,8917.5,1002,634926952,29156673.3,write
0.0,6571258840,36350,180777.4,5090.0,1002,7339456,351188.5,open64
0.0,4487579640,16998,264006.3,15139.0,1002,6494014,1042517.7,pthread_cond_timedwait
0.0,1667603447,2475,673779.2,495795.0,1352,28755353,1165548.1,pthread_rwlock_wrlock
0.0,1542523769,54434,28337.5,2505.0,1574,387771777,2785166.8,munmap
0.0,1059664944,23040,45992.4,25919.0,1002,24406627,222239.8,ioctl
0.0,283180633,2588,109420.6,46008.0,25058,20894545,559849.3,pthread_create
0.0,276083839,24036,11486.3,9829.0,1001,1701743,24271.6,close
0.0,268725676,2435,110359.6,15590.0,1052,26929213,1238294.8,pthread_rwlock_rdlock
0.0,66891017,15553,4300.8,1864.0,1001,7339535,81304.9,pthread_cond_signal
0.0,60926906,35153,1733.2,1203.0,1001,1028339,5762.9,mmap64
0.0,35519111,2813,12626.8,6161.0,1002,6215383,154050.4,pthread_mutex_lock
0.0,29778991,514,57935.8,54944.5,11803,441882,22994.5,sleep
0.0,27262472,79,345094.6,1403.0,1001,14181223,1923689.1,futex
0.0,23396185,215,108819.5,1574.0,1002,3446157,539650.7,fopen
0.0,21642391,493,43899.4,6212.0,1093,6668597,416245.5,fgets
0.0,10206248,2,5103124.0,5103124.0,5055964,5150284,66694.3,nanosleep
0.0,5301234,258,20547.4,10900.5,4298,145277,19018.9,backtrace
0.0,4621397,3,1540465.7,2044.0,1864,4617489,2664780.4,pread
0.0,3907715,29,134748.8,6522.0,1011,3194857,590783.6,open
0.0,1255862,112,11213.1,2314.5,1021,160536,28245.4,fclose
0.0,762489,44,17329.3,7979.5,2755,141319,23688.9,mmap
0.0,621957,12,51829.8,21737.0,12804,336491,90904.5,sem_timedwait
0.0,433988,52,8345.9,4774.0,1073,26000,7581.7,fopen64
0.0,393349,50,7867.0,4458.5,2224,18045,5143.4,pipe2
0.0,239316,7,34188.0,2815.0,1834,224067,83730.0,statx
0.0,233262,109,2140.0,1342.0,1002,8707,1872.9,lstat64
0.0,120289,3,40096.3,27513.0,20879,71897,27739.2,connect
0.0,110470,32,3452.2,2665.0,1393,7184,1750.1,stat64
0.0,107004,14,7643.1,8491.0,1122,13055,3786.2,fflush
0.0,79821,7,11403.0,14778.0,4809,16120,5058.2,socket
0.0,62492,35,1785.5,1563.0,1002,3427,668.5,sigaction
0.0,40717,21,1938.9,2004.0,1082,2916,492.6,dup2
0.0,24406,17,1435.6,1322.0,1002,2435,401.4,fcntl
0.0,23535,4,5883.8,5771.0,2936,9057,3273.6,bind
0.0,19377,3,6459.0,4508.0,1343,13526,6321.5,stat
0.0,17023,1,17023.0,17023.0,17023,17023,0.0,lstat
0.0,16412,3,5470.7,6323.0,2725,7364,2434.1,fread
0.0,15901,5,3180.2,2745.0,1323,5240,1770.9,fwrite
0.0,15020,12,1251.7,1042.0,1002,2285,467.1,openat64
0.0,13926,9,1547.3,1382.0,1112,2084,357.1,signal
0.0,13716,8,1714.5,1242.0,1042,5310,1455.8,fstat64
0.0,9888,3,3296.0,4348.0,1182,4358,1830.8,pthread_cond_broadcast
0.0,9689,6,1614.8,1493.0,1052,2705,633.6,flock
0.0,5871,1,5871.0,5871.0,5871,5871,0.0,mprotect
0.0,3396,2,1698.0,1698.0,1413,1983,403.1,fdopen
0.0,2476,2,1238.0,1238.0,1113,1363,176.8,getentropy
0.0,2384,1,2384.0,2384.0,2384,2384,0.0,pthread_mutex_trylock
0.0,1572,1,1572.0,1572.0,1572,1572,0.0,fsync
